date,username,tweet,location
Fri Jul 21 23:33:59 +0000 2023,leriadi,#ICMIBersinergi  Selamat Tahun Baru Islam 1 Muharram 1445 H.. ICMI Orda Binjai  @jokowi @yuddychrisnandi @airlangga_hrt @ipbofficial @Ilham_Habibie @AgusYudhoyono @IndraJPiliang @mpogolkarbinjai @GolkarSolid @ridwankamil @ijeck09 @PemkoBinjai @anasurbaningrum @aniesbaswedan https://t.co/t6Xm8AFLAX,ACEH
Fri Jul 21 23:23:33 +0000 2023,SasmojoN,@Hudakeyy @aniesbaswedan Kayaknya pak Ganjar sdh punya pabrik tektil ?,ACEH
Fri Jul 21 19:55:17 +0000 2023,RamboJr02,@papa_loren partai pembenci Anies baswedan pastinya,ACEH
Fri Jul 21 18:52:14 +0000 2023,rahmad_edward,"Pendukung Anies preman semua, Biadab kau Anies Baswedan https://t.co/IBpjffRnhL",ACEH
Fri Jul 21 18:52:01 +0000 2023,rahmad_edward,Anies Baswedan bangsat ga ada ide https://t.co/ZNGadlkfju,ACEH
Fri Jul 21 18:51:49 +0000 2023,rahmad_edward,Anies Baswedan penipu biadab https://t.co/Z3k081ItnO,ACEH
Fri Jul 21 18:51:38 +0000 2023,rahmad_edward,Anies Baswedan masih gunakan playing victim https://t.co/lvj5h5UFY0,ACEH
Fri Jul 21 18:51:25 +0000 2023,rahmad_edward,Anies Baswedan di dukung partai pendusta dan kkn https://t.co/PWhbw6cMh0,ACEH
Fri Jul 21 18:51:03 +0000 2023,rahmad_edward,Ada oknum desak KPK hentikan penyelidikan kasus formula e Anies Baswedan https://t.co/3AhRUjHfPe,ACEH
Fri Jul 21 17:11:26 +0000 2023,AndersonTampu,"@WagimanDeep212_ Udh ane bilang dari partai ya untuk partai jangan sok ngatur Pak breok yang ngatur semua, anda cukup jadi babu penurut, apa kata boss itu yg harus u ikuti gak boleh ngabantah ataupun kasih Saran, semua yg u jalankan Harus Saran Boss Paham Bapak Politik identitas @aniesbaswedan",ACEH
Fri Jul 21 17:08:33 +0000 2023,kartiko_yudo,@Hudakeyy @aniesbaswedan corak pilihan pakaian mereka menurut saya buruk,ACEH
Fri Jul 21 15:29:34 +0000 2023,LifeGreal,"@mediaindonesia Anies baswedan adalah anugerah terbaik untuk memimpin Indonesia , sipil, cerdas, muslim taat, humble sederhana, komunikator ulung , orator fasih bhs Inggris. ..... paham ekonomi paham pendidikan paham perkotaan muda segar sehat energik",ACEH
Fri Jul 21 14:40:33 +0000 2023,kokoronotomo911,"@sutanmangara karna HARAM hukumnya memilih SAMPAH GURUN  kyk @aniesbaswedan utk jadi RI1, itu melanggar sunatuloh",ACEH
Fri Jul 21 14:30:37 +0000 2023,rusta_komasuham,Anies Baswedan masih gunakan playing victim! https://t.co/671u2679dz,ACEH
Fri Jul 21 12:45:05 +0000 2023,UmaSpriadi,@Hudakeyy @aniesbaswedan Warna bajunya seperti warna baju wasit SmackDown 😆,ACEH
Fri Jul 21 12:45:05 +0000 2023,LifeGreal,"@aniesbaswedan @KATADATAcoid @metta_ds Anies itu pengangguran apa nya yg ditakuti sih jiper parno!!!! Dulu mereka girang saat Anies turun dari gubernur , sekarang mereka stress karena Anies makin populer dan disambut dimana mana 🤣",ACEH
Fri Jul 21 12:31:15 +0000 2023,omardi194794_om,@aniesbaswedan Mungkin pak @aniesbaswedan tersenyum agaknyo. liat para anjing2 yg menggongong. Sebaik apapun cuitanya pasti setan kepanasan agaknya,ACEH
