date,username,tweet,location
Fri Jul 21 23:58:57 +0000 2023,sena_soetta,"Mentalitas serta karakter Bani Kadrun dan Buzzer Beras @aniesbaswedan jauh berbeda dengan yang berpikiran waras pada umumnya…  Entah siapa yang iseng, telah menuangkan kencing onta pada minuman mereka...?",DIYOGYAKARTA
Fri Jul 21 23:58:38 +0000 2023,sena_soetta,"@Chynthia_K @bachrum_achmadi @Mdy_Asmara1701 @abwnews_ @ajengcute16__ Mentalitas serta karakter Bani Kadrun dan Buzzer Beras @aniesbaswedan jauh berbeda dengan yang berpikiran waras pada umumnya…  Entah siapa yang iseng, telah menuangkan kencing onta pada minuman mereka...?",DIYOGYAKARTA
Fri Jul 21 23:58:29 +0000 2023,yd_silalahi,@CINTAINDONESIAd @yusuf_dumdum @aniesbaswedan @Mdy_Asmara1701 Hoby kok hoax,DIYOGYAKARTA
Fri Jul 21 23:58:03 +0000 2023,NusantaraSetya,@yaniarsim @aniesbaswedan Mak lampir,DIYOGYAKARTA
Fri Jul 21 23:57:58 +0000 2023,AscMalike,@Hudakeyy @aniesbaswedan pilih yg pirang...,DIYOGYAKARTA
Fri Jul 21 23:56:23 +0000 2023,DzakwanFirst,"@04_zainal @ganjarpranowo @aniesbaswedan Pebisnis itu lebih cenderung milih Anies drpd Ganjar"".  Perubahan itu pasti. https://t.co/eXz4vHYiud""",DIYOGYAKARTA
Fri Jul 21 23:54:50 +0000 2023,Nautica146,"@rayopass @aniesbaswedan @KATADATAcoid @metta_ds Urus aja kerja lo nyet, otak dongok, cuman ngurusin pohon",DIYOGYAKARTA
Fri Jul 21 23:54:49 +0000 2023,octa_jzn,"@Sentjoko @aniesbaswedan ahh.. idup loe aja masih percaya ada oksigen O2 walaupun di depan idung loe juga and loe nya kagak lihat percaya aje loe.., begono kok bicara klenik, receh mah ituh... kwkwkwkwkw.. done",DIYOGYAKARTA
Fri Jul 21 23:54:28 +0000 2023,Ayato32850094,@tempodotco Pasti salah Anies Baswedan 😂. Itu kata buzzer Rp.,DIYOGYAKARTA
Fri Jul 21 23:54:24 +0000 2023,CINTAINDONESIAd,@Joker_Wedoks @ILCTalkshow 🤣😂💩 dong BAU SAMPAH DIMANA mana  Di pajang baliho @aniesbaswedan https://t.co/9ohSDh176V,DIYOGYAKARTA
Fri Jul 21 23:54:05 +0000 2023,ozzaf13,Anies baswedan dan pendukungnya mainkan playing victim #Aniespenipu https://t.co/AUIMBFZQvO,DIYOGYAKARTA
Fri Jul 21 23:53:55 +0000 2023,news_wanheart,"Dicap Intoleran, Anies Baswedan Beberkan Fakta Kepemimpinannya di DKI https://t.co/6jE4JRhfxa",DIYOGYAKARTA
Fri Jul 21 23:53:12 +0000 2023,Nautica146,@habibana1991 @aniesbaswedan @KATADATAcoid @metta_ds Inilah contoh manusia yg terlalhir dr peju kotor,DIYOGYAKARTA
Fri Jul 21 23:52:34 +0000 2023,ozzaf13,Ada oknum desak KPK Hentikan penyelidikan kasus formula E demi anies mulu nyapress?? #AniesKoruptor #Aniesbaswedan https://t.co/N7pVNHNv2s,DIYOGYAKARTA
