date,username,tweet,location
2023-02-21 06:53:23,AANBOJA,@dpubmckjateng @ganjarpranowo @provjateng @LaporGub_ Info min Cangkiran-Boja,JAMBI
2023-02-21 06:38:02,__RismaWidiono_,"Dalam 4 Tahun Terakhir, Gubernur Jateng @ganjarpranowo Turunkan Angka Stunting di Jateng hingga 51 Persen   https://t.co/nBEaXBteqO",JAMBI
2023-02-21 06:37:45,__RismaWidiono_,"Dipimpin Gubernur @ganjarpranowo, Pemprov Jateng berhasil menurunkan angka stunting secara drastis dlm empat tahun terakhir. Angkanya berkurang hingga 51 persen.  Pencapaian tsb tak luput dari program Jateng Gayeng Nginceng Wong Meteng atau 5NG yg diluncurkan oleh Ganjar Pranowo  https://t.co/UQIEyxrpID",JAMBI
2023-02-21 06:34:08,esipra1,"@K4m807ab0da5 @AirinDatangLagi @ganjarpranowo Gak ada yg ngomong Meriang?knp jadi meriang Bangun2 bro  Susah kl otak Dungu mah, nyerna tweet sederhana aja gak bisa  Coba buktiin donk point no.1 dan 2 kita liat pnya narasi gak?plg sama aja ama akun2 yg laen",JAMBI
2023-02-21 06:30:05,DediJayaS,Rekam jejak capres  Soal pendidikan aja dulu  Adakah daerah yg SDH menyediakan sarana pendidikan wajib belajar 12 tahun ?  Patokan nya gampang pada saat PPDB apakah seluruh siswa dapat diterima masuk sekolah negeri sesuai jenjang nya  @aniesbaswedan @ganjarpranowo @ridwankamil,JAMBI
2023-02-21 06:16:22,tmg1001,@AseliTemanggung @ganjarpranowo Sek ngaspal ora dirampongke...,JAMBI
2023-02-21 06:14:06,Syaiful69445144,@KOADFIS @syaltout @ganjarpranowo @Gojekmilitan Mungkin karena dia juga dapat bagian atau oaling tidak keluarga dia dapaat bagian dari kegiatan itu. Nah jika demikian negara rugi bayar manusia yg ga guna terus nampang bikin rusuh...🤣🤣🤣🤣 ga ngotak itu mahluk.,JAMBI
2023-02-21 06:09:12,FNretno,"@_ronisetiawan1 @ganjarpranowo wes kasep mlayu mosok kon nge tag, aku sih NO",JAMBI
2023-02-21 06:07:59,FNretno,@deansoew @ganjarpranowo nah kan ini bukti nyataaaa pak 🥲,JAMBI
2023-02-21 05:41:47,Lembayung071,@ganjarpranowo untuk indonesia,JAMBI
2023-02-21 05:40:03,HendyFerdi,min @pln_123 knp nih pagi2 gak ada hujan gak ada angin Geyer padam @infolistrikdjty @ganjarpranowo,JAMBI
2023-02-21 05:12:17,madeniko_,@GanjaranApp @ganjarpranowo @GunRomli Mantap. Pak Ganjar dan NU terus bersinergi membangun jateng yang lebih baik lagi.,JAMBI
2023-02-21 05:11:35,madeniko_,"@GanjaranApp @ganjarpranowo Harapan dan doa doa baik untuk kedua mempelai, semoga dikabulkan dan semoga selalu bahagia dunia akhirat",JAMBI
2023-02-21 05:09:45,madeniko_,"@GanjaranApp @ganjarpranowo Dengan adanya Lapak Ganjar sudah banyak Pelaku UMKM yg sangat terbantu, sdan lebih bersemangat mengembangkan bisnis",JAMBI
2023-02-21 05:07:26,Eleonor1_,@GanjaranApp @ganjarpranowo Udah pasti pak ganjar yang terbaik,JAMBI
2023-02-21 05:07:14,Lyndsay1_,@GanjaranApp @ganjarpranowo Yakin pak ganjar yang terbaik,JAMBI
2023-02-21 05:06:45,Georgeni1_,@GanjaranApp @ganjarpranowo Udah pasti pak ganjar yang terbaik,JAMBI
2023-02-21 05:06:18,Daniella1__,@GanjaranApp @ganjarpranowo Semangat dukung pak ganjar,JAMBI
2023-02-21 05:05:26,Mihawkykn,@GanjaranApp @ganjarpranowo Semangat ya pak ganjar,JAMBI
2023-02-21 04:59:35,Eleonor1_,@GanjaranApp @ganjarpranowo Udah semangat pastinya pak ganjar mah,JAMBI
