date,username,tweet,location
2023-02-21 06:53:23,AANBOJA,@dpubmckjateng @ganjarpranowo @provjateng @LaporGub_ Info min Cangkiran-Boja,JAWA BARAT
2023-02-21 06:38:02,__RismaWidiono_,"Dalam 4 Tahun Terakhir, Gubernur Jateng @ganjarpranowo Turunkan Angka Stunting di Jateng hingga 51 Persen   https://t.co/nBEaXBteqO",JAWA BARAT
2023-02-21 06:37:45,__RismaWidiono_,"Dipimpin Gubernur @ganjarpranowo, Pemprov Jateng berhasil menurunkan angka stunting secara drastis dlm empat tahun terakhir. Angkanya berkurang hingga 51 persen.  Pencapaian tsb tak luput dari program Jateng Gayeng Nginceng Wong Meteng atau 5NG yg diluncurkan oleh Ganjar Pranowo  https://t.co/UQIEyxrpID",JAWA BARAT
2023-02-21 06:34:08,esipra1,"@K4m807ab0da5 @AirinDatangLagi @ganjarpranowo Gak ada yg ngomong Meriang?knp jadi meriang Bangun2 bro  Susah kl otak Dungu mah, nyerna tweet sederhana aja gak bisa  Coba buktiin donk point no.1 dan 2 kita liat pnya narasi gak?plg sama aja ama akun2 yg laen",JAWA BARAT
2023-02-21 06:30:05,DediJayaS,Rekam jejak capres  Soal pendidikan aja dulu  Adakah daerah yg SDH menyediakan sarana pendidikan wajib belajar 12 tahun ?  Patokan nya gampang pada saat PPDB apakah seluruh siswa dapat diterima masuk sekolah negeri sesuai jenjang nya  @aniesbaswedan @ganjarpranowo @ridwankamil,JAWA BARAT
2023-02-21 06:16:22,tmg1001,@AseliTemanggung @ganjarpranowo Sek ngaspal ora dirampongke...,JAWA BARAT
2023-02-21 06:14:06,Syaiful69445144,@KOADFIS @syaltout @ganjarpranowo @Gojekmilitan Mungkin karena dia juga dapat bagian atau oaling tidak keluarga dia dapaat bagian dari kegiatan itu. Nah jika demikian negara rugi bayar manusia yg ga guna terus nampang bikin rusuh...🤣🤣🤣🤣 ga ngotak itu mahluk.,JAWA BARAT
2023-02-21 06:09:12,FNretno,"@_ronisetiawan1 @ganjarpranowo wes kasep mlayu mosok kon nge tag, aku sih NO",JAWA BARAT
2023-02-21 06:07:59,FNretno,@deansoew @ganjarpranowo nah kan ini bukti nyataaaa pak 🥲,JAWA BARAT
2023-02-21 05:41:47,Lembayung071,@ganjarpranowo untuk indonesia,JAWA BARAT
2023-02-21 05:40:03,HendyFerdi,min @pln_123 knp nih pagi2 gak ada hujan gak ada angin Geyer padam @infolistrikdjty @ganjarpranowo,JAWA BARAT
2023-02-21 05:07:26,Eleonor1_,@GanjaranApp @ganjarpranowo Udah pasti pak ganjar yang terbaik,JAWA BARAT
2023-02-21 05:07:14,Lyndsay1_,@GanjaranApp @ganjarpranowo Yakin pak ganjar yang terbaik,JAWA BARAT
2023-02-21 05:06:45,Georgeni1_,@GanjaranApp @ganjarpranowo Udah pasti pak ganjar yang terbaik,JAWA BARAT
2023-02-21 05:06:18,Daniella1__,@GanjaranApp @ganjarpranowo Semangat dukung pak ganjar,JAWA BARAT
2023-02-21 05:05:26,Mihawkykn,@GanjaranApp @ganjarpranowo Semangat ya pak ganjar,JAWA BARAT
2023-02-21 04:59:35,Eleonor1_,@GanjaranApp @ganjarpranowo Udah semangat pastinya pak ganjar mah,JAWA BARAT
2023-02-21 04:59:22,Lyndsay1_,@GanjaranApp @ganjarpranowo Pokoknya dukung pak ganjar,JAWA BARAT
2023-02-21 04:59:01,Georgeni1_,@GanjaranApp @ganjarpranowo Semangat ya pak ganjar,JAWA BARAT
2023-02-21 04:58:32,Daniella1__,@GanjaranApp @ganjarpranowo Asli deh keren program ini,JAWA BARAT
2023-02-21 04:57:56,Pamelia1_,@GanjaranApp @ganjarpranowo Pokoknya keren banget deh,JAWA BARAT
2023-02-21 04:57:45,Mihawkykn,@GanjaranApp @ganjarpranowo Emang keren deh program ini,JAWA BARAT
2023-02-21 04:57:13,Eleonor1_,@GanjaranApp @ganjarpranowo Ayo semangat dukung pak ganjar,JAWA BARAT
2023-02-21 04:57:03,Lyndsay1_,@GanjaranApp @ganjarpranowo Semangat yo pokoknya,JAWA BARAT
2023-02-21 04:56:41,Georgeni1_,@GanjaranApp @ganjarpranowo Dukung pak ganjar deh,JAWA BARAT
2023-02-21 04:56:16,Daniella1__,@GanjaranApp @ganjarpranowo Yakin deh pak ganjar mah,JAWA BARAT
2023-02-21 04:55:40,Pamelia1_,@GanjaranApp @ganjarpranowo Alhamdulillah berkat pak ganjar,JAWA BARAT
2023-02-21 04:55:26,Mihawkykn,@GanjaranApp @ganjarpranowo Semangat dukung pak ganjar,JAWA BARAT
2023-02-21 04:52:36,Eleonor1_,@GanjaranApp @ganjarpranowo Ayo deh dukung pak ganjar,JAWA BARAT
2023-02-21 04:52:20,Lyndsay1_,@GanjaranApp @ganjarpranowo Ayo semangat dukung pak ganjar,JAWA BARAT
2023-02-21 04:51:54,Georgeni1_,@GanjaranApp @ganjarpranowo Pak ganjar yang terbaik,JAWA BARAT
2023-02-21 04:51:31,Daniella1__,@GanjaranApp @ganjarpranowo Semoga pak ganjar sehat terus,JAWA BARAT
2023-02-21 04:50:51,Pamelia1_,@GanjaranApp @ganjarpranowo Pasti bisa deh jadi presiden,JAWA BARAT
2023-02-21 04:50:38,Mihawkykn,@GanjaranApp @ganjarpranowo Semangat terus ya pak ganjar,JAWA BARAT
2023-02-21 04:49:48,Eleonor1_,@GanjaranApp @ganjarpranowo @GunRomli Sekarang dukung pak ganjar,JAWA BARAT
2023-02-21 04:49:38,Lyndsay1_,@GanjaranApp @ganjarpranowo @GunRomli Tetep semangat pokoknya b,JAWA BARAT
2023-02-21 04:49:07,Georgeni1_,@GanjaranApp @ganjarpranowo @GunRomli Semangat ya dukung pak ganjar,JAWA BARAT
2023-02-21 04:48:36,Daniella1__,@GanjaranApp @ganjarpranowo @GunRomli Tetep semangat ya pak ganjar,JAWA BARAT
2023-02-21 04:47:53,Pamelia1_,@GanjaranApp @ganjarpranowo @GunRomli Pak ganjar kerek deh ya,JAWA BARAT
2023-02-21 04:47:41,Mihawkykn,@GanjaranApp @ganjarpranowo @GunRomli Semangat dukung pak ganjar,JAWA BARAT
