date,username,tweet,location
2023-02-21 06:36:34,Block13_Madura,"@WagimanDeep212_ @ganjarpranowo Gubernur jateng memang berusaha untuk kepentingan masyarakat. kalau saat ini dibilang belum maksimal memang tidak di nafikan,intinya seorang pemimpin itu harus bekerja atau mengabdi untuk kepentingan seluruh rakyat. Bukan menata kata dgn bumbu² manis seperti junjungan kadrun.",KALIMANTAN TIMUR
2023-02-21 06:30:45,Jateng_Twit,"Pada peresmian itu, Gubernur Jateng Ganjar Pranowo didampingi Bupati Sragen Kusdinar Untung Yuni Sukowati. Selain itu, hadir pula kepala daerah dan perwakilan dari kabupaten setempat, antara lain Bupati Demak Eisti’anah, dan Bupati Semarang Ngesti Nugraha.",KALIMANTAN TIMUR
2023-02-21 06:28:40,Abang_Atus,Program Jateng Gayeng Nginceng Wong Meteng membantu menurunkan stunting di Jawa Tengah.   Kali ini penyusutan angka stunting di wilayah kepemimpinan Ganjar Pranowo mampu turun drastis hingga 51%.  https://t.co/MKwOkBqVPL,KALIMANTAN TIMUR
2023-02-21 05:52:23,ZoneVenomWar,"Jawa tengah ini pak @ganjarpranowo , ga punya BPJS juga...",KALIMANTAN TIMUR
2023-02-21 05:46:20,eneng_19,Rembug Desa Karanganyar.  Gubernur Ganjar Pranowo menyerukan agar mewaspadai potensi stunting. Optimalkan Call Center 24 jam agar pertanyaan masyarakat akan bs dijawab. #GanjarPranowo  https://t.co/TBix5Lr8Rr,KALIMANTAN TIMUR
2023-02-21 05:40:33,eneng_19,"Program 5NG berhasil menurunkan angka STUNTING Jateng.  @ganjarpranowo mengapresiasi semua pihak yg tlh berkontribusi menurunkan angka stunting.   Ayo genjot trs,, krn sistem ini sangat membantu.  #GanjarPranowo  https://t.co/8fLZLNCF9o",KALIMANTAN TIMUR
2023-02-21 05:31:39,eneng_19,Kasus STUNTING Jateng turun drastis!  Semoga program Ganjar Pranowo ini bisa diterapkan di seluruh Indonesia 🇲🇨  Jateng Gayeng Nginceng Wong Meteng. @ganjarpranowo #GanjarPranowo  https://t.co/uuTb9TExLi,KALIMANTAN TIMUR
2023-02-21 05:26:05,indera_prabu,@NenkMonica @ganjarpranowo Si genjer2 Biar kliatan anti mainstream.. anti mainstream apa anti islam...,KALIMANTAN TIMUR
2023-02-21 05:12:17,madeniko_,@GanjaranApp @ganjarpranowo @GunRomli Mantap. Pak Ganjar dan NU terus bersinergi membangun jateng yang lebih baik lagi.,KALIMANTAN TIMUR
2023-02-21 05:11:35,madeniko_,"@GanjaranApp @ganjarpranowo Harapan dan doa doa baik untuk kedua mempelai, semoga dikabulkan dan semoga selalu bahagia dunia akhirat",KALIMANTAN TIMUR
2023-02-21 05:09:45,madeniko_,"@GanjaranApp @ganjarpranowo Dengan adanya Lapak Ganjar sudah banyak Pelaku UMKM yg sangat terbantu, sdan lebih bersemangat mengembangkan bisnis",KALIMANTAN TIMUR
2023-02-21 04:55:57,madeniko_,@GanjaranApp @ganjarpranowo Dengan program2 pak ganjar semoga bisa selaluembawa manfaat bagis siswa siswi dan para Ortu,KALIMANTAN TIMUR
2023-02-21 04:53:43,madeniko_,"@GanjaranApp @ganjarpranowo Semangat selalu pak, teruskan perjuangan Bung Karno dalam memajukan bangsa ini",KALIMANTAN TIMUR
2023-02-21 04:46:14,PattyIsak,"@ganjarpranowo Sehat selalu Pak,,, Salam dari Seram Bagian Barat-Allang Asaude",KALIMANTAN TIMUR
2023-02-21 03:22:03,jpnncom,Ganjar Serahkan Dana Hibah Rp 434 Miliar untuk Pendidikan Keagamaan &amp; Insentif Guru Agama #GanjarPranowo  https://t.co/ca6ufUs1Ip,KALIMANTAN TIMUR
2023-02-21 00:42:33,liputan6dotcom,"Mempercepat Penurunan Kemiskinan, Ganjar Pranowo Lakukan Sejumlah Inovasi  https://t.co/y8RJH8nPbZ",KALIMANTAN TIMUR
2023-02-21 00:19:16,rudiabdedey,"@ch_chotimah2 @ganjarpranowo Belum pernah q tengok,pendukung pak anies mnyerang calon lain. Itu lh mntapny pndukung pak anies. Beda sama pndukung sebelah,masih terus mnyerang pak anies,dan nth kapan mmbanggkn calon nya. Pendukung setia itu,ya mendukung bukan menyerang.",KALIMANTAN TIMUR
2023-02-21 00:14:09,Rregina2727_,@ganjarpranowo @lapakganjar Saya mau banget bertani. Di IKN tempat saya sendiri. Hanya perlu dukungan pemerintah. Untuk anak2 mudanya.,KALIMANTAN TIMUR
2023-02-21 00:12:44,rudiabdedey,@ch_chotimah2 @ganjarpranowo  https://t.co/bgpyKktbjE,KALIMANTAN TIMUR
2023-02-20 23:57:52,catatankaqihati,"Bukan @ganjarpranowo namanya klo tak berinovasi untuk masyarkaat. Bahkan, banyak program2 kesehatan beliau yg viral dn di jadikan contoh oleh pemda provinsi lain.  #GANTARI🇲🇨  https://t.co/EQRwY2nu7g",KALIMANTAN TIMUR
2023-02-20 23:55:27,catatankaqihati,"Perkawinan pada usia anak jadi salah satu penyebab terjadinya stunting Unruk menekan kasus Perkawinan Anak, @ganjarpranowo luncurkan Care center Jo Kawin Bocah.  Tentu dengan adanya layanan ini, bs berhasil turunkan angka kasus perkawinan usia anak di Jawa Tengah #Gantari🇲🇨  https://t.co/JWpeIJva7i",KALIMANTAN TIMUR
2023-02-20 23:55:19,anggara_kasih11,@siregar_najeges @jokowi @prabowo @aniesbaswedan @ganjarpranowo @sandiuno @puanmaharani_ri Aamiin,KALIMANTAN TIMUR
2023-02-20 23:52:45,catatankaqihati,Ayo lawan Stunting! @ganjarpranowo mengajak ribuan mahasiswa Unimus tuk ikut serta cegah stunting dan mempraktekkannya langsung di lapangan.   Hal ini sangat penting tuk mahasiswa mempraktikkan ilmu yg didapat di tmpt kuliah dn diterapkan di tengah masyarakat #GANTARI🇲🇨  https://t.co/ie6kgeIVK9,KALIMANTAN TIMUR
2023-02-20 23:41:15,catatankaqihati,"Generasi Putih pasti mau tau dnk resep rahasia @ganjarpranowo bhasil turunkan angka stunting di Jateng gmana?  Semua wilayah Siaga stunting! Nah klo di KarangAnyar , ada yg namanya Call Center yg siaga 24 jam tuk melayani masyarakat seputar kesehatan tmasuk stunting. #Gantari🇲🇨  https://t.co/5vt3YjpSKl",KALIMANTAN TIMUR
2023-02-20 23:40:59,soeripsarap,"@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Saat yg tepat bagi om @budimandjatmiko  Beliau lokomotif reformasi,dan telah melalui transisi sampai saat sekarang. Beri dia kesempatan untuk memperbaiki negeri ini sesuai fantasinya dulu.",KALIMANTAN TIMUR
2023-02-20 23:10:24,RioDamardjati,@GPJateng @ganjarpranowo Percepatan Penurunan Angka Stunting Nasional Menuju Generasi Emas Indonesia 2045  https://t.co/zYnxDjWZZ0,KALIMANTAN TIMUR
2023-02-20 23:07:07,RioDamardjati,@__RismaWidiono_ @rmiryanti @ganjarpranowo Percepatan Penurunan Angka Stunting Nasional Menuju Generasi Emas Indonesia 2045  https://t.co/zYnxDjWZZ0,KALIMANTAN TIMUR
2023-02-20 22:36:26,JhonniSinaga20,Mantap kali bang ... namun kami voter sudah lebih awal menentukan pilihan ke Pak @ganjarpranowo dan Pak @prabowo.  Mantap juga kan bang ... ini juga bagian dari sistem demokrasi kita. Rakyat Voter/Pemilih.   🙏🙏🙏🙏🙏🙏🙏,KALIMANTAN TIMUR
2023-02-20 22:33:54,Fanshurii,"Di posisi kedua ada Menteri BUMN Erick Thohir dengan 17,1 persen dan Gubernur Jawa Tengah Ganjar Pranowo dengan hasil 13,4 persen. #BersamaJuara Ridwan Kamil",KALIMANTAN TIMUR
2023-02-20 22:33:40,BudiHer98,"Berikut elektabilitas cawapres versi SPIN: 1. Ridwan Kamil 17,2% ; 2. Erick Thohir 17,1% ; 3. Ganjar Pranowo 13,4% ; 4. Agus Harimurti 10,7% ; 5. Khofifah 4,1% ; 6. Anies Baswedan 3,5% ; 7. Puan Maharani 3,5% ; 8. Andika Perkasa 3,3% ; 9. Sandiaga Uno 2,9%.#BersamaJuara",KALIMANTAN TIMUR
2023-02-20 22:17:05,wira_harianto,@Hukkrimcom @NenkMonica Cc den @ganjarpranowo,KALIMANTAN TIMUR
2023-02-20 21:49:04,Sdgkalbar,SDG Kalbar silaturahmi dengan Majlis taklim di kota Pontianak @ganjarpranowo @sahabatganjar  https://t.co/3VYQIiihyI,KALIMANTAN TIMUR
2023-02-20 21:43:47,LekKacung,Selanjutan dari @jokowi kepenerusnya @ganjarpranowo untuk membangun Indonesia seutuhnya 🇮🇩  https://t.co/6AWMJJBhQC,KALIMANTAN TIMUR
2023-02-20 21:38:41,siagiansulben,@hidupwaluyo67 @Yurissa_Samosir @ganjarpranowo Perubahan dari kebohongan2 pd kebenaran.,KALIMANTAN TIMUR
2023-02-20 21:32:23,adrianaputriii,"Berikut elektabilitas cawapres versi SPIN: 1. Ridwan Kamil 17,2% ; 2. Erick Thohir 17,1% ; 3. Ganjar Pranowo 13,4% ; 4. Agus Harimurti 10,7% ; 5. Khofifah 4,1% ; 6. Anies Baswedan 3,5% ; 7. Puan Maharani 3,5% ; 8. Andika Perkasa 3,3% ; 9. Sandiaga Uno 2,9%.#BersamaJuara",KALIMANTAN TIMUR
2023-02-20 21:31:26,RK_Lamongan,"Berkat program 5NG yang digulirkan Gub Jateng Ganjar Pranowo sejak th 2016 silam, berhasil menurunkan angka stunting menyusut hingga mencapai 51%. #GanjarHebat  https://t.co/uxWfKV346B",KALIMANTAN TIMUR
2023-02-20 21:17:26,FManhua,@Didik38315387 @ganjarpranowo Terus levelmu bisa kerja apa..??..bisa lebih baik dari beliau??..atau cm penonton seperti saya..🤣..,KALIMANTAN TIMUR
2023-02-20 21:14:36,FManhua,"@ganjarpranowo Aaminn..semoga Jateng semakin lebih baik kedepannya .sukses pak Ganjar..Jateng gayeng,anteng....👍👍",KALIMANTAN TIMUR
2023-02-20 20:46:59,suijtihad,@ch_chotimah2 @ganjarpranowo Ada doorpize nih..  https://t.co/Dvwkv2H8QS,KALIMANTAN TIMUR
2023-02-20 20:37:34,hidupwaluyo67,"@siagiansulben @Yurissa_Samosir @ganjarpranowo Perubah yg bgmn tolong dijelasin dong...siapa tahu sy tertarik, kan sy blm punya pilihan.",KALIMANTAN TIMUR
2023-02-20 20:36:06,Qiay14,"@ch_chotimah2 @ganjarpranowo Ya sudah, banggain aja Capres mu dan promosiin aja, gak usah senggol2 Bakal Calon  lain... Posting bahagia tapi hati kalian menderita... 😂😂😂🤣🤣🤣 Ini 👇👇 tetap dihati Kami...  https://t.co/udzS6eEHtK",KALIMANTAN TIMUR
2023-02-20 20:35:51,siagiansulben,"@hidupwaluyo67 @Yurissa_Samosir @ganjarpranowo Lain dulu lain sekarang, bulu ketiak jarang2. Skrg rakyat ingin perubahan. Emoh dgn status quo yg penuh kebohongan dan kesusahan hidup.",KALIMANTAN TIMUR
2023-02-20 20:30:20,sdg_sumsel1,"Halo para santri, Hari ini SDG Sumsel kali ini mendatangi Pondok Pesantren Assanadiyah. (20/02/2023)  #santridukungganjar #santrinusantara #santriindonesia #ganjarpranowo #ganjar #ganjarpresiden2024 #alimulama #pondokpesantren @SDGanjar @ganjarpranowo  https://t.co/7hlSNWBGWp",KALIMANTAN TIMUR
2023-02-20 20:21:56,hidupwaluyo67,"@siagiansulben @Yurissa_Samosir @ganjarpranowo Klo g percaya kita tunggu saja di 2024, di Kaltim mayoritas akan pilih capres siapa nanti. 2019 jelas sudah menang Jokowi di Kaltim.",KALIMANTAN TIMUR
2023-02-20 20:10:04,merdekadotcom,"Jangan sampai kelewat, open Mic akan diramaikan oleh Sandiaga Uno, Teten Masduki, Ganjar Pranowo, Khofifah Indar Parawansa, Ipuk Fiestandi dan dr. Khairul M.Kes!   Link menonton  https://t.co/NHvLrlePi2 - #Merdekadotcom11Selaras #LebihPaham  https://t.co/z1tiI8dowO",KALIMANTAN TIMUR
2023-02-20 20:09:08,ch_chotimah2,"Ganjar Pranowo pemimpin yg selalu hadir untuk rakyatnya, bkn unk dirinya, kelompoknya dan asing.  Kisah Lirih Bonawi Hidup Prihatin, Kini Tidak Batuk Lagi Berkat Rumah Baru Dari Ganjar Pranowo.  https://t.co/JqJXn4Cgsb  https://t.co/Mh0LNMyMUj",KALIMANTAN TIMUR
2023-02-20 19:51:39,Runtuwene_,"@ganjarpranowo Kalo emang ini settingan, pasti hebat banget tim marketingnya pak ganjar. Lebih gila lagi, lakon di dalamnya yaitu pak ganjar sendiri, sangat hebat memainkannya. Tapi lakon se-natural ini, menurutku bukan settingan,tapi emg sifat pak ganjar. Asik, baik, friendly 4 rakyatnya.",KALIMANTAN TIMUR
2023-02-20 19:46:23,D63Ridho,@ch_chotimah2 @ganjarpranowo 😂,KALIMANTAN TIMUR
2023-02-20 19:44:47,LekKacung,Siap meneruskan @jokowi kepada @ganjarpranowo program nasional yang dibangun oleh Bung Karno 🇮🇩  https://t.co/yJY92IxbPX,KALIMANTAN TIMUR
2023-02-20 19:44:18,taufikikhsan44,"@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Kalau saya bandingkan diantara pilihan ini, dilihat dari rekam jejak gak ada yang berkualitas B.",KALIMANTAN TIMUR
2023-02-20 19:37:00,siregar_najeges,Al Fatiha utk alm pak  Soeharto ...🤲  @jokowi  @prabowo  @aniesbaswedan  @ganjarpranowo  @sandiuno  @puanmaharani_ri  https://t.co/HcboKNlxsw,KALIMANTAN TIMUR
2023-02-20 19:22:54,damarwidi99,@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet @budimandjatmiko lebih pas.visi Indonesia 2045 sudah di tangan,KALIMANTAN TIMUR
2023-02-20 19:17:50,Ari3Pras,Gubernur Jawa Tengah tiada henti berupaya menggenjot agar provinsinya semakin seksi terhadap minat investor.  Kali ini @ganjarpranowo mengajak para bupati &amp; walikota di Jateng utk mengembangkan potensi thd investasi di daerahnya masing2  https://t.co/rlyHQNMdET,KALIMANTAN TIMUR
2023-02-20 19:16:14,narkosun,"Mantab pak @ganjarpranowo bisa menurunkan angka stunting lampaui angka nasional.   Tahun 2022 yg lalu angka stunting Jateng 20,9% sedangkan nasional masih angka 24%.  https://t.co/x7Kwyv1TvS",KALIMANTAN TIMUR
2023-02-20 19:15:52,wartanasionalWN,"4 Anggota Komisi Informasi Jateng Resmi Dilantik, Berikut Ini Daftarnya  https://t.co/jexIwBhLR7 @KIPusat @kipjateng @ganjarpranowo",KALIMANTAN TIMUR
2023-02-20 19:01:01,srikandiganjar2,Guyss.. Iniloh mereka yang menjadi juara Dance Kpop &amp; Zenkai (cosplay anime) 🥰👍 Mereka sangat luar biasa dan percaya diri dalam menampilkan bakat mereka. ✨✨ #GanjarPranowo #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarPresidenku  https://t.co/wOmZ6iPd15,KALIMANTAN TIMUR
2023-02-20 19:00:31,TetapSatuAja,@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet semoga @ganjarpranowo !,KALIMANTAN TIMUR
2023-02-20 18:52:01,igoemams,@sutanmangara @abu_waras @ch_chotimah2 @ganjarpranowo 11 ribu teriliun yg datang Luar biasaaaahhh salutt sama ebong,KALIMANTAN TIMUR
2023-02-20 18:34:02,jpnncom,"Provinsi Jateng Sudah Punya 28 MPP, Ganjar Bakal Kembangkan Layanan Digitalnya #GanjarPranowo  https://t.co/ENwpaGVuuO",KALIMANTAN TIMUR
2023-02-20 18:30:13,zi_dane30,"@GanjaranApp @ganjarpranowo Semoga aja pak Ganjar Pranowo bisa maju di pilpres 2024, karena Indonesia membutuhkan sosok pemimpin terbaik seperti beliau",KALIMANTAN TIMUR
2023-02-20 18:18:47,MSiddiqArmia,@wiratmadinata98 @ganjarpranowo bertahap liga indonesia bisa semenarik liga Inggris,KALIMANTAN TIMUR
2023-02-20 18:10:32,fikrivarinatha,@GanjaranApp @ganjarpranowo Salut banget sama pak Ganjar Pranowo yang sangat menghormati jasa perjuangan para pahlawan dengan berkunjung ke kosan bung Karno di Surabaya,KALIMANTAN TIMUR
2023-02-20 18:04:26,IDSahabatGanjar,"Sampah yang kita buang itu bisa kita manfaatkan menjadi barang berguna bahkan punya nilai jual? jika kamu penasaran bagaimana proses pengelolahannya, Sahabat Ganjar kali ini menggelar kegiatan Pelatihan Pemanfaatan Sampah.   #GanjarPranowo #SahabatGanjar #GanjarPilihanRakyat  https://t.co/dSjFMD2n7S",KALIMANTAN TIMUR
2023-02-20 18:03:47,AlMawardin7,"@ganjarpranowo Konten vlog anda keren pak.  Asah terus kemampuan ngonten. Tambah skill pemotreran. Peerkuat kerja tim kameramen.  Sebab, lebih cocok jadi tiktokers, youtubers daripada jadi pejabat public.",KALIMANTAN TIMUR
