date,username,tweet,location
2023-02-21 05:25:02,TDR__00,"saya tegaskan, saya beralih dari ganjar pranowo menjadi pendukung @prabowo utk presiden indonesia yg lebih baik.....",KALIMANTAN UTARA
2023-02-21 00:38:23,wahyuciptoutomo,@dpubmckjateng @ganjarpranowo @provjateng @LaporGub_ Sepanjang jalan mlonggo-bangsri-kembang-keling-perbatasan jpr rusak parah min....  Masa iya tayu-cluwak-perbatasan bagus tiba2 masuk jepara rusak banget. Ibarat masuk negara tertinggal kontras banget,KALIMANTAN UTARA
2023-02-21 00:14:09,Rregina2727_,@ganjarpranowo @lapakganjar Saya mau banget bertani. Di IKN tempat saya sendiri. Hanya perlu dukungan pemerintah. Untuk anak2 mudanya.,KALIMANTAN UTARA
2023-02-20 20:37:34,hidupwaluyo67,"@siagiansulben @Yurissa_Samosir @ganjarpranowo Perubah yg bgmn tolong dijelasin dong...siapa tahu sy tertarik, kan sy blm punya pilihan.",KALIMANTAN UTARA
2023-02-20 20:21:56,hidupwaluyo67,"@siagiansulben @Yurissa_Samosir @ganjarpranowo Klo g percaya kita tunggu saja di 2024, di Kaltim mayoritas akan pilih capres siapa nanti. 2019 jelas sudah menang Jokowi di Kaltim.",KALIMANTAN UTARA
2023-02-20 20:09:08,ch_chotimah2,"Ganjar Pranowo pemimpin yg selalu hadir untuk rakyatnya, bkn unk dirinya, kelompoknya dan asing.  Kisah Lirih Bonawi Hidup Prihatin, Kini Tidak Batuk Lagi Berkat Rumah Baru Dari Ganjar Pranowo.  https://t.co/JqJXn4Cgsb  https://t.co/Mh0LNMyMUj",KALIMANTAN UTARA
2023-02-20 19:46:23,D63Ridho,@ch_chotimah2 @ganjarpranowo 😂,KALIMANTAN UTARA
2023-02-20 16:07:16,ch_chotimah2,"Ribuan petani tembakau, kopi dan sayuran di Kab Temanggung yg tergabung dlm ""Puser Bumi"" mendukung Gub Jateng Ganjar Pranowo sbg presiden pd 2024.  Dukungan datang dgn sendirinya, ga perlu pakai doorprize dan jual diri kemana2.  Ganjar Siji Ganjar Kabeh 💞  https://t.co/1G3zCLJJaD  https://t.co/nxcUGpZmhX",KALIMANTAN UTARA
2023-02-20 14:40:41,buang_asmara,"@Kastara48 @ch_chotimah2 @ganjarpranowo Ada itu yang melirik partai nol koma, PSI.",KALIMANTAN UTARA
2023-02-20 13:47:23,GanjarPendukung,"Ganjarist Bersyukur GP Mania Bubar, Immanuel Ebenezer: Mereka Kelompok Pelawak, Beda dengan Kita  https://t.co/z81egmjXmq #GanjarPranowo #GPMania #Ganjarist",KALIMANTAN UTARA
2023-02-20 13:47:16,TemanGajar,"GP Mania Tarik Dukungan untuk Ganjar Pranowo, Ganjarist: Kita Malah Berterima Kasih  https://t.co/BXX727TAec #GanjarPranowo #GPMania",KALIMANTAN UTARA
2023-02-20 13:47:14,PetaniGanjar,"GP Mania Tarik Dukungan untuk Ganjar Pranowo, Ganjarist: Kita Malah Berterima Kasih  https://t.co/xVMZiwhbhJ #GanjarPranowo #GPMania",KALIMANTAN UTARA
2023-02-20 13:47:12,BrotherPranowo,"GP Mania Tarik Dukungan untuk Ganjar Pranowo, Ganjarist: Kita Malah Berterima Kasih  https://t.co/QYhDgyTSmZ #GanjarPranowo #GPMania",KALIMANTAN UTARA
2023-02-20 13:47:09,GanjarPendukung,"GP Mania Tarik Dukungan untuk Ganjar Pranowo, Ganjarist: Kita Malah Berterima Kasih  https://t.co/aU6DhrYlYn #GanjarPranowo #GPMania",KALIMANTAN UTARA
2023-02-20 12:22:49,mak_iyik,"@rioprosetara @ganjarpranowo @jokowi Nah itulah saya ngomong gitu karena banyak yg melakukan blunder dg membenturkan, maaf",KALIMANTAN UTARA
2023-02-20 12:12:14,mak_iyik,@rioprosetara @ganjarpranowo @jokowi Sy cm mengingatkan karena anda menyebutkan no puan.  .,KALIMANTAN UTARA
2023-02-20 11:23:54,mak_iyik,@rioprosetara @ganjarpranowo @jokowi Kalo anda dukung ganjar tolong hentikan menjelekkan puan ataupun PDI-P karena ganjar itu kader partai,KALIMANTAN UTARA
2023-02-20 10:02:07,D63Ridho,@ch_chotimah2 @ganjarpranowo Emang yg nyapres sahabat Ganjar ya .ngul.,KALIMANTAN UTARA
2023-02-20 09:04:49,FerariRSE,GP Mania tarik dukungan untuk Ganjar Pranowo   https://t.co/iIiuYCouXs,KALIMANTAN UTARA
2023-02-20 08:38:04,salmon_toding,@arvindonoviar @LOVE_AG4EVER @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet GP  https://t.co/nLXHS1pBkG,KALIMANTAN UTARA
2023-02-20 08:16:53,maz_thom,"@NenkMonica @ganjarpranowo Mbok yaaoo kalau kasih statement pakai ilmu, orang cerdas itu tdk harus serba tahu jg kali",KALIMANTAN UTARA
2023-02-20 07:27:08,mak_iyik,@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet @budimandjatmiko aja,KALIMANTAN UTARA
