date,username,tweet
2022-12-10 06:18:03,RagamIndones1a,"SAH! Daftar UMK Jawa Tengah Tahun 2023 untuk 35 Kabupaten/ Kota, Termasuk Solo, Salatiga, Blora, hingga Tegal - Ragam Indonesia  https://t.co/EQLS8dvqpU  https://t.co/7kUbcFZ5Gf"
2022-12-10 05:12:01,Sate_Marem,"Di kota kamu sudah musim hujan belum guys?  Paling enak tuh kalau pas hujan-hujan makan sate kambing muda &amp; nasi lengko #satetegalmarem, apalagi di temenin sama yang tersayang. Ah, makin komplit!  Cek lokasi: Sate Tegal Marem Jl. Dr. Setiabudhi 136 Jl. Kebonjati 27A Bandung  https://t.co/GpZehcGcGi"
2022-12-09 23:22:05,bondanpasha,Top! Begini Semangat Taruna PKTJ Tegal Ikut Uji Kelaikan Bus di Terminal Kota Bekasi  https://t.co/zWoIbmmsrH
2022-12-09 20:12:21,GerindraTegal,"Menhan RI, Prabowo Subianto, menyambangi para pengungsi bencana erupsi Gunung Semeru di Lumajang, Jawa Timur.  #prayforsemeru #mendingprabowo #prabowo #PrabowoSubianto #gerindra #jateng #jawatengah #gerindrajateng #gerindrajawatengah #dpcgerindra #kotategal #indonesia  https://t.co/rM2VdgABA2"
2022-12-09 20:11:55,Kaanatsa,@Widino 2 tang premium bungkus biru. Karena di kota Tegal merek itu adalah comfort zone hehehe. Tapi Gopek juga enak.
2022-12-09 17:20:00,ElshintaTegal_,"Replika tandu Jenderal Sudirman yang dipajang pada Pameran Kesejarahan, di Gedung Mulya Damai, Kota Tegal, mengundang  kekaguman pengunjung, khususnya para siswa. Mereka berusaha mengabadikan tandu  tersebut, bahkan berswafoto dengan latar belakang tandu.  Via @kominfo_jtg  https://t.co/fwRANGjSsk"
2022-12-09 15:20:52,EviZaki,Kerja Bakti Dalam Rangka Renovasi Masjid Al - Amin Polres Tegal Kota. . Kapolres Tegal Kota beserta para personel Polres Tegal Kota melaksanakan kerja bakti dalam rangka Renovasi Masjid Al - Amin Polres Tegal Kota. Jum’at (9 Desember 2022).  https://t.co/bfblEhTF6U
2022-12-09 15:06:46,IklanDotPro,"Pembicara…, Biro Jasa - Kota Tegal, IDR10.000.000,00 -  https://t.co/TxWNMfBa9d - #IklanGratis|IklanBarisOnline|IklanPro #BiroJasa #KotaTegal"
2022-12-09 15:04:00,HTegalbarat,Kerja Bakti Dalam Rangka Renovasi Masjid Al - Amin Polres Tegal Kota. . Kapolres Tegal Kota beserta para personel Polres Tegal Kota melaksanakan kerja bakti dalam rangka Renovasi Masjid Al - Amin Polres Tegal Kota. Jum’at (9 Desember 2022).  https://t.co/2nHIqZkFPN
2022-12-09 14:53:46,Tachimukaiii,"@psyducknM1234 @xoloverere @tegalfess Slerok, tegal kota"
2022-12-09 14:52:42,HumasKawasan,Kerja Bakti Dalam Rangka Renovasi Masjid Al - Amin Polres Tegal Kota. . Kapolres Tegal Kota beserta para personel Polres Tegal Kota melaksanakan kerja bakti dalam rangka Renovasi Masjid Al - Amin Polres Tegal Kota. Jum’at (9 Desember 2022).  https://t.co/O6ccBfXg8o
2022-12-09 14:32:35,shaciee_,@sbtcon isinya kota besar semua AAKK. yok yg dari jadet alias tegal ada gaa?  https://t.co/TknUlhGrPM
2022-12-09 14:05:37,singgih_ls,"@dukcapilslawi @DukcapilKDN @ganjarpranowo @humasjateng @LaporGub_ @umiazizah60 @HumasTegalkab @infotegal @InfoPewarta @sisilaintegal Mau Tanya Min, kalo mau bikin / ganti KTP baru setelah nikah, persyaratan apa aja ? Posisi saya sudah ngurus Surat Pindah Datang (dr kota ke kab. tegal) dan KK yang baru juga sudah jadi ini."
2022-12-09 13:59:39,HTegalbarat,"Tumbuhkan Pola Hidup Sehat, TNI-Polri bersama Kampus UPS Kota Tegal Gelar Bersih-bersih Pantai. . Kota Tegal – Ratusan personel gabungan dari TNI-Polri dan Kampus Universitas Pancasakti (UPS) Kota Tegal melakukan kegiatan bersih-bersih pantai di kawasan PAI Tegal,  https://t.co/Y682WhOWGU"
2022-12-09 13:23:41,EviZaki,"Kota Tegal – Ratusan personel gabungan dari TNI-Polri dan Kampus Universitas Pancasakti (UPS) Kota Tegal melakukan kegiatan bersih-bersih pantai di kawasan Obyek Wisata Pantai Alam Indah Tegal, Jum’at (9/12/2022).  https://t.co/8YxS2XuwfC"
2022-12-09 13:16:12,humasgaltim,"Tumbuhkan Pola Hidup Sehat, TNI-Polri bersama Kampus UPS Kota Tegal Gelar Bersih-bersih Pantai. . Kota Tegal – Ratusan personel gabungan dari TNI-Polri dan Kampus Universitas Pancasakti (UPS) Kota Tegal melakukan kegiatan bersih-bersih pantai di kawasan Obyek Wisata Pantai Alam  https://t.co/lhhclDR6N0"
2022-12-09 13:10:14,MiftachS10,@ZFArdR @detikcom Ya berarti daerah Tegal luar bakal dijadikan kota Mase Buat integrasi Bandung kan udah macet Masa ke Bandung semua orang numpuk
2022-12-09 13:01:15,verrianto_m,"Tali Asih Tak Cair, Eks Anggota KPU Kota Tegal Gugat Pemerintah Rp 156 M  https://t.co/OnrGggWl70"
2022-12-09 12:55:15,polseksumpang,"Kota Tegal – Ratusan personel gabungan dari TNI-Polri dan Kampus Universitas Pancasakti (UPS) Kota Tegal melakukan kegiatan bersih-bersih pantai di kawasan Obyek Wisata Pantai Alam Indah Tegal, Jum’at (9/12/2022). #jumatbersih   #senambersama  #sinergitas  #polrestegalkota  https://t.co/InMmrpHmuH"
2022-12-09 12:53:04,tegalfess,[TF] Bakso ter enak di tegal kota versi kalian dong guyss? 🙏
2022-12-09 12:42:57,HumasKawasan,"Tumbuhkan Pola Hidup Sehat, TNI-Polri bersama Kampus UPS Kota Tegal Gelar Bersih-bersih Pantai. Kota Tegal – Ratusan personel gabungan dari TNI-Polri dan Kampus Universitas Pancasakti (UPS) Kota Tegal melakukan kegiatan bersih-bersih pantai di kawasan Obyek Wisata PAI Kota Tegal.  https://t.co/rpwKFhbDyD"
2022-12-09 12:18:46,KPUKotaTegal,tentang Tahapan Pelaksanaan Pembentukan Badan Ad Hoc serta Penataan Daerah Pemilihan yang diselenggarakan oleh Bawaslu Kota Tegal di Kantor Bawaslu Kota Tegal Komplek PPIB Tegal.  #KPUMelayani #pemiluserentak2024
2022-12-09 11:57:06,KPUKotaTegal,(8/12) KPU Kota Tegal melaksanakan Rapat Pleno Hasil Verifikasi Faktual Perbaikan Kepengurusan dan Keanggotaan Partai Politik Calon Peserta Pemilu Tahun 2024 di aula KPU Kota Tegal. Berita lengkap di  https://t.co/GawmfNy3mH  #KPUMelayani #PemiluSerentak2024  https://t.co/hyLiWxvno3
2022-12-09 11:31:14,Ndu37284979,"@jibotwo @ZFArdR @detikcom Ini tiket nya berapa sih sekali naik?  Awal nya bingung ini pemberhentian di Bandung dimana sih taunya tegal luar, buset ini mah jauh banget dgn asumsi banyakny org Jkt naik di weekend ya siap2 wassalam dengan macetnya menuju ke kota 😃"
2022-12-09 11:30:18,berlianmedia1,"PT Pertamina Patra Niaga Jawa Bagian Tengah (JBT) memberikan bantuan sarana keamanan dan kebersihan kepada pengelola Pelabuhan Perikanan Pantai (PPP) Tegalsari, Kota Tegal, Jawa Tengah.  https://t.co/kxlQ5uGc22"
