,date,username,tweet,wisata/hiburan,pendidikan,fasilitas/layanan publik,kuliner
0,09/12/2021 23:11,BsiWahyudi,Wisuda Universitas BSI Kampus Kabupaten Banyumas ke-16 &amp; Kampus Kota Tegal ke-4 (06/12/2021) @ Java Heritage Hotel Purwokerto  https://t.co/MSS0lvsQgW,-1,1,-1,-1
1,09/12/2021 20:44,PPPLarangan,(03/12/2021)  Mengikuti kegiatan bersih pantai yang diselenggarakan Lanal Tegal di Pantai Alam Indah Kota Tegal. Kegiatan ini diikuti oleh berbagai instansi terkait di kota tegal dan sekitarnya.  @dkpjateng  @djpt_kkp  https://t.co/Q5O2K91QN4,-1,-1,1,-1
2,09/12/2021 19:46,AdvFeryAjah,"@infoplntegal Selamat malam , mohon di tindak lanjuti di daerah saya dari jam 17.30 WIB mati listrik sampai sekarang belum menyala  Alamat di jl. Drcipto mangunkusumo Kaligansa Kecamatan margadana Kota Tegal",-1,-1,0,-1
3,09/12/2021 19:27,tegalfess,"[TF] info banjir daerah tegal kota dong lurr, kayong pgn seblak kie, makasii",-1,-1,-1,1
4,09/12/2021 14:58,detikcom,Pemasangan portal di jalan masuk Alun-alun Kota Tegal diprotes pedagang. Wali Kota Tegal Deddy Yon Suriyono membeberkan alasan dari penutupan jalan tersebut.  https://t.co/sf2LxKcEog,-1,-1,0,-1
5,09/12/2021 14:33,0734_kodim,"Dalam rangka memperingati Hari Juang Kartika (HJK) TNI-AD tahun 2021 Kodim 0734/Kota Yogyakarta gelar kegiatan bhakti sosial donor darah bertempat di Jl. Tegal Gendu No.25,Prenggan, Kec. Kotagede, Kota Yogyakarta. Kamis (9/12/2021).  https://t.co/VqqMRgxjZ0",-1,-1,1,-1
7,09/12/2021 13:58,radarmasnetwork,"PPKM Level 3 Batal, Akhirnya Tegal Nyalakan Lagi Lampu-lampu Jalan di Kota #JawaTengah #KotaTegal  https://t.co/kU3VzqvaTP",-1,-1,1,-1
8,09/12/2021 10:42,askrindo,"Askrindo memberikan pembinaan dan bantuan Tanggung Jawab Sosial dan Lingkungan berupa sarana produksi kepada beberapa Kelompok seperti UMKM Seafood Olahan Kota Tarakan, UMKM Binaan Tegal, dan Pengrajin Sepatu Tasikmalaya.  https://t.co/nbBd1QIlmV",-1,-1,1,-1
9,09/12/2021 09:38,bapelkesjateng,Pembukaan Pelatihan Jabatan Fungsional Perawat Angkatan II (9 - 16 Desember 2021) dan  Pelatihan Jabatan Fungsional Bidan (9 - 15 Desember 2021) BKPPD Kota Tegal  metode  Full Online  https://t.co/SKUfJJxBd9,-1,1,-1,-1
10,09/12/2021 09:12,dtlpoldajateng,"Live Report Kasatalntas Polres Tegal Kota melaporkan pantauan Kamseltincarlantas dari Simpang Pramesthi Kota Tegal.  Situasi Arus Lalu Lintas dari arah Timur maupun Barat terpantau ramai lancar, Anggota melaksanakan kegiatan pengaturan jalan  https://t.co/aJWzoEkCxJ",-1,-1,1,-1
11,09/12/2021 09:10,mediaindonesia,"Aplikasi itu bertujuan memudahkan dan mendekatkan pelayanan PN Tegal dengan masyarakat, khususnya warga Kota Tegal.    https://t.co/aTyuprYMCV",-1,-1,1,-1
12,09/12/2021 08:08,Sate_Marem,Waktunya kulineran sate kambing muda di Sate Tegal Marem lagi kuyy! Satenya terbuat dari daging kambing muda pilihan yang didatangkan langsung dari Kota Tegal pasti bikin kamu betah nyate di Sate Tegal Marem.  https://t.co/d9jH3Q6zY2,-1,-1,-1,1
13,08/12/2021 22:49,GATRA_com,"Ditentang Warga, Wali Kota Tegal Ngotot Tutup Jalan  #protes #masyarakat #penutupan #jalan #tegal #alun #alun #protes  https://t.co/UrOrYeVTpR",-1,-1,0,-1
14,08/12/2021 22:19,Puskapikcom,Warga Kota Tegal Sekarang Bisa Mencetak Adminduk Mandiri  https://t.co/2aQFB6XJsT,-1,-1,1,-1
15,08/12/2021 21:20,kompascom,Wali Kota Tegal Dedy Yon Supriyono mengungkapkan alasan kebijakan menutup kawasan Alun-alun dan Jalan Pancasila dengan portal.  https://t.co/8tmiML3Z3a,-1,-1,1,-1
16,08/12/2021 21:02,kumparan,"Sejak dipadamkan mulai 1 Desember 2021, lampu penerangan jalan umum (PJU) di Kota Tegal akhirnya kembali dinyalakan bertahap mulai Rabu (8/12/2021) malam. #publisherstory  https://t.co/mXCzF1tpGn",-1,-1,1,-1
17,08/12/2021 20:39,kumparan,"Meski diprotes warga dan pedagang, pemortalan akses jalan menuju kawasan Alun-alun dan Jalan Pancasila Kota Tegal tetap diberlakukan dan tetap melarang kendaraan parkir di kawasan itu. #publisherstory  https://t.co/hsOEJIeA61",-1,-1,0,-1
18,08/12/2021 20:16,aulia_yulisma,Jalan Dr. Soetomo Kota Tegal. Pemadaman Lampu Jalan oleh @PemkotTegal  Mohon Pak @ganjarpranowo kasih solusi  https://t.co/qSp6oRQpIM,-1,-1,0,-1
19,08/12/2021 19:21,tegalfess,[tf] adain lawson sm marugame di tegal plisss 😭😭😭 biar kalo lg nyidam ga jauh2 amat mesti ke kota sebelah 😭😭😭,-1,-1,-1,1
20,08/12/2021 19:17,GATRA_com,"Plin-plan! PPKM Level 3 Batal, Wali Kota Tegal: Pemerintah Pusat Harus Tanggung Jawab Jika Terjadi Lonjakan Pasca Nataru   https://t.co/Conqaav4gy",-1,-1,0,-1
21,08/12/2021 18:56,BimasIslam,Penyuluh Kota Tegal Ajak Santri Jadi Teladan Kebersihan di Pondok Pesantren  Selengkapnya di:  https://t.co/Mp1fMZ7zBk  https://t.co/msDBmP0hvx,-1,-1,1,-1
22,08/12/2021 17:54,panturapost,"Keberatan Adanya Portal di Alun-alun dan Jalan Pancasila, Warga Temui Kapolres Tegal Kota   https://t.co/zsJ9cXy3SN",-1,-1,0,-1
23,08/12/2021 14:41,kumparan,"Sejumlah warga Kota Tegal menemui Kapolres Tegal Kota AKBP Rahmad Hidayat, Rabu (8/12/2021). #publisherstory  https://t.co/lS4JtpqJDy",-1,-1,0,-1
24,08/12/2021 10:07,IdMatakita,"Menjelang Nataru, Polres Tegal Kota Tingkatkan Pengamanan di Obyek-Obyek Vital.  https://t.co/SrpR1P2VYZ",-1,-1,1,-1
25,08/12/2021 09:38,tegalfess,"[TF] Tegal kota yg ada kupat2 dimana ya? kupat apa aja deh yg enak, suwun.. 🙏",-1,-1,-1,1
26,08/12/2021 02:40,RadioElshinta,"Kini warga di ujung Jakarta bisa menikmati air perpipaan melalui Sistem Penyediaan Air Minum (SPAM) Hutan Kota.  PAM JAYA menargetkan 30.000 pelanggan baru di area Pegadungan, Kamal, Tegal Alur dan Kamal Muara. via @DKIJakarta  https://t.co/HkLRgvjf3c",-1,-1,1,-1
27,07/12/2021 22:28,panturapost,"PPKM Level 3 Dibatalkan, Lampu PJU di Kota Tegal Masih Dipadamkan   https://t.co/2ZivIMd7CU",-1,-1,0,-1
28,07/12/2021 22:21,Puskapikcom,Pemadaman PJU di Kota Tegal Rawan Kecelakaan dan Kriminalitas  https://t.co/iM9kPKyxim,-1,-1,0,-1
29,07/12/2021 20:48,panturapost,Upaya percepatan dimulainya pekerjaan di lingkungan Pemerintah Kota Tegal (Pemkot Tegal) pada Tahun Anggaran 2022 terus disiapkan.   https://t.co/CovnozXPKh,-1,-1,1,-1
31,07/12/2021 14:15,hendrik_zack,Warga Kawasan Alun-alun Kota Tegal Merasa Terpenjara hingga Bangkrut karena Jalan Diportal  Klik untuk baca:  https://t.co/1rZXYWgEUD  @ganjarpranowo @Jateng_Today  @PemprovJatengID,-1,-1,0,-1
33,07/12/2021 13:48,GATRA_com,"PPKM Level 3 Serentak Batal, Kota Tegal Tetap Perketat Pengawasan  #kota #tegal # ppkm #nataru  https://t.co/2ovo8Tn2MC",-1,-1,0,-1
35,07/12/2021 12:13,mojokdotco,Keren nih Walikota Kota Tegal mau bikin floating market kayak di Bandung. Asal nanti nggak dipagerin aja kayak proyek-proyek yang lain. #TerminalMojok  https://t.co/XorSg7Qy2h,1,-1,-1,-1
36,07/12/2021 11:09,DisdukTegalKota,satu lagi kemudahan yang diberikan oleh Disdukcapil Kota Tegal untuk masyarakat Kota Tegal dalam pelayanan Adminduk..  https://t.co/wjkUK7OT9v,-1,-1,1,-1
37,07/12/2021 05:30,hariankompas,"Penutupan akses ke kawasan Alun-alun Kota Tegal, Jateng, menggunakan portal besi diprotes warga dan pelaku usaha yang merasa dirugikan. Penutupan akses itu dilakukan sepihak tanpa sosialisasi dan dasar hukum. #Nusantara #AdadiKompas @Kristilusia    https://t.co/6QW15b37xZ",-1,-1,0,-1
38,06/12/2021 22:23,kamalpratama787,@titokarnavian_ pak tito tolong kami warga kawasan alun2 kota tegal agar kebijakan penutupan jalan tidak dilakukan oleh walikota tegal. Kami para pengusaha sangat terdampak oleh penutupan jalan tersebut. Mohon bapa mau meninjau kebijakan yg tidak tepat ini,-1,-1,0,-1
39,06/12/2021 20:13,kumparan,"Pemkot Tegal diminta segera meninjau ulang kebijakan pemasangan portal akses jalan menuju kawasan Alun-alun dan Jalan Pancasila, Kota Tegal. Sebab, tidak memiliki dasar hukum. #publisherstory  https://t.co/4panZG77MX",-1,-1,0,-1
40,06/12/2021 19:22,inewsdotid,"Protes Alun-Alun Kota Tegal Ditutup Portal, Pedagang Kibarkan Bendera Kuning  https://t.co/1DroRiheyC #benderakuning",-1,-1,0,-1
42,06/12/2021 18:25,tegalfess,[tf] nasi lengko enak di tegal kota sih dimana ya guys? Makasi sebelumnya,-1,-1,-1,1
43,06/12/2021 18:06,kokotole212,Aksi pedagang kawasan alun2 kota tegal memasang bendera kuning pertanda berkabung karena akses kluar masuk jalan ditutup portal oleh pemkot...,-1,-1,0,-1
48,06/12/2021 12:25,tegalfess,[Tf]  Di daerah Tegal kota/kab ada ngga  yg menyediakan tempat tes toefl yg bersertifikat untuk keperluan perkuliahan?   Sender ngga bisa di kampus karena kehabisan kuota peserta😭,-1,1,-1,-1
54,06/12/2021 11:17,kumparan,Mereka mengadukan penutupan akses masuk kawasan Alun-alun dengan cara diportal yang dilakukan Pemerintah Kota (Pemkot) Tegal. #publisherstory  https://t.co/XfZ3Y0yAQB,-1,-1,0,-1
56,06/12/2021 10:30,tegalfess,[tf] tegal kota udh ada kopi kenangan belom?,1,-1,-1,1
57,06/12/2021 08:58,dtlpoldajateng,"Live Report Kasatlantas Polres Tegal Kota, dilaporkan situasi Arus Lalu Lintas di Perempatan Pasar Anyar Kota Tegal. Terpantau situasi Arus Lalu Lintas terpantau Lancar.  Dihimbau kepada seluruh Masyarakat Kota Tegal untuk mematuhi Protokol Kesehatan dan  https://t.co/jME6DjiBb3",-1,-1,1,-1
62,05/12/2021 20:52,killgorils,"@GrabID mohon di tindaklanjuti oknum driver yang tidak bertanggung jawab samasekali. entah kenapa, pesanan belum sampai ke konsumen, pesanan di cancel sepihak oleh si driver tersebut. padahal transaksi menggunakan OVO pay.  yang menjadi korban @haaapiefen lokasi di Kota Tegal.  https://t.co/h7LNrSdReK",-1,-1,0,-1
68,05/12/2021 17:03,infotegal,"Menikmati pemandangan tegal dari atas, bisa jadi pengalaman dan sensasi tersendiri saat naik bianglala di rita park #tegal. Kalau pas cuaca bagus bisa melihat gunung slamet di sebelah selatan atau kalau malam, bisa juga lihat lampu2 kota.  Ada yang suka naik wahana yang satu ini?  https://t.co/M71lwJh5Ee",1,-1,-1,-1
