date,username,tweet,location
2023-02-21 06:30:45,Jateng_Twit,"Pada peresmian itu, Gubernur Jateng Ganjar Pranowo didampingi Bupati Sragen Kusdinar Untung Yuni Sukowati. Selain itu, hadir pula kepala daerah dan perwakilan dari kabupaten setempat, antara lain Bupati Demak Eisti’anah, dan Bupati Semarang Ngesti Nugraha.",SULAWESI SELATAN
2023-02-21 06:28:40,Abang_Atus,Program Jateng Gayeng Nginceng Wong Meteng membantu menurunkan stunting di Jawa Tengah.   Kali ini penyusutan angka stunting di wilayah kepemimpinan Ganjar Pranowo mampu turun drastis hingga 51%.  https://t.co/MKwOkBqVPL,SULAWESI SELATAN
2023-02-21 05:53:43,JudyGeeks,@joko_tuek Sepertinya si @joko_tuek @hermanlanang86 kehabisan supplemen kartu Indonesia pintar dari junjungannya yang TOLOL BANGET @jokowi @basuki_btp @ganjarpranowo @pdi_perjuangan @erickthohir @yaqutcqoumas @alingabalinnew @gunromli @psi_id  https://t.co/nZ846Jcbat,SULAWESI SELATAN
2023-02-21 05:52:23,ZoneVenomWar,"Jawa tengah ini pak @ganjarpranowo , ga punya BPJS juga...",SULAWESI SELATAN
2023-02-21 05:46:20,eneng_19,Rembug Desa Karanganyar.  Gubernur Ganjar Pranowo menyerukan agar mewaspadai potensi stunting. Optimalkan Call Center 24 jam agar pertanyaan masyarakat akan bs dijawab. #GanjarPranowo  https://t.co/TBix5Lr8Rr,SULAWESI SELATAN
2023-02-21 05:40:33,eneng_19,"Program 5NG berhasil menurunkan angka STUNTING Jateng.  @ganjarpranowo mengapresiasi semua pihak yg tlh berkontribusi menurunkan angka stunting.   Ayo genjot trs,, krn sistem ini sangat membantu.  #GanjarPranowo  https://t.co/8fLZLNCF9o",SULAWESI SELATAN
2023-02-21 05:31:39,eneng_19,Kasus STUNTING Jateng turun drastis!  Semoga program Ganjar Pranowo ini bisa diterapkan di seluruh Indonesia 🇲🇨  Jateng Gayeng Nginceng Wong Meteng. @ganjarpranowo #GanjarPranowo  https://t.co/uuTb9TExLi,SULAWESI SELATAN
2023-02-21 04:52:44,Chusnialbaraq,@GanjaranApp @ganjarpranowo @GunRomli Mantap semoga NU bisa ikut berperan dalam upaya membangun Negeri bersama pak ganjar,SULAWESI SELATAN
2023-02-21 04:51:42,Chusnialbaraq,"@GanjaranApp @ganjarpranowo Semoga bisa menjadi keluarga yang berbahagia, harmonis dan langgeng sampai akhir hayat",SULAWESI SELATAN
2023-02-21 04:50:47,Chusnialbaraq,"@GanjaranApp @ganjarpranowo Benar2 membawa maanfaat dari Lapak ganjar, semoga bisa selalu neri yang terbaik",SULAWESI SELATAN
2023-02-21 04:49:44,Chusnialbaraq,@GanjaranApp @ganjarpranowo Semangat memajukan pendidikan di Jateng dan Indonesia pak,SULAWESI SELATAN
2023-02-21 04:48:54,Chusnialbaraq,@GanjaranApp @ganjarpranowo Semoga semangat perjuangan bung karno bisa menular ke bapak Ganjar. Hebaat,SULAWESI SELATAN
2023-02-21 04:46:14,PattyIsak,"@ganjarpranowo Sehat selalu Pak,,, Salam dari Seram Bagian Barat-Allang Asaude",SULAWESI SELATAN
2023-02-21 04:23:10,HadiWibisono10,SEORANG GANJAR PRANOWO ADALAH SEORANG PEMBERANI YG SANTAI TAPI MENOHOK MENTAL.... PERNAHKAH MANTAN GUBENUR DKI BERSIKAP SEPERTI GANJAR PRANOWO....????  https://t.co/R6qe3ZrBdO,SULAWESI SELATAN
2023-02-21 03:22:03,jpnncom,Ganjar Serahkan Dana Hibah Rp 434 Miliar untuk Pendidikan Keagamaan &amp; Insentif Guru Agama #GanjarPranowo  https://t.co/ca6ufUs1Ip,SULAWESI SELATAN
2023-02-21 02:16:55,Wennyha00030587,@ganjarpranowo  https://t.co/yGk2etc5jE,SULAWESI SELATAN
2023-02-21 02:14:50,Wennyha00030587,@ganjarpranowo  https://t.co/maz9WI5Zfq,SULAWESI SELATAN
2023-02-21 00:42:33,liputan6dotcom,"Mempercepat Penurunan Kemiskinan, Ganjar Pranowo Lakukan Sejumlah Inovasi  https://t.co/y8RJH8nPbZ",SULAWESI SELATAN
2023-02-20 23:57:52,catatankaqihati,"Bukan @ganjarpranowo namanya klo tak berinovasi untuk masyarkaat. Bahkan, banyak program2 kesehatan beliau yg viral dn di jadikan contoh oleh pemda provinsi lain.  #GANTARI🇲🇨  https://t.co/EQRwY2nu7g",SULAWESI SELATAN
2023-02-20 23:55:27,catatankaqihati,"Perkawinan pada usia anak jadi salah satu penyebab terjadinya stunting Unruk menekan kasus Perkawinan Anak, @ganjarpranowo luncurkan Care center Jo Kawin Bocah.  Tentu dengan adanya layanan ini, bs berhasil turunkan angka kasus perkawinan usia anak di Jawa Tengah #Gantari🇲🇨  https://t.co/JWpeIJva7i",SULAWESI SELATAN
2023-02-20 23:55:19,anggara_kasih11,@siregar_najeges @jokowi @prabowo @aniesbaswedan @ganjarpranowo @sandiuno @puanmaharani_ri Aamiin,SULAWESI SELATAN
2023-02-20 23:53:00,K4m807ab0da5,@esipra1 @AirinDatangLagi @ganjarpranowo knp kok meriang ?  1. Bahwa jungjungannya penuh tipu daya tdk terima padahal banyak buktinya = Meriang. 2. Embel2 selalu dagang agama penuh dgn kata2 surga..kalo di colek se akan2 paling ter aniaya = Meriang. 3. ...ada yg mau nambahin ?   Jijik gw lihat akun kya dia😆,SULAWESI SELATAN
2023-02-20 23:52:45,catatankaqihati,Ayo lawan Stunting! @ganjarpranowo mengajak ribuan mahasiswa Unimus tuk ikut serta cegah stunting dan mempraktekkannya langsung di lapangan.   Hal ini sangat penting tuk mahasiswa mempraktikkan ilmu yg didapat di tmpt kuliah dn diterapkan di tengah masyarakat #GANTARI🇲🇨  https://t.co/ie6kgeIVK9,SULAWESI SELATAN
2023-02-20 23:41:15,catatankaqihati,"Generasi Putih pasti mau tau dnk resep rahasia @ganjarpranowo bhasil turunkan angka stunting di Jateng gmana?  Semua wilayah Siaga stunting! Nah klo di KarangAnyar , ada yg namanya Call Center yg siaga 24 jam tuk melayani masyarakat seputar kesehatan tmasuk stunting. #Gantari🇲🇨  https://t.co/5vt3YjpSKl",SULAWESI SELATAN
2023-02-20 23:40:59,soeripsarap,"@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Saat yg tepat bagi om @budimandjatmiko  Beliau lokomotif reformasi,dan telah melalui transisi sampai saat sekarang. Beri dia kesempatan untuk memperbaiki negeri ini sesuai fantasinya dulu.",SULAWESI SELATAN
2023-02-20 23:10:24,RioDamardjati,@GPJateng @ganjarpranowo Percepatan Penurunan Angka Stunting Nasional Menuju Generasi Emas Indonesia 2045  https://t.co/zYnxDjWZZ0,SULAWESI SELATAN
2023-02-20 23:07:07,RioDamardjati,@__RismaWidiono_ @rmiryanti @ganjarpranowo Percepatan Penurunan Angka Stunting Nasional Menuju Generasi Emas Indonesia 2045  https://t.co/zYnxDjWZZ0,SULAWESI SELATAN
2023-02-20 22:36:49,ddion12,@ganjarpranowo Kedisik an import pak 😂 PETANI Menangis,SULAWESI SELATAN
2023-02-20 22:36:26,JhonniSinaga20,Mantap kali bang ... namun kami voter sudah lebih awal menentukan pilihan ke Pak @ganjarpranowo dan Pak @prabowo.  Mantap juga kan bang ... ini juga bagian dari sistem demokrasi kita. Rakyat Voter/Pemilih.   🙏🙏🙏🙏🙏🙏🙏,SULAWESI SELATAN
2023-02-20 22:34:39,DrPrasetio,@ganjarpranowo #  @the @ @ @stbusinessdesk    @    @   5.  Years @@the @psi_id @@@@@I @@@@,SULAWESI SELATAN
