date;username;tweet;wisata/hiburan;pendidikan;fasilitas/layanan publik;kuliner
09/12/2021 23:11;BsiWahyudi;"Wisuda Universitas BSI Kampus Kabupaten Banyumas ke-16 &amp; Kampus Kota Tegal ke-4 (06/12/2021) @ Java Heritage Hotel Purwokerto  https://t.co/MSS0lvsQgW";-1;1;-1;-1
09/12/2021 20:44;PPPLarangan;(03/12/2021)  Mengikuti kegiatan bersih pantai yang diselenggarakan Lanal Tegal di Pantai Alam Indah Kota Tegal. Kegiatan ini diikuti oleh berbagai instansi terkait di kota tegal dan sekitarnya.  @dkpjateng  @djpt_kkp  https://t.co/Q5O2K91QN4;-1;-1;1;-1
09/12/2021 19:46;AdvFeryAjah;@infoplntegal Selamat malam , mohon di tindak lanjuti di daerah saya dari jam 17.30 WIB mati listrik sampai sekarang belum menyala  Alamat di jl. Drcipto mangunkusumo Kaligansa Kecamatan margadana Kota Tegal;-1;-1;0;-1
09/12/2021 19:27;tegalfess;[TF] info banjir daerah tegal kota dong lurr, kayong pgn seblak kie, makasii;-1;-1;-1;1
09/12/2021 14:58;detikcom;Pemasangan portal di jalan masuk Alun-alun Kota Tegal diprotes pedagang. Wali Kota Tegal Deddy Yon Suriyono membeberkan alasan dari penutupan jalan tersebut.  https://t.co/sf2LxKcEog;-1;-1;0;-1
09/12/2021 14:33;0734_kodim;Dalam rangka memperingati Hari Juang Kartika (HJK) TNI-AD tahun 2021 Kodim 0734/Kota Yogyakarta gelar kegiatan bhakti sosial donor darah bertempat di Jl. Tegal Gendu No.25,Prenggan, Kec. Kotagede, Kota Yogyakarta. Kamis (9/12/2021).  https://t.co/VqqMRgxjZ0;-1;-1;1;-1
09/12/2021 14:03;disnakerintegal;"Perusahaan di Kota Tegal wajib membayar upah sesuai Upah Minimum Rp 2.005.930,52 utk pekerja dengan masa kerja kurang dari 12 bulan; dan wajib menyusun Struktur dan Skala Upah sebagai dasar pembayaran upah untuk pekerja dengan masa kerja lebih dari 12 bulan.  https://t.co/7ZFzzkih2z";-1;-1;-1;-1
09/12/2021 13:58;radarmasnetwork;PPKM Level 3 Batal, Akhirnya Tegal Nyalakan Lagi Lampu-lampu Jalan di Kota #JawaTengah #KotaTegal  https://t.co/kU3VzqvaTP;-1;-1;1;-1
09/12/2021 10:42;askrindo;Askrindo memberikan pembinaan dan bantuan Tanggung Jawab Sosial dan Lingkungan berupa sarana produksi kepada beberapa Kelompok seperti UMKM Seafood Olahan Kota Tarakan, UMKM Binaan Tegal, dan Pengrajin Sepatu Tasikmalaya.  https://t.co/nbBd1QIlmV;-1;-1;1;-1
09/12/2021 09:38;bapelkesjateng;Pembukaan Pelatihan Jabatan Fungsional Perawat Angkatan II (9 - 16 Desember 2021) dan  Pelatihan Jabatan Fungsional Bidan (9 - 15 Desember 2021) BKPPD Kota Tegal  metode  Full Online  https://t.co/SKUfJJxBd9;-1;1;-1;-1
09/12/2021 09:12;dtlpoldajateng;Live Report Kasatalntas Polres Tegal Kota melaporkan pantauan Kamseltincarlantas dari Simpang Pramesthi Kota Tegal.  Situasi Arus Lalu Lintas dari arah Timur maupun Barat terpantau ramai lancar, Anggota melaksanakan kegiatan pengaturan jalan  https://t.co/aJWzoEkCxJ;-1;-1;1;-1
09/12/2021 09:10;mediaindonesia;Aplikasi itu bertujuan memudahkan dan mendekatkan pelayanan PN Tegal dengan masyarakat, khususnya warga Kota Tegal.    https://t.co/aTyuprYMCV;-1;-1;1;-1
09/12/2021 08:08;Sate_Marem;Waktunya kulineran sate kambing muda di Sate Tegal Marem lagi kuyy! Satenya terbuat dari daging kambing muda pilihan yang didatangkan langsung dari Kota Tegal pasti bikin kamu betah nyate di Sate Tegal Marem.  https://t.co/d9jH3Q6zY2;-1;-1;-1;1
08/12/2021 22:49;GATRA_com;Ditentang Warga, Wali Kota Tegal Ngotot Tutup Jalan  #protes #masyarakat #penutupan #jalan #tegal #alun #alun #protes  https://t.co/UrOrYeVTpR;-1;-1;0;-1
08/12/2021 22:19;Puskapikcom;Warga Kota Tegal Sekarang Bisa Mencetak Adminduk Mandiri  https://t.co/2aQFB6XJsT;-1;-1;1;-1
08/12/2021 21:20;kompascom;Wali Kota Tegal Dedy Yon Supriyono mengungkapkan alasan kebijakan menutup kawasan Alun-alun dan Jalan Pancasila dengan portal.  https://t.co/8tmiML3Z3a;-1;-1;1;-1
08/12/2021 21:02;kumparan;Sejak dipadamkan mulai 1 Desember 2021, lampu penerangan jalan umum (PJU) di Kota Tegal akhirnya kembali dinyalakan bertahap mulai Rabu (8/12/2021) malam. #publisherstory  https://t.co/mXCzF1tpGn;-1;-1;1;-1
