,tweet
0,"Siapapun yg terpilih apakah pak @prabowo atau @aniesbaswedan akan memperbaiki iklim demokratisasi yang ""rusak"" termasuk menghilangkan polarisasi yang selama ini muncul. Beliau berdua adalah seorang Demokrat sejati yang akan mengembalikan Indonesia pada cita-cita pendiri bangsa."
1,@galihholic_23 @MSApunya @prabowo 😁
2,Hal yang meringankan @aniesbaswedan untuk mencalonkan dan dicalonkan sebagai capres 2024 berhadapan dengan @prabowo sekalipun. Lantas konfigurasi @prabowo - @puanmaharani_ri vs @aniesbaswedan - @KhofifahIP bukannya melanggengkan polarisasi yg selama ini terjadi? Saya optimis tdk
3,"Jika @aniesbaswedan masih menjabat sebagai Gubernur DKI dan @prabowo serta @Gerindra mengusung dirinya jadi Gubernur pada 2022-2027 (asumsinya pilkada tidak ditunda 2024) maka Anies merasa punya persoalan etik utk tidak ""berkhianat"" pada @prabowo &amp; @Gerindra. Penundaan pilkada jd"
4,@MSApunya @prabowo Wuahahaha...ogaaahh...
5,"Kedua, ada figur sentral lainnya yg justru munculkan nama @aniesbaswedan sbg cagub DKI 2017 yll, dia adl @Pak_JK, wapres 2004-2009 &amp; 2014-2019. Andil tokoh2 ke Anies sbg cagub bkn tunggal dari @prabowo. Ketiga, panggilan kebangsaan dimana Anies harus capres menggema di tanah air"
6,@LuPeang62 @MSApunya @prabowo sukurin
7,"Lantas kenapa @aniesbaswedan mau diusung sebagai capres berhadapan dengan @prabowo yang notabene salah satu figur sentral yg usung Anies jadi cagub DKI 2017 yll? Pertama, Anies sdh wujudkan amanah sbg Gubernur 5 tahun &amp; tidak tergoda capres 2019 saat dirinya menjabat &amp; selesai."
8,Kemunculan pasangan @cakimiNOW (capres) &amp; @AgusYudhoyono (cawapres) akan meminimalkan polarisasi dua kubu @prabowo - @puanmaharani_ri vs @aniesbaswedan - @KhofifahIP. Lantas bagaimana dg @airlangga_hrt &amp; @Golkar5 ? Spt tahun 2019 yll diprediksi merapat di salah satu dari 3 poros
9,"@MarkTomasovic Pak @prabowo, lihat, deh 😊"
10,@PDI_Perjuangan. Lantas siapa parpol yg bakal mengusung @aniesbaswedan &amp; @KhofifahIP ? @DPPNasDem jadi tumpuan utama menggalang kekuatan melawan @prabowo - @puanmaharani_ri. Parpol yang potensial merapat adl @PKSejahtera PPP &amp; @Official_PAN sudah lebih dari cukup kursi mengusung
11,dukung oleh kelompok Islam tradisional NU. Khofifah juga mantan ketua Fatayat NU. Kelima alasan tersebut diatas sudah lebih dari cukup untuk mengusung @aniesbaswedan &amp; @KhofifahIP sebagai capres-cawapres berhadapan dg @prabowo - @puanmaharani_ri yg kemungkinan diusung @Gerindra &amp;
12,"Kenapa @KhofifahIP diunggulkan dampingi @aniesbaswedan ? Pertama, Khofifah dalam dua pilpres tidak mendukung @prabowo. Kedua saat maju sbg cagub Jatim 2018, Khofifah tidak didukung @PDI_Perjuangan. Ketiga, Khofifah &amp; Anies sdh selesai 1 periode sbg Gubernur &amp; Pilgub usai pilpres"
13,"Menhan pak @prabowo mmg pintar dlm membuat kesan mendalam bg partner/mitra yg diajak kerja sama. Lobby2 pintar spt ini tdk hny soal kedekatan dr sisi material bisnis yg slg menguntungkan, tp lbh drpd itu kedekatan scr emosional (feeling touch) between 2 persons dlm jalinan tsb.  https://t.co/A8rBvWoyOW"
14,@prabowo  https://t.co/mRmcObtaCx
15,@Maya83206301 @DavidWijaya82 @ChusnulCh__ @pengarang_sajak @FirzaHusainID @tukangrosok___ Ukurannya adalah 3 besar survey elektabilitas  @ganjarpranowo  @prabowo  @aniesbaswedan
16,"Budrex tingkat tinggi darah naik bikin emosi suku mandaleh nusa tenggara timur pasukan mawar pecatan kopasus anak buahnya prabowo subianto,berkata lancang tidak tahu terima kasih .camkan itu dunia !!!?!!!!!!!!!bajingan.  https://t.co/N0aJ664uBE"
17,"Budrex tingkat tinggi darah naik bikin emosi suku mandaleh nusa tenggara timur pasukan mawar pecatan kopasus anak buahnya prabowo subianto,berkata lancang tidak tahu terima kasih .camkan itu dunia !!!?!!!!!!!!!bajingan.  https://t.co/PQhJNpO4v0"
18,"Budrex tingkat tinggi darah naik bikin emosi suku mandaleh nusa tenggara timur pasukan mawar pecatan kopasus anak buahnya prabowo subianto,berkata lancang tidak tahu terima kasih .camkan itu dunia !!!?!!!!!!!!!bajingan.  https://t.co/BLHyvY4vvC"
19,"Budrex tingkat tinggi darah naik bikin emosi suku mandaleh nusa tenggara timur pasukan mawar pecatan kopasus anak buahnya prabowo subianto,berkata lancang tidak tahu terima kasih .camkan itu dunia !!!?!!!!!!!!!bajingan.  https://t.co/SZf9baTyDG"
20,@RAHMAWA55555756 @prabowo @Kemhan_RI Ntar lagi ad yg ngomg lagi gak peralatan tempur udara disimpan dimana!!!?
21,Survei: Elektabilitas Prabowo Subianto Konsisten Teratas   #Sindonews #BukanBeritaBiasa . https://t.co/kzSJxRTLw1
22,@mohmahfudmd @jokowi @prabowo
23,@CryptoTownEU Nice Perfect  @jokowi  @prabowo  @sandiuno
24," https://t.co/yJQt0mOeJi Selamat yah BIN, Jangan hanya mengawasi rakyat yang setia terhadap Pancasila aja, P @prabowo🙏 awasin juga dong Konspirasi  Intel perang Teluk yang menyebabkan Saddam Husein di hukum mati, Jaga Pancasila Jaga NKRI #HasbunallahWanikmalWakil"
25,@prabowo @sandiuno @fadlizon @Fahrihamzah @msaid_didu
26,Pesan di Balik Ambisi Prabowo Subianto Jor-joran Belanja Alutsista    https://t.co/kGoWz59Brm via @TirtoID
27,@MSApunya @prabowo Rak sah guyon
28,@ORakyat4 @IiiZahrah @Matahari_1912 @Alismar89937714 @panjul_02 @Bund_arissa_ @clina009 @balagadona99 @DevaSudrajat1 @MariaAlcaff @Muslim_AntiPKI2 @prabowo @Kiyai_MarufAmin @ganjarpranowo bangsat emang
29,@IiiZahrah @ORakyat4 @Matahari_1912 @Alismar89937714 @panjul_02 @Bund_arissa_ @clina009 @balagadona99 @DevaSudrajat1 @MariaAlcaff @Muslim_AntiPKI2 @prabowo @Kiyai_MarufAmin @ganjarpranowo bangsat emang
30,@tvOneNews Kenapa Bapak Prabowo Subianto tidak diundang?
31,Saran pak anies @prabowo @Gerindra smoga di baca mimin gerinda sma PS08
32,@avocadocoin @jokowi @prabowo @LunaMaya26
33,"@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Maaf, gak punya."
34,"@geloraco MUSUH KITA PEMIMPIN YG ZHOLIM PAK @prabowo ,, UNTUK NYERANG SIAPA JET TEMPUR ITU? 😟"
35,@PrimeFinance_ @jokowi @prabowo @LunaMaya26
36,@mistersaeful @prabowo @cakimiNOW @EmHasanuddin @DPP_PKB @anggiaermarini @enungmaryati2 @voiceofpkb @Gerindra @billy4riez Siap mengawal sampai jadi
37,@MSApunya @prabowo Ogah banget
38,"@IiiZahrah @MariaAlcaff @ORakyat4 @Matahari_1912 @rezimbiadap @Alismar89937714 @panjul_02 @Bund_arissa_ @clina009 @balagadona99 @DevaSudrajat1 @Muslim_AntiPKI2 @prabowo @Kiyai_MarufAmin @ganjarpranowo Kalau buat perang, anti pukul Anti tembak pakai Lembu Sekilan💪💪💪😆"
39,@tweetmiliter @jokowi @prabowo @rianernesto Partai Sino-Indonesia  https://t.co/Ue3YOnTX85
40,Mantap nih pa @prabowo 👊🇲🇨  Taruna2 RI bisa sekolah di Akademi Militer Prancis 🥰  https://t.co/xyHhwlAQtL
41,Survei: Elektabilitas Prabowo Subianto Konsisten Teratas  https://t.co/meobBgewsL
