tweet;wisata/hiburan;pendidikan;fasilitas/layanan publik;kuliner
"Wisuda Universitas BSI Kampus Kabupaten Banyumas ke-16 &amp; Kampus Kota Tegal ke-4 (06/12/2021) @ Java Heritage Hotel Purwokerto  https://t.co/MSS0lvsQgW";-1;1;-1;-1
(03/12/2021)  Mengikuti kegiatan bersih pantai yang diselenggarakan Lanal Tegal di Pantai Alam Indah Kota Tegal. Kegiatan ini diikuti oleh berbagai instansi terkait di kota tegal dan sekitarnya.  @dkpjateng  @djpt_kkp  https://t.co/Q5O2K91QN4;-1;-1;1;-1
@infoplntegal Selamat malam , mohon di tindak lanjuti di daerah saya dari jam 17.30 WIB mati listrik sampai sekarang belum menyala  Alamat di jl. Drcipto mangunkusumo Kaligansa Kecamatan margadana Kota Tegal;-1;-1;0;-1
[TF] info banjir daerah tegal kota dong lurr, kayong pgn seblak kie, makasii;-1;-1;-1;1
Pemasangan portal di jalan masuk Alun-alun Kota Tegal diprotes pedagang. Wali Kota Tegal Deddy Yon Suriyono membeberkan alasan dari penutupan jalan tersebut.  https://t.co/sf2LxKcEog;-1;-1;0;-1
Dalam rangka memperingati Hari Juang Kartika (HJK) TNI-AD tahun 2021 Kodim 0734/Kota Yogyakarta gelar kegiatan bhakti sosial donor darah bertempat di Jl. Tegal Gendu No.25,Prenggan, Kec. Kotagede, Kota Yogyakarta. Kamis (9/12/2021).  https://t.co/VqqMRgxjZ0;-1;-1;1;-1
"Perusahaan di Kota Tegal wajib membayar upah sesuai Upah Minimum Rp 2.005.930,52 utk pekerja dengan masa kerja kurang dari 12 bulan; dan wajib menyusun Struktur dan Skala Upah sebagai dasar pembayaran upah untuk pekerja dengan masa kerja lebih dari 12 bulan.  https://t.co/7ZFzzkih2z";-1;-1;-1;-1
PPKM Level 3 Batal, Akhirnya Tegal Nyalakan Lagi Lampu-lampu Jalan di Kota #JawaTengah #KotaTegal  https://t.co/kU3VzqvaTP;-1;-1;1;-1
Askrindo memberikan pembinaan dan bantuan Tanggung Jawab Sosial dan Lingkungan berupa sarana produksi kepada beberapa Kelompok seperti UMKM Seafood Olahan Kota Tarakan, UMKM Binaan Tegal, dan Pengrajin Sepatu Tasikmalaya.  https://t.co/nbBd1QIlmV;-1;-1;1;-1
Pembukaan Pelatihan Jabatan Fungsional Perawat Angkatan II (9 - 16 Desember 2021) dan  Pelatihan Jabatan Fungsional Bidan (9 - 15 Desember 2021) BKPPD Kota Tegal  metode  Full Online  https://t.co/SKUfJJxBd9;-1;1;-1;-1
