,date,username,tweet,location
0,2022-11-27 13:36:43,REdukazi,Pemimpin yang memikirkan rakyat berarti seperti Pak Ganjar 😂  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/qDFuBRe5mg,ACEH
1,2022-11-27 13:33:01,REdukazi,Ganjar Mengerti Keinginan Rakyat   #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/kQZ0QYLAV6,ACEH
2,2022-11-27 13:32:22,REdukazi,Ganjar Memberikan Kesejahteraan Untuk Para Guru  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/sXm8I28IEh,ACEH
3,2022-11-27 13:30:56,REdukazi,Ganjar Calon Presiden Pilihan Rakyat   #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ssg0fkeBNn,ACEH
4,2022-11-27 11:34:57,WaktuSumut,Indonesia Butuh Pemimpin Kharismatik seperti Ganjar #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/BaJUJvYExu,ACEH
5,2022-11-27 11:32:13,WaktuSumut,Ayo Masyarakat Indonesia Dukung Ganjar  Untuk Indonesia Yang Berkelas #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/1ICWaenSSR,ACEH
6,2022-11-27 11:30:16,WaktuSumut,Ganjar Pranowo Berikan Yang Terbaik untuk Indonesia. #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/uucTw7okyv,ACEH
7,2022-11-27 11:28:28,WaktuSumut,Indonesia Butuh Pemimpin Kharismatik seperti Ganjar#ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/li82v4JsRL,ACEH
8,2022-11-27 11:19:36,SumutVibes,Ganjar juga siap melanjutkan kesuksesan Jokowi  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/jnZPq3UjI8,ACEH
9,2022-11-27 11:18:56,SumutVibes,Ganjar sangat memperhatikan kesejahteraan rakyat  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/09ps7ZjZIj,ACEH
10,2022-11-27 11:18:12,SumutVibes,Ganjar pemimpin visioner dan cerdas #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/OcMH2rycSy,ACEH
11,2022-11-27 11:18:06,SumutVibes,Ganjar calon Presiden idaman rakyat  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/u7WRmKohXD,ACEH
12,2022-11-27 11:17:31,SumutVibes,Ganjar terbukti kerja nyata untuk masyarakat  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ScvaFbX5Sy,ACEH
13,2022-11-27 11:17:25,SumutVibes,Ganjar juga sangat peduli dengan rakyat  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/JPT1Kxuy4M,ACEH
14,2022-11-27 11:16:13,SumutVibes,Ganjar pemimpin yang cerdas #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/GXth2wNZT0,ACEH
15,2022-11-27 11:16:01,SumutVibes,Ganjar terus peroleh banyak dukungan jadi Presiden 2024 #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/6ecRocp3gq,ACEH
16,2022-11-27 11:15:46,SumutVibes,Sahabat Ganjar terus menyalurkan bantuan kepada warga Cianjur  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ATFpU8nCv1,ACEH
17,2022-11-27 11:14:21,SumutVibes,Ganjar sangat menghargai jasa jasa guru  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/2YGphnqbdM,ACEH
18,2022-11-27 11:13:54,SumutVibes,Ganjar sangat memperhatikan kesejahteraan guru #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/vBWOQsDOjM,ACEH
19,2022-11-27 11:06:10,guntur_juli,Ganjar Pranowo for 2024 #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/IE9M0O0q8a,ACEH
20,2022-11-27 11:05:40,guntur_juli,Si rambut putih yang nyata kerjanya hanya Ganjar Pranowo #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/gplwxbgzt3,ACEH
21,2022-11-27 11:05:30,guntur_juli,Sinyal kuat dari Jokowi untuk Ganjar Pranowo #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/HF6BBi7GWh,ACEH
22,2022-11-27 10:47:43,MariaMuna55,Ganjar pranowo untuk bangsa dan negara #ganjarpilihanjokowi  https://t.co/Jw9PtFeYzo,ACEH
23,2022-11-27 10:44:09,ganjar4ina,Jokowi beri sinyal dukung pemimpin berambut putih di 2024. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/Dm56kzS9j2,ACEH
