Column1;date;username;tweet;location;label
0;27/12/2022 21:36;RiskaRi15138029;@om_eprajol @aniesbaswedan Emng enak ya;ACEH;0
1;27/12/2022 19:25;KathyHargrove20;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/UBOvWIpJK6;ACEH;0
2;27/12/2022 14:28;sitohang76;Padahal @aniesbaswedan sudah dapat nama Johanes dari gereja. Kamu gak mau dapat apa?;ACEH;0
3;27/12/2022 10:12;danialzanif;Solo tolak kedatangan anies baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/a2keE5uKPj;ACEH;0
4;27/12/2022 10:11;danialzanif;Anies Baswedan dalang dibalik radikalisme   #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/DbyQU754oe;ACEH;0
5;27/12/2022 10:08;danialzanif;Wan Abud anies baswedan si biadab radikal  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/o0kaD2xaf5;ACEH;0
6;27/12/2022 09:17;KathyHargrove20;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/ESofamC9S7;ACEH;0
7;26/12/2022 23:51;Syakumai1;@Sukardi2017 @aniesbaswedan Bacoot yahya;ACEH;0
8;26/12/2022 22:08;cutadhe92;@ruhutsitompul Woi ruhut, kau sengaja dipanjangkan umurnya , biar bisa lihat langsung saat pak @aniesbaswedan Jadi PRESIDEN di 2024..;ACEH;0
9;26/12/2022 20:17;danialzanif;Anies Baswedan capres dukungan kelompok radikal  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/5Xc8fD5ftb;ACEH;0
10;26/12/2022 20:16;danialzanif;Anies Baswedan mulai gerakan Ormas terlarang  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/WJUsWDLWCQ;ACEH;0
11;26/12/2022 13:00;Ekahermansyah11;Anies Baswedan Bikin kebodohan di Jakarta  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/sl2mcNolWj;ACEH;0
12;26/12/2022 12:56;Ekahermansyah11;Anies Baswedan Bapak Politik Identitas   #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/8bl6aA6t8s;ACEH;0
13;26/12/2022 12:55;Ekahermansyah11;Anies Baswedan Menipu Warga DKI Jakarta  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/D0P07xOOz8;ACEH;0
14;26/12/2022 09:06;MeifddyMukuan;DKI Jakarta sudah menjadi korban KEBODOHANNYA Anies Baswedan #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #Pribumi  https://t.co/GVYQFdHI5j;ACEH;0
15;26/12/2022 08:47;danialzanif;Anies Baswedan memang bajingan, menipu rakyat  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/6uy3P7kYxq;ACEH;0
16;26/12/2022 08:45;danialzanif;Jakarta aja rusak ditangan anies baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/HDNfnogXj2;ACEH;0
17;26/12/2022 06:57;mangunsong63;@NasDem @aniesbaswedan Kegedean Nafsu berkuasa tuh @NasDem dan @aniesbaswedan ,  https://t.co/NI1Vs8hxCw;ACEH;0
18;25/12/2022 20:12;papatanjung;@free_witty @Jogja_Menyapa Ohhhh... @aniesbaswedan Gagal? Tanya Ketua DPRD DKI @PrasetyoEdi_ dong. Kan DPRD DKI yang menyetujui, mengawasi dan menilai KINERJA Gubernur. Hasil nya  WTP 5x. Anda melecehkan kinerja DPDRD DKI dan BPK RI dong. Ya kan mas @gembong_warsono ?  https://t.co/LuCiYQmPqr;ACEH;0
19;25/12/2022 19:07;AmyTuckTuck;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/Sendtkx1gI;ACEH;0
20;25/12/2022 14:39;Yudha_YWP;@NasDem @ndmendez13 @aniesbaswedan Maju terus 💪;ACEH;1
21;25/12/2022 14:10;guntur_juli;GANJAR AKAN MENANG MUDAH, APALAGI LAWANYA ANIES BASWEDAN!!! NI#ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/vtapjz4Phd;ACEH;0
22;25/12/2022 11:20;bang_tigor21;Anies Baswedan mantan Gakbener..!!! #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/7b2DhAD7bk;ACEH;0
23;25/12/2022 10:09;KathyHargrove20;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/kyUuhMuMfN;ACEH;0
24;25/12/2022 10:07;AmyTuckTuck;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/nrXHto3v9E;ACEH;0
25;24/12/2022 21:22;mangunsong63;@radie_e @AbuNawa48105494 @Mdy_Asmara1701 @aniesbaswedan Pembuat mau dipilih ? No Way...  https://t.co/1Vq8NzHaEa;ACEH;0
26;24/12/2022 15:04;Ekahermansyah11;Anies Baswedan tukang kibul   #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/pn2MShzKWY;ACEH;0
27;24/12/2022 13:17;mencariilham45;Anies Baswedan Bapak Politik Identitas  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/VinwphG5FT;ACEH;0
28;24/12/2022 12:05;Yudha_YWP;@R_min80 @aniesbaswedan Anjijg lu. Ngehoax mulu!!;ACEH;0
29;24/12/2022 10:16;Devon11853923;tolak politik anies baswedan yang didukung radikal di seluruh indonesia #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/jfigbSuZ9t;ACEH;0
30;23/12/2022 16:38;PerluTukang;Orderan Hari Ini 23 Desember 2022 Dari Wilayah Jawa Barat, Kota Bandung 📌  . . #ridwankamil #jawabarat #edyrahmayadi #sumaterautara #medan #aniesbaswedan #jakarta #viral #explorepage #trending #explore #instagram #like #follow  https://t.co/MJMNc66ND2;ACEH;0
31;23/12/2022 15:58;inalritonga;@rahmani_ima @aniesbaswedan Haha Masuk angin itu orang  Butuh kerokan 😂🤣;ACEH;0
32;23/12/2022 15:52;inalritonga;@rahmani_ima @aniesbaswedan Itu kok pake HIV segala  😤;ACEH;0
33;23/12/2022 10:36;MeifddyMukuan;Fakta kinerja Anies Baswedan #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/RLhHnF2moj;ACEH;0
34;23/12/2022 09:46;danialzanif;Anies baswedan penuh kedustaan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/QBgz0D2Nr8;ACEH;0
35;23/12/2022 09:45;danialzanif;Terbukti tidak berkompeten anies baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/ebtSMyU4Ib;ACEH;0
36;23/12/2022 09:45;danialzanif;Emang makin kesini makin tolol anies baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/lCBoIC2Wfa;ACEH;0
37;23/12/2022 09:44;danialzanif;Nasdem dibodohi sama anies baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/J4nPbRB2Ys;ACEH;0
38;22/12/2022 14:46;ongapican;@TeddGus @aniesbaswedan Ketua partai aja gak dapat suara, sungguh Memalukan !!!;ACEH;0
39;22/12/2022 11:02;bang_tigor21;Anies Baswedan pemimpin gak bener. #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/aaXkt7rGg5;ACEH;0
40;22/12/2022 11:00;bang_tigor21;Anies Baswedan ngaku pribumi padahal antek Yaman #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/mcxOpfYeHk;ACEH;0
41;22/12/2022 09:25;danialzanif;Anies Baswedan hanya bisa teori, praktik nol  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/NF0U8sHZEp;ACEH;0
42;22/12/2022 09:25;danialzanif;Bisa berbahaya Anies Baswedan kalo jadi presiden #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/VzaMkEECaR;ACEH;0
43;22/12/2022 09:23;danialzanif;Anies Baswedan emang penyebab kekacauan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/JfXlcrxOJz;ACEH;0
