date,username,tweet,location
2022-12-27 21:36:32,RiskaRi15138029,@om_eprajol @aniesbaswedan Emng enak ya,ACEH
2022-12-27 19:25:44,KathyHargrove20,Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/UBOvWIpJK6,ACEH
2022-12-27 14:28:43,sitohang76,Padahal @aniesbaswedan sudah dapat nama Johanes dari gereja. Kamu gak mau dapat apa?,ACEH
2022-12-27 10:12:08,danialzanif,Solo tolak kedatangan anies baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/a2keE5uKPj,ACEH
2022-12-27 10:11:09,danialzanif,Anies Baswedan dalang dibalik radikalisme   #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/DbyQU754oe,ACEH
2022-12-27 10:08:53,danialzanif,Wan Abud anies baswedan si biadab radikal  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/o0kaD2xaf5,ACEH
2022-12-27 09:17:49,KathyHargrove20,Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/ESofamC9S7,ACEH
2022-12-26 23:51:44,Syakumai1,@Sukardi2017 @aniesbaswedan Bacoot yahya,ACEH
2022-12-26 22:08:46,cutadhe92,"@ruhutsitompul Woi ruhut, kau sengaja dipanjangkan umurnya , biar bisa lihat langsung saat pak @aniesbaswedan Jadi PRESIDEN di 2024..",ACEH
2022-12-26 20:17:34,danialzanif,Anies Baswedan capres dukungan kelompok radikal  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/5Xc8fD5ftb,ACEH
2022-12-26 20:16:23,danialzanif,Anies Baswedan mulai gerakan Ormas terlarang  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/WJUsWDLWCQ,ACEH
2022-12-26 13:00:12,Ekahermansyah11,Anies Baswedan Bikin kebodohan di Jakarta  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/sl2mcNolWj,ACEH
2022-12-26 12:56:53,Ekahermansyah11,Anies Baswedan Bapak Politik Identitas   #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/8bl6aA6t8s,ACEH
2022-12-26 12:55:54,Ekahermansyah11,Anies Baswedan Menipu Warga DKI Jakarta  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/D0P07xOOz8,ACEH
