date,username,tweet,location
2022-11-27 14:45:53,Dorine05902449,Ganjar bentuk timsus atasi masalah pembebasan lahan proyek tol Semarang - Demak. Kami Mendukung Penuh ❤️#ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/HkIJ6VPc2M,ACEH
2022-11-27 14:45:21,Dorine05902449,Ulama dan Bulukumba dukung deklarasi Ganjar Pranowo Capres 2024. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/qU8z2ZKIGX,ACEH
2022-11-27 14:44:59,Dorine05902449,Ganjar Pranowo peduli rakyat kecil. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/e8r5FDFceK,ACEH
2022-11-27 14:44:34,Dorine05902449,Program rumah bantuan Ganjar Pranowo untuk masyarakat. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/j7VtvLSocc,ACEH
2022-11-27 14:41:31,Lesli89280941,Ulama Se-Jambi deklarasi dukung Ganjar Pranowo sebgai capres 2024. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/ifG8ItzI9J,ACEH
2022-11-27 14:40:59,Lesli89280941,Ganjar Pranowo persis seperti yang di cirikan Presiden Jokowi. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/IiG1tGSqjY,ACEH
2022-11-27 14:40:32,Lesli89280941,"Jangan salah pemimpin, sinyal Presiden Jokowi untuk pilih Ganjar Pranowo. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/mk1P7jjiNj",ACEH
2022-11-27 14:39:59,Lesli89280941,Presiden Jokowi berikan sinyal dukungan untuk Ganjar Pranowo. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/ukafOmoLya,ACEH
2022-11-27 14:36:52,Kaitlyn53504017,Ganjar Pranowo sosok pemimpin yang cocok jadi Presiden 2024. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/FWSO1upsfX,ACEH
2022-11-27 14:36:26,Kaitlyn53504017,"Untuk bangsa dan negara, Ganjar Pranowo siap untuk jadi Presiden 2024. Kami Mendukung Penuh ❤️  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/3hwZ0ubMWz",ACEH
