date,username,tweet,location
2023-03-24 06:43:28,ketutdarmika10,@YudiSet16452924 @aniesbaswedan @RamliRizal @susipudjiastuti @Ruslanbuton Baik mbahmu,BALI
2023-03-24 05:55:28,Snpth_Tomporejo,@dwioktariyadi @aniesbaswedan @NasDem Pendukung nya tak lebih seperti yang didukung...sama2 pandai tata kata 😀,BALI
2023-03-24 04:36:59,TKoerniawati,"@liktono @CNNIndonesia @aniesbaswedan setuju, ndak usah masukin nama Anies.. kenapa ndak Erik Tohir, Cak Imin, Erlangga Hartarto, Puan, dll",BALI
2023-03-24 04:31:28,MikoMsujat315,@siregar_elang @aniesbaswedan Aku gak butu,BALI
2023-03-23 23:04:06,Munir2Badrul,@dwioktariyadi @aniesbaswedan @NasDem @saidaqil @nahdlatululama Hmmmmm...,BALI
2023-03-23 22:08:15,muizadien,@JKDaulay___ @jumianto_RK_ @aniesbaswedan fifa atau pssi ?,BALI
2023-03-23 21:36:27,Snpth_Tomporejo,@Relawananies Ah kayak lu g ajak nis @aniesbaswedan  relawan darimana aja yg datang..waktu di Surabaya..🤔🤔🤔,BALI
2023-03-23 21:23:54,ebesleler70,@aniesbaswedan @NasDem @PKSejahtera @PDemokrat Lht ekspresi wajahmu ini wan abud...begitu sangat meremehkan pribumi  https://t.co/0RfGEpKixv,BALI
2023-03-23 21:06:09,liktono,"@CNNIndonesia Usul bg yg buat survey @aniesbaswedan gak usah diikutkan, biar Ganjar aja sama Prabowo ,toh Anies gak butuh survey2 an,...",BALI
2023-03-23 20:57:26,YakusaId,Eks Ketum PBNU KH. Said Aqil Siradj Doakan Anies Baswedan Jadi Presiden 2024  https://t.co/7U8wdYKoic,BALI
2023-03-23 20:50:05,Poskota_Jatim,#aniesbaswedan #GanjarPranowo #Jokowi #KoalisiPerubahan  https://t.co/6wQ508NCFe,BALI
2023-03-23 20:42:14,iwanpiliang7,Oya @nasdem ini serba nanggung. Pertamyaan apa nyalonin @aniesbaswedan cuma kiat doang? Padahal dugaan enggak  di hati? Hayuhh jawab @NasDem ???,BALI
2023-03-23 20:41:57,chu_oim,@BangEdiii @prabowo @ganjarpranowo @aniesbaswedan ARB,BALI
2023-03-23 20:22:17,RengTisah,@AgusYudhoyono @aniesbaswedan @EmilDardak @ismailpmk_ @PDemokrat Forum Pesantran Desa Jatim Tegaskan Dukung Anies-AHY untuk Pilpres 2024  https://t.co/2tk4bhtHMd lewat @Demokrat Pamekasan,BALI
2023-03-23 20:15:05,sonnyyanuar,@Nada10062503 @AndiSinulingga @aniesbaswedan Biarin aja bentar lagi PSI juga hilang dari peredaran,BALI
2023-03-23 20:00:49,DeniIkhwan4,@SUDABA91811015 @yusuf_dumdum @jokowi @mohmahfudmd @ListyoSigitP @aniesbaswedan Sy doakan semoga Allah mengampuni anda mas. Krn anda sudah memfitnah @aniesbaswedan ...,BALI
2023-03-23 19:57:32,NovalGunawan10,"@AAldhiaz @S4N_W1B1 konteks nya bukan seperti itu om. foto yang km tunjukkan itu beliau menghormati undangan di acara keagamaan, beda anies meskipun casing nya nasionalis tapi bacotannya @aniesbaswedan membenturkan agama maupun suku. saya ada videonya full  https://t.co/hK15DsS1ZK",BALI
2023-03-23 19:56:51,Tery44117487,Apa yg di tiduhkan relawan @aniesbaswedan  Begitulah golongan anies punya kelakuan. . Kami cinta NKRI bukan mata duitan sperti kalian,BALI
2023-03-23 19:49:05,serbuseru,"@PartBurungGalak Iya...punya rumah kontrak, punya rumah sewa, punya rumah tumpangan, punya rumah dalam mimpi, hebat lu @aniesbaswedan   😅",BALI
