date,username,tweet,location
2023-01-16 06:01:21,aliefxzn,@ganjarpranowo Posene pasaran bgt..,BALI
2023-01-16 03:14:38,MochamadRofiq8,@lucutanpagaris @Irwan2yah1 @DivHumas_Polri @ganjarpranowo Maaf jari saya khilaf 🙏😁,BALI
2023-01-15 22:56:57,Erich66568779,@AirinDatangLagi @ganjarpranowo Pasti mecak2 mereka.. 🤣🤣🤣,BALI
2023-01-15 22:11:40,MochamadRofiq8,@murtadho_ma @Irwan2yah1 @DivHumas_Polri @ganjarpranowo Enggak kok... Jari ini yg tiba² ngetik tanpa komando. Maafkan ya 😁🙏,BALI
2023-01-15 22:09:52,MochamadRofiq8,@BambangNoeryan4 @Irwan2yah1 @bujangkinangan @DivHumas_Polri @ganjarpranowo Horeeew 🎉🎉🎉😁,BALI
2023-01-15 22:09:33,MochamadRofiq8,@wietj4k @Irwan2yah1 @DivHumas_Polri @ganjarpranowo Horeeew🎉🎉🎉,BALI
2023-01-15 22:09:08,MochamadRofiq8,@lucutanpagaris @Irwan2yah1 @DivHumas_Polri @ganjarpranowo Maafkan kekilafam jari saya ya 😁,BALI
2023-01-15 22:02:34,RMOLJatim_id,"Cari Penerus Presiden Jokowi di Musra VIII, Projo Sodorkan Beberapa Nama : Pada  Musra (Musyawarah Rakyat) Indoensia ke VIII Jawa Timur, menghasilkan dua nama paling banyak dipilih, yaitu Ganjar Pranowo dan Prabowo Subianto, yang bakal disodorkan ke…  https://t.co/0cjOefmECK",BALI
2023-01-15 20:49:39,MochamadRofiq8,@BambangNoeryan4 @Irwan2yah1 @bujangkinangan @DivHumas_Polri @ganjarpranowo Maafkan jari saya yg kilaf ya 😁,BALI
2023-01-15 20:49:14,MochamadRofiq8,@jumadi097 @Irwan2yah1 @DivHumas_Polri @ganjarpranowo Maafkan jari saya yg khilaf 😁,BALI
2023-01-15 20:48:48,MochamadRofiq8,@iam_zelt @Irwan2yah1 @DivHumas_Polri @ganjarpranowo Maaf jari saya kilaf 😁,BALI
