date,username,tweet,location
2022-12-27 19:16:28,DicoLFC,@prabowo Rangin pak,BALI
2022-12-27 09:41:03,R_otto,@prabowo Salam hormat Ndan. Penjual sayur menyapa,BALI
2022-12-27 04:09:00,Mochama72458365,Sinau Bareng Cak Nun&amp;Kiai Kanjeng semalam di hadiri Jendral Prabowo Subianto  https://t.co/miR7Ok8ziM,BALI
2022-12-26 21:24:33,timescoid,"Temui Puluhan Ulama-Kiai Jatim, Prabowo Subianto Minta Restu Menuju 2024: Pertemuan Prabowo Subianto dengan belasan ulama-kiai tersebut berlangsung hampir 5 jam dan berlangsung tertutup ... ...  https://t.co/NUYqk3aJN5 #beritabaik #timesindonesia #ketahananinformasi",BALI
2022-12-25 12:37:23,ganjaristbali,"𝐏𝐄𝐌𝐈𝐋𝐔 𝟐𝟎𝟐𝟒 𝐀𝐃𝐀𝐋𝐀𝐇 𝐌𝐎𝐌𝐄𝐍𝐓𝐔𝐌 𝐊𝐄𝐌𝐄𝐍𝐀𝐍𝐆𝐀𝐍 𝐆𝐀𝐍𝐉𝐀𝐑 Dalam survei, nama Ganjar Pranowo lagi-lagi menempati posisi teratas dengan angka 31,7 %, terpaut jauh dari Anies Baswedan (23,9%) dan Prabowo (23%  #ganjarpranowo #ganjar_pranowo #ganjarkita  https://t.co/4yygtL9cPA",BALI
2022-12-25 11:22:56,OktavianusYahy1,Beliau Babe Ridwan pernah bertemu saya saat di rumah perjuangan pilpres 2014 saat kami bersama team Prabowo Hatta. Selamat jalan. Be… Salam 🇮🇩  https://t.co/acsiRvAksC,BALI
2022-12-24 06:01:06,SSukaringtyas,Survey ngawur Prabowo lebih berpengalaman disegani manca negara anti aseng,BALI
2022-12-23 10:26:02,PolsekMengwi57,"Rayakan Nataru, Patuhi Protokol Kesehatan  “Pada sisi kesehatan, kita harus tetap waspada terhadap potensi terjadinya lonjakan Covid-19.”  Kapolri  Jenderal Polisi Drs. Listyo Sigit Prabowo,  https://t.co/rPeP6KnPGa. Apel Gelar Pasukan Ops Lilin 2022 Monas, Jakarta Pusat, (22/12).  https://t.co/HR2mwQNb5q",BALI
2022-12-22 20:21:42,siswandad,Udah pasti Pak Ganjar ungguli anies dan prabowo #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia  https://t.co/AqXX1yYglQ,BALI
2022-12-21 07:38:26,watzurafy,@YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt Inilah hebatnya negara +62 pemilihan belum diadakan... Tapi presiden n wakil presiden sdah bisa diprediksi siapa yg terpilih........ Hebaaaaaattttt bos ku,BALI
