date,username,tweet,location
2022-12-28 06:54:17,tatagyes,@BosPurwa @aniesbaswedan Indonesia masih punya banyak orang baik. Orang baik itu yg akan menjadikan Indonesia lebih baik dan maju.,DI YOGYAKARTA
2022-12-28 06:09:34,NusantaraSetya,@Tita83079013 @aniesbaswedan Anies emang sesat,DI YOGYAKARTA
2022-12-27 23:35:25,mung_paryono,@LANGKAHANIES @aniesbaswedan @bos_sir Ooooo... Yang sekarang namanya Yohanes Anis Rasid Baswedan Singh itu ya...,DI YOGYAKARTA
2022-12-27 23:24:09,Lambe_Nggambleh,"Anies Bawesdan Kunjungi Pasar Gede Solo, Sunyi Sepi Fans Anies Kadrun Pada Sembunyi #aniesbaswedan #Trending #Trendingtopic #viral #lambenggamblehjogja    https://t.co/fPCx03AWgN  https://t.co/FuVgjEHQnQ",DI YOGYAKARTA
2022-12-27 21:56:48,iwandermawan63,@Metro_TV @infoBMKG Ya curah hujan ekstrim...istilah zaman @aniesbaswedan ... Sering terlontar....semoga tidak sebesar itu ...malah mengecil....amin,DI YOGYAKARTA
2022-12-27 21:41:35,Kevin_ant5,@aniesbaswedan @feryfarhati  https://t.co/qGkX0hhhkA,DI YOGYAKARTA
2022-12-27 21:36:32,RiskaRi15138029,@om_eprajol @aniesbaswedan Emng enak ya,DI YOGYAKARTA
2022-12-27 20:49:06,TeguhSudarisman,"@ch_chotimah2 ""Maafkan aku mengecewakanmu, Mas Kus,"" kata @aniesbaswedan. ""Teruslah nyinyir meski nggak berguna."" 💪💪  https://t.co/YVdHGwsrsc",DI YOGYAKARTA
2022-12-27 20:29:28,masochim,Masih ingatkah kau yohanes @aniesbaswedan ..? Dasar munafiq  https://t.co/Wb2pkx3XvG,DI YOGYAKARTA
2022-12-27 20:10:19,RencangAH,Udah tau kan siapa yang jadi pilihan rakyat ? #kerjauntukindonesia #GolkarIndonesia #airlanggahartarto #Pilpres #Pilpres2024 #Pemilu #aniesbaswedan @airlangga_hrt @Golkar2024 @golkar_id @PemimpinBangsa3 @CaryaAirlangga @KoncoAirlangga @putuagenggribig @CapresGolkar  https://t.co/tWSCC54zvy,DI YOGYAKARTA
2022-12-27 20:07:04,masochim,Rakyat sudah cerdas dan bisa bedain mana yg bisa kerja dan mana yg biasa berbohong. Bukan begitu Yohanes @aniesbaswedan,DI YOGYAKARTA
