date,username,tweet,location
2022-12-28 06:22:14,SamsulH44332262,@RagilSemar Moment awal sebelum Pak Prabowo dating  https://t.co/VoNj0r8j4Q,DI YOGYAKARTA
2022-12-28 04:08:36,baron_arpa,"Gw juga awalnya denial, tp maiyahan 2014 caknun sering deklarasi dukung prabowo dan ujug2 maruf amin nyamperin caknun 2019 juga akhirnya skeptis. Tapi tetep mengagumi pemikiran beliau sebagai budayawan. Toh dr dulu juga anaknya suharto (sigit) disinggung di depan umum. Cuma....",DI YOGYAKARTA
2022-12-28 04:04:58,baron_arpa,"Some friends asked me why I didnt follow caknun 'path' anymore. So here's the thing, like it or not, people with a huge number of followers in this country will be approached and used for their own bussiness. Its a both side with prabowo in 2014 and maruf amin in 2019.",DI YOGYAKARTA
2022-12-28 00:30:07,NyxcryptoSG,@JoeyMooose @Reilly_Prabowo @LILPUDGYS @pudgypenguins @ChillinPod @315eth @Mallubullu @brianmok @Jy9792 holiday seasonss,DI YOGYAKARTA
2022-12-27 23:46:39,AbdulHakimAdna1,@prabowo Rangin pak sama kaya di Jateng kalau di Jabar bandros,DI YOGYAKARTA
2022-12-27 20:11:24,YakobLopo,@prabowo Saya butuh terpal Pak Prabowo,DI YOGYAKARTA
2022-12-27 19:51:07,Junz_backup,@petruspasaribuu @aniesbaswedan @prabowo @Gerindra Lain diucap lain pula yg dilakukan.,DI YOGYAKARTA
2022-12-27 19:16:28,DicoLFC,@prabowo Rangin pak,DI YOGYAKARTA
2022-12-27 14:16:39,SamsulH44332262,"@SantorinisSun Yg punya gae ponpes Segoro agung atas support dr BKKBN ya. Kiai kanjeng, CN, pak Prabowo adalah undangan.  https://t.co/0lvwpi7lJ0",DI YOGYAKARTA
2022-12-27 13:51:13,faridz_yw,@prabowo Di demak-kudus namanya GANDOS pak,DI YOGYAKARTA
2022-12-27 11:51:50,TifaFaizin,@MandiriRusman @MetdroS @azisaleasa @_SEKNAS_RI @AntonKu08408962 @HRMalik12 @elonmusk @_M45Broo @BondanP63263423 @PaimoMontok @enny_endah2 @Kanjeng2022 @Kris_Simpati @HendraSien @harris_new2 @Gatal_Jamur @fariedza @Era25803754 @d30n3 @chillinaris_inc @BM7NOGO @alifahzi @apolloresor @Rasanya_Abah @antasa96 @Aryprasetyo85 @sudrajatasep17 @putri_Aalona @GadisIdolanya @Lurah_Gareng @SumartiMarti11 @LumowaS @PUTRI_41708 @Cantika82104633 @CHAPEP_Z @MrETCentre @KawulaDusun2 @Novelis11 @narkosun__ @suherman_herri @FirzaHusainID @Pemberang1 @iqbalink13 @DedyNad_id @NKRI_jokowisyoo @Jayadin46137508 @kadrunbuatlucu2 @Karuhun_69 @PreciosaKanti @prabowo 😊😊😊,DI YOGYAKARTA
