date,username,tweet,location
2022-11-28 06:02:39,Mbong2021,@ganjarpranowo Like you Mas Bro,GORONTALO
2022-11-27 21:27:13,hanifaisma,Jokowi mendukung penuh Ganjar jadi pemimpin Indonesia.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/FyhwXk2Q0W,GORONTALO
2022-11-27 21:27:12,hanifaisma,Ganjar meninjau pembangunan proyek tol semarang-demak.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/y5VdHn4KKT,GORONTALO
2022-11-27 21:27:11,hanifaisma,Petani tebu sangat merasakan kepedulian pak ganjar. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/91ZjgdyjRx,GORONTALO
2022-11-27 16:07:18,ShintaAinun6,Ganjar bentuk timsus atasi masalah pembebasan lahan proyek tol Semarang - Demak  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarBertanggungjawab  https://t.co/PCKd5EkI0X,GORONTALO
2022-11-27 15:49:45,tukas_buntang,Kita semua tetap berharap agar Bpk Ganjar Pranowo dicalonkan oleh Parpol yang sadar bahwa dukungan rakyat arus bawah bagi Ganjar Pranowo sangat kuat untuk menjadi calon Presiden 2024 @ganjarpranowo @PDI_Perjuangan  https://t.co/YvYIW6RUu0,GORONTALO
2022-11-27 15:33:55,Generisaa,Dukung ganjar presiden RI 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/qE9DNpj3Kf,GORONTALO
2022-11-27 15:08:21,NegaraAPI2,Dukungan Ganjar Pranowo Maju Pada Pilpres 2024 terus mengalir   #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/kljfadefXZ,GORONTALO
2022-11-27 14:22:57,Sinta_dew3,@SonyaPanda25 Indonesia akan maju bersama Ganjar Pranowo,GORONTALO
2022-11-27 11:54:15,JayaPur95364676,@SonyaPanda25 Ganjar Pranowo pemimpin kita,GORONTALO
2022-11-27 11:14:25,MahylajheanRose,Jokowi Pilih Ganjar Pranowo Pada Capres 2024 #GanjarPilihanJokowi  https://t.co/9spw6ai9CL,GORONTALO
2022-11-27 11:13:50,firmansyahput35,Dukung Ganjar Pranowo ! #GanjarPilihanJokowi  https://t.co/BbGzYe2oSZ,GORONTALO
2022-11-27 11:13:33,firmansyahput35,Jokowi Pilih Ganjar Pranowo Untuk Pilpres 2024 #GanjarPilihanJokowi  https://t.co/vIglLzEi96,GORONTALO
2022-11-27 11:11:29,adityarahman129,Dukung ganjar pranowo pada capres 2024 #GanjarPilihanJokowi  https://t.co/7b8qJuC9zu,GORONTALO
2022-11-27 11:11:09,adityarahman129,Penilaian jokowi terhadap ganjar pranowo #GanjarPilihanJokowi  https://t.co/8xIz0JLHcv,GORONTALO
2022-11-27 10:37:42,BaladrafDuta,"@celintanardi73 Pemimpin berkualitas dan merakyat, dukung Ganjar Pranowo untuk RI 1 2024 👍 #GanjarPilihanJokowi",GORONTALO
2022-11-27 10:33:56,Monalisa11123,Joko Widodo  dukung Ganjar pranowo untuk presiden 2024 #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/6f8qeB0Dca,GORONTALO
2022-11-27 10:29:54,RadenSumbu,Ganjar Pranowo sosok yang ramah  dan merakyat   #GanjarPilihanJokowi,GORONTALO
2022-11-27 10:29:45,Ayunda_pt,Ganjar pemimpin yang memikirkan rakyat  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/kymUzugzo9,GORONTALO
2022-11-27 10:29:08,tabita_pasaribu,Bersama bapak ganjar pranowo untuk Indonesia lebih baik #GanjarPilihanJokowi  https://t.co/g7ZdvV5TFX,GORONTALO
2022-11-27 10:25:46,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",GORONTALO
2022-11-27 10:25:36,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",GORONTALO
2022-11-27 10:25:17,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",GORONTALO
2022-11-27 10:19:51,KanjengReseh,Deklarasi komunitas pedagang makanan khas Banyumas dukung Ganjar Pranowo presiden RI 2024  #GanjarPilihanJokowi  https://t.co/JH23D0A23R,GORONTALO
2022-11-27 10:18:01,putri_andini93,Pak ganjar sejahterakan guru honorer  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/CFwTZPsMNw,GORONTALO
2022-11-27 10:16:45,KanjengReseh,Ganjar Pranowo kerahkan tenaga medis bantu korban Cianjur   #GanjarPilihanJokowi  https://t.co/ECDNJ5Nw55,GORONTALO
2022-11-27 10:14:32,DamaiyantiRindu,Ganjar Pranowo Siap Untuk Bangsa Dan Negara. #GanjarPilihanJokowi  https://t.co/dbfwB6NdoG,GORONTALO
2022-11-27 10:14:04,JillFin38286803,Ganjar for Presiden 2024. Yookkk kita dukung Pak Ganjar.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarPilihanJokowi  https://t.co/xXUmw09qf4,GORONTALO
2022-11-27 10:13:33,JillFin38286803,Pak Ganjar dan Pak Jokowi memiliki kemiripan yang sama. Sama2 memikirkan rakyat.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarPilihanJokowi  https://t.co/gSF51VRVgR,GORONTALO
2022-11-27 10:12:10,RadenSumbu,Ganjar Pranowo sosok peduli akan nasib para GTT   #GanjarPilihanJokowi  https://t.co/Zk5w7MmXrr,GORONTALO
2022-11-27 10:12:05,DamaiyantiRindu,Petani Tebu di Madiun Dukung Ganjar Pranowo Presiden 2024. #GanjarPilihanJokowi  https://t.co/wYhNRGlB6q,GORONTALO
2022-11-27 10:11:23,RadenSumbu,Ganjar Pranowo sejahterakan GTT di Jawa Tengah   #GanjarPilihanJokowi  https://t.co/FvpJ04jKH6,GORONTALO
2022-11-27 10:10:59,DamaiyantiRindu,Ulama Se-Jambi Deklarasi Dukung Ganjar Pranowo Capres 2024. #GanjarPilihanJokowi  https://t.co/dAtqQ81wef,GORONTALO
2022-11-27 10:10:27,DamaiyantiRindu,Program Rumah Bantuan Ganjar Pranowo di Magelang. #GanjarPilihanJokowi  https://t.co/dzYlzTbJ3n,GORONTALO
2022-11-27 10:09:16,DamaiyantiRindu,Ulama Dan Santri di Bulukumba Dukung Ganjar Pranowo Capres 2024. #GanjarPilihanJokowi  https://t.co/ctGljfOjZs,GORONTALO
2022-11-27 10:07:24,Kathey58779168,Ayo Ganjar pilihan Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi  https://t.co/JHDcdTOPE4,GORONTALO
2022-11-27 10:05:48,HitsIndonesia_,Mantap ! Ganjar Pranowo ciri pemimpin yang mikirin rakyat ! #GanjarPilihanJokowi  https://t.co/kmdNhQ2yfD,GORONTALO
2022-11-27 10:05:16,HitsIndonesia_,Ganjar Pranowo Terbaik ! #GanjarPilihanJokowi  https://t.co/hRGNeIe1qx,GORONTALO
2022-11-27 10:04:33,Kathey58779168,Ayo dukung Ganjar Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi  https://t.co/KEHoD042Sh,GORONTALO
2022-11-27 10:03:57,HitsIndonesia_,Jangan salah pilih Presiden ! Dukung Ganjar Pranowo for Presiden 2024 #GanjarPilihanJokowi  https://t.co/jsatTY7Izf,GORONTALO
2022-11-27 10:03:50,Lisacie11,"Jangan salah pilih presiden, pak ganjar yang luar biasa Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/M8yrybcWev",GORONTALO
2022-11-27 10:03:48,Lisacie11,pak ganjar tidak perlu lagi diragukan kepemimpinannya Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/aKCfKbbqh1,GORONTALO
2022-11-27 10:03:47,Lisacie11,Ulama jambi deklarasi dukung ganjar pranowo  Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/pyZE1EdHc7,GORONTALO
2022-11-27 10:03:45,Lisacie11,Ganjar pranowo siap maju sebagai capres 2024 Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/poeqOd8mDd,GORONTALO
2022-11-27 10:03:44,Lisacie11,Sosok kepemimpinan pak Ganjar sungguh luar biasa Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/4FuRUmB9gF,GORONTALO
2022-11-27 10:03:05,Andreswitz,"Jangan salah pilih presiden, pak ganjar yang luar biasa Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/sHqUBtabah",GORONTALO
2022-11-27 10:03:03,Andreswitz,pak ganjar tidak perlu lagi diragukan kepemimpinannya Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/Z8tKRx5ZRR,GORONTALO
2022-11-27 10:03:01,Andreswitz,Ulama jambi deklarasi dukung ganjar pranowo  Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/yx2itOXBMt,GORONTALO
2022-11-27 10:02:59,Andreswitz,Ganjar pranowo siap maju sebagai capres 2024 Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/KL9DxRvBpJ,GORONTALO
2022-11-27 10:02:57,Andreswitz,Sosok kepemimpinan pak Ganjar sungguh luar biasa Mendukung penuh Ganjar Pranowo Calon Presiden 2024 #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #Ganjaristioptimis #PerjalananGanjarPranowo  https://t.co/UoAcHBVucT,GORONTALO
2022-11-27 10:02:45,HitsIndonesia_,Ganjar Pranowo : Untuk bangsa dan negara saya siap ! #GanjarPilihanJokowi  https://t.co/cKeaZZaPLK,GORONTALO
