date,username,tweet,location
2023-03-24 06:58:48,NyataNyataKerja,InshaaAllah @aniesbaswedan akan membawa perubahan lebih baik bagi Indonesia. Aamiin yra 🤲🤲🤲  #BeritaBaikAniesBaswedanUntukIndonesia #AmanahIndonesiaMenanti #2024AniesPresiden #AniesBapakToleransiIndonesia  https://t.co/NbRRL5yoCu,JAWA TENGAH
2023-03-24 06:58:09,imhocmiiw,@ch_chotimah2 @aniesbaswedan @ganjarpranowo  https://t.co/vB0fLH8Sfa,JAWA TENGAH
2023-03-24 06:55:03,Uriasmanda3,@FPKSDPRRI @Muzzammil_Yusuf Apakah benar berita ini ? @aniesbaswedan  https://t.co/H5cD9HXDyP,JAWA TENGAH
2023-03-24 06:53:41,AriSaptono,"PA 212 dan @ganjarpranowo sehati dan senafas mnolak Timnas Israel berlaga di tanah RI. Smtara tak terdengar suara @aniesbaswedan menolak Israel.  Pertanyaannya: Apakah ini pertanda PA 212 akan pisah dng @aniesbaswedan, dan akan mesra bersama @ganjarpranowo di 2024 nanti ? 🤔🤔🤔  https://t.co/WYCDn01X0w",JAWA TENGAH
2023-03-24 06:42:18,gabusrangers,"@Jangansayur @liputan6dotcom @ganjarpranowo @aniesbaswedan @ridwankamil Anies bukan pejabat, ga ada urusan nolak2.",JAWA TENGAH
2023-03-24 06:40:50,borjong_m,Jauhi 7 partai ini..boikot @aniesbaswedan  @detikcom @democrazymedia  https://t.co/3RteDyk0KN Saksikan video ini  https://t.co/LQS5tbwoN9,JAWA TENGAH
2023-03-24 06:40:02,WartaEkonomi,"Pernah Tinggal Satu Atap, Eks Kepala Desa di Jawa Tengah Ini Tertawa Soal Tudingan Miring ke Anies Baswedan, Ada Apa?  https://t.co/wl18VpbGhP",JAWA TENGAH
2023-03-24 06:35:03,johnhendrik3,@Novelis11 @aniesbaswedan @AgusYudhoyono 😁,JAWA TENGAH
2023-03-24 06:31:03,johnhendrik3,@soegeng1976 @aniesbaswedan @AgusYudhoyono 😁,JAWA TENGAH
2023-03-24 06:29:46,paradedotid,"Mantan Ketum HMI MPO Kritik Bacapres Anies Baswedan, soal Ini   https://t.co/Np2NR0rjns  #HMI_MPO #Anies",JAWA TENGAH
2023-03-24 06:29:30,OmHardiman,@ch_chotimah2 @KPK_RI Tujuannya apa formula E pindah sudirman yg dulu mau di pakai circuit formula E ? Pengurus sudah terbentuk koordinasi sudah di lakukan formula E ancol utk apa ? Utk mendegradasi anies baswedan ya dgn tema circuit formuka E ancol pemborosan anggaran jadi nganggur jahat kalian,JAWA TENGAH
2023-03-24 06:25:27,StefRudi,@wellymerukh @aniesbaswedan @AndiSinulingga @ekowboy2 @Mdy_Asmara1701 Habis buat nyuapin buzzer laparnya dia,JAWA TENGAH
2023-03-24 06:23:54,johnhendrik3,@BatuKepla @aniesbaswedan @AgusYudhoyono 🤭🤭,JAWA TENGAH
2023-03-24 06:22:49,StefRudi,@indonesianies_ @aniesbaswedan @nahdlatululama @bos_sir @ekowboy2 @HidayatNatari @Malika6027 @PramukhtikoS @Yurissa_Samosir @AnchaJie_ @NasDem @Anies_Relawan @FPKSDPRRI Membuat posting yg memutar balik fakta ini mmg kelakuan anies dan pendukungnya. Yg jelas #PribumiPilihPribumi,JAWA TENGAH
2023-03-24 06:16:51,Aliahma69080079,@dwioktariyadi @aniesbaswedan @NasDem Pangsa pasar di N.U bagus layak untuk jualan Monggo poro @Relawananies @tatakujiyati hati hati jangan Anda jual N.U ntar kwalat byk orang ikhlas di sana,JAWA TENGAH
2023-03-24 06:12:34,sangamei,@indonesianies_ @dwioktariyadi @aniesbaswedan @NasDem @saidaqil @nahdlatululama Bajer Yohanies tukang catut!,JAWA TENGAH
2023-03-24 06:11:16,detikerr,"@PDemokrat Setuju!!, Apa Demokrat tdk munafik? Nentang ciptaker, tapi nanti buat UU lebih jahat, seperti kisah ""Katakan Tdk pada Korupsi""?  Bukti + : si Benny &amp; Pinca protes ke Mahfud/suara Rakyat ( https://t.co/aYqZf4u2Pr)  @AgusYudhoyono @aniesbaswedan @mohmahfudmd @DPR_RI @SBYudhoyono",JAWA TENGAH
2023-03-24 05:53:00,CakTugiman,@LANGKAHANIES @aniesbaswedan  https://t.co/TwkhTWn82B,JAWA TENGAH
2023-03-24 05:52:50,cemplukrebon,"@VeelaaRhie @Pak_JK @aniesbaswedan Omongan chaplin itu jangan ditafsirkan sec harfiyah saja. Kalimat lengkapnya doi yg tidak ditulis oleh media adalah "" .....kecuali Abud"". Dan itu sdh terjadi pada pilakda paling brutal di DKI2017. Saya pribadi sich BIG NO dg ocehan doi.",JAWA TENGAH
2023-03-24 05:47:15,EdyKuma,@tatakujiyati Anies Baswedan the best,JAWA TENGAH
2023-03-24 05:29:08,OrangutanIKN,@blegggodesign @FormasNu @aniesbaswedan Kasian loe jd org jawa tong!,JAWA TENGAH
2023-03-24 05:26:03,dwioktariyadi,@Edytawang @aniesbaswedan @NasDem Waduh...gitu ya 🤔😇,JAWA TENGAH
2023-03-24 05:09:34,MenyendiriRamli,"@olvaholvah @NasDem @aniesbaswedan @pranandapaloh @sobat_anies @Relawananies @kebijakananies Karena cebong lebih jeli, karena apa pun yg mereka lakukan pasti mengandung hoax  https://t.co/8uClJ4kzDI",JAWA TENGAH
2023-03-24 05:05:04,MenyendiriRamli,"@olvaholvah @NasDem @aniesbaswedan @pranandapaloh @sobat_anies @Relawananies @kebijakananies Kalo mau ngibul yg sempurna, lihat sinar titik bawah ketiak seperti pantulan kaca",JAWA TENGAH
2023-03-24 04:56:53,mas_fadz,@VeelaaRhie @Pak_JK @aniesbaswedan janji yaaaaaa mbaaaahhhh...,JAWA TENGAH
2023-03-24 04:53:43,DadungKawuk,"@LANGKAHANIES @aniesbaswedan Kalau ngak  jd maju, koalisi berubah rubah krn logistik dan mahar ??? ....fatwa pendukungnya",JAWA TENGAH
2023-03-24 04:39:49,syahradenamal1,@aniesbaswedan Dagang obat apa wan about🤣🤣🤣,JAWA TENGAH
2023-03-24 04:35:01,WartaEkonomi,Geger! Kesaksian Eks Kepala Desa di Jawa Tengah Tentang Kepribadian Anies Baswedan Sungguh Mengejutkan: Anies Itu Selalu...  https://t.co/S3sMYkgfHh,JAWA TENGAH
2023-03-24 04:29:12,Yudhi_aktual,@Krisna0902022 @aniesbaswedan @nahdlatululama Nmnya juga kadrun licik,JAWA TENGAH
2023-03-24 04:21:11,priatna72,@Stevaniehuangg Setuju kali ini dengan Pak Ganjar. Tapi saya tetap dukung ANIES BASWEDAN.....,JAWA TENGAH
2023-03-24 04:14:27,blankbanget,@tamsul1971 @OposisiCerdas @aniesbaswedan Terus berjuanglah dalam kekuatiran meski kau harus memgesampingkan nalar dan otakmu,JAWA TENGAH
2023-03-24 04:06:28,blankbanget,"@tamsul1971 @OposisiCerdas @aniesbaswedan Otak yg hanya berpikiran minor, di otakmu hanya anies yg kau pikirkan? Adakah di surat menyebut hal ttg anies? Hidup kok isinya curiga, apa anies termasuk kelompok ASN hingga harus dipikirkan oleh ASN lain? Kepalamu nir otaka",JAWA TENGAH
2023-03-24 04:03:48,M_tamy83,@AirinDatangLagi @Pak_JK Tuh omongin si Bahlul @aniesbaswedan yg suka berpolitik di masjid2.,JAWA TENGAH
2023-03-24 04:00:33,BerlianMenttari,"Apa yang bisa kita harapkan dari Anies Baswedan dan jawabannya tidak ada, dengan rekam jejak yang buruk sudah pasti dia tidak becus bekeja  https://t.co/suFhdkuZHd",JAWA TENGAH
2023-03-24 03:52:38,cahyowibb,Penduduk @provjateng mmg nya berapa Nyett @aniesbaswedan ??  https://t.co/UcqJuCQkM2,JAWA TENGAH
2023-03-24 03:49:30,Byll_Upg,@indonesianies_ @aniesbaswedan @nahdlatululama @bos_sir @ekowboy2 @HidayatNatari @Malika6027 @PramukhtikoS @Yurissa_Samosir @AnchaJie_ @NasDem @Anies_Relawan @FPKSDPRRI Cerita jualan NU ini?,JAWA TENGAH
2023-03-24 03:47:11,M_tamy83,@Pai_C1 Hadeeehhh @aniesbaswedan norak lu !!!,JAWA TENGAH
2023-03-24 03:46:37,pembisic,"@dwioktariyadi @aniesbaswedan @NasDem @saidaqil @nahdlatululama NU lahir semasa Anies BarWesEdan masih dilultut mamaknya ,jauh sebelum dia lahir.  NU itu gudangnya politik di dunia , hanya Nahdliyyin yang mampu memahami Ulama NU,  NU beserta Banom dipastikan tidak akan melibatkan organisasi kedalam politik praktis .",JAWA TENGAH
2023-03-24 03:07:50,Sukardi2017,Pak @aniesbaswedan  Maka sebelum semua jadi telanjur.  Suruh cabut dukungan kadrun pada antum !  Atau antum dengan tegas menolak di dukung oleh kadrun !  Dari pada didukung oleh kelompok yg membawa sial karena tidak mendapat simpati dari rakyat mayoritas bangsa ini ! 😆😆🤫🤫🤭🤭  https://t.co/VzBGmYgQQk,JAWA TENGAH
2023-03-24 03:05:37,anis_metropool,"@LANGKAHANIES @PKSejahtera @syaikhu_ahmad @aniesbaswedan Perubahan komitmen yg terus melaju, indah pada waktunya restorasi Indonesia .",JAWA TENGAH
2023-03-24 03:02:17,agengrudy,@aniesbaswedan Saya berdoa khusyu ya Allah semoga Jangan sampai jadi Presiden 2024,JAWA TENGAH
2023-03-24 03:00:31,Sukardi2017,Pak @aniesbaswedan Ambisi antum cukup besar ingin berkuasa di negeri ini. Ini hak warga negara yg dilindungi UU.  Kalau antum nanti pada akhirnya kalah pilpres. Itu bukan karena faktor antum sendiri. Tapi itu karena faktor kadrun yg cuma bisa memaki dah merasa paling pintar ! 🤭  https://t.co/0Hau88gCBm,JAWA TENGAH
2023-03-24 02:57:05,BrugginkVan,"@MuniLestari1 @AgusYudhoyono @aniesbaswedan Emg..org klo uda terlanjur blangsak,susah utk disadarin",JAWA TENGAH
2023-03-24 02:35:02,WartaEkonomi,"Sindir Narasi Perubahan yang Dibawa Anies Baswedan, Anak Buah Prabowo: Apa yang Diubah? Negara Pancasila Jadi Khilafah?  https://t.co/gTjdNZmzav",JAWA TENGAH
2023-03-24 02:02:21,anis_metropool,@LANGKAHANIES @aniesbaswedan Katakanlah kebenaran itu walau tetanggamu sedikit terluka...,JAWA TENGAH
