date,username,tweet,location
2022-12-28 06:54:17,tatagyes,@BosPurwa @aniesbaswedan Indonesia masih punya banyak orang baik. Orang baik itu yg akan menjadikan Indonesia lebih baik dan maju.,JAWA TIMUR
2022-12-27 20:02:26,makmuridrus,"Kami relawan Jokowi 2019, sekedar mengingatkan bila *Menteri Pertanian Prof Dr. H. Syahrul Yasin Limpo, SH. MH.* di ganti maka saya yakin 90 % masyarakat Sulawesi Selatan termasuk yang tersebar di Indonesia akan pilih Anies Baswedan, karena mereka mewakili suku Bugis Makassar",JAWA TIMUR
2022-12-27 19:53:03,ProfylHenuk,"Yth. Presiden @jokowi,Saatnya Tendang Keluar ""TRIO BENALU"" Dari @NasDem Dipimpin @suryopaloh Pro-@aniesbaswedan&amp;Khusus @PlateJohnny Asal NTT Bisa Digantikan @ProfylHenuk Terbukti Pendukung Setia @jokowi Sejak Periode I-II(2014-2024)Kini Gigih Pertahankan PULAU PASIR Bagian NKRI.  https://t.co/YI1JuP9N37",JAWA TIMUR
2022-12-27 19:38:00,king_leond,Anies Baswedan Biadap ! #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/9963gv1nHH,JAWA TIMUR
2022-12-27 19:34:20,king_leond,Anies Baswedan makin lucu ! siapa jg yang mau pilih anda Pembohong #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/gcJLd1lHfl,JAWA TIMUR
2022-12-27 18:49:10,wulannd940,Anies Baswedan bersama kelompok intoleran !!!  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/ZLWtyAjXUC,JAWA TIMUR
2022-12-27 18:08:02,olisalhady,anies baswedan radikal #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/qvuzw2oOEU,JAWA TIMUR
2022-12-27 17:42:09,bangAmi72481373,@LANGKAHANIES @aniesbaswedan Keren ARB😍😍,JAWA TIMUR
2022-12-27 17:37:33,christianiiyan,anies baswedan radikal #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/sW718WAhmn,JAWA TIMUR
2022-12-27 13:27:56,ematufyta,Anies baswedan terlibat kontrak politik dgn HTI #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/3uWG13PfvL,JAWA TIMUR
2022-12-27 11:39:08,Cacaaa82324482,Masyarakat Sulawesi barat menolak Anies Baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualita  https://t.co/NjjdXS18k2,JAWA TIMUR
2022-12-27 11:29:01,Abdulra53446886,Menghadiri undangan hukumnya wajib. Trus memuji yang nenolak kedatangan   sungguh  biadab.   Netizen Puji Warga Solo yang Tolak Kedatangan Anies Baswedan: Semoga Menginspirasi Warga Daerah Lain  https://t.co/mIeq5991qQ,JAWA TIMUR
2022-12-27 11:13:32,jajangbunase,@SariYolanda_ Nasdemgoblok! Anies Baswedan kerjanya Amburadul,JAWA TIMUR
2022-12-27 10:04:02,FuragaAns,Anies Baswedan didukung simpatisan kelompok radikal #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/0lONkG6IRK,JAWA TIMUR
2022-12-27 09:47:09,tatia_angelina,Tolak Si Otak Sampah Anies Baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/q1KqqOPjBQ,JAWA TIMUR
2022-12-27 09:21:48,MuhsyahrirTulo,Nasib malang menimpa Cebong dungu pendemo ANIES BASWEDAN di Solo.   #BravoAniesBaswedan  #BravoAniesBaswedan  https://t.co/UxCC2J5Yf9,JAWA TIMUR
2022-12-27 08:53:01,king_leond,Wong Solo Tolak Anies Baswedan #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/u1qUVanrr4,JAWA TIMUR
2022-12-27 04:37:39,netizen_angkuh,Yaelah wan abut gak perlu gini jg kale buat nunjukin lu punya jiwa prulalitas. Ada juga lu dikira prulalisme. 😂😂😂😂 @aniesbaswedan 🤣🤣🤣,JAWA TIMUR
2022-12-27 00:21:08,MohdRamdan20,@CaswanP @NasDem @aniesbaswedan Saya rekomendasikan jendral ANDIKA PRAKASA,JAWA TIMUR
2022-12-26 22:05:20,TuguYahya,@NathanaelPoetra @NasDem @aniesbaswedan  https://t.co/FXlh1JAwnO,JAWA TIMUR
2022-12-26 22:03:18,TuguYahya,@NathanaelPoetra @NasDem @aniesbaswedan Hahahahha,JAWA TIMUR
2022-12-26 20:22:31,ShaaShaSuliXO,@aniesbaswedan @NasDem Ingin hadiah2 yang dimaksud dalam gambar ini pak @aniesbaswedan .🙏🙏🙏🤪😂😀😁😊❤🇮🇩  https://t.co/uqupQWuUmo,JAWA TIMUR
2022-12-26 20:13:00,ShaaShaSuliXO,@aniesbaswedan @NasDem @NasDem_Sulsel77  https://t.co/CWKGtYTVAr,JAWA TIMUR
2022-12-26 20:06:37,WetengAsin,Anies Baswedan mulai gerakan Ormas Terlarang #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/TmM6wnMfed,JAWA TIMUR
2022-12-26 20:03:37,olisalhady,Anies Baswedan didukung simpatisan FPI/ HTI #HTIFPIDukungAnies #AniesDidukungKHILAFAH #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/mq72F4XCob,JAWA TIMUR
