date,username,tweet,location
2022-12-27 20:11:24,YakobLopo,@prabowo Saya butuh terpal Pak Prabowo,JAWA TIMUR
2022-12-27 19:16:28,DicoLFC,@prabowo Rangin pak,JAWA TIMUR
2022-12-27 09:41:03,R_otto,@prabowo Salam hormat Ndan. Penjual sayur menyapa,JAWA TIMUR
2022-12-27 09:28:45,HubbyMasSyarief,"@prabowo Boleh beda selera kopinya , tapi tetap satu cinta  https://t.co/ZjhthyK9mE",JAWA TIMUR
2022-12-27 04:09:00,Mochama72458365,Sinau Bareng Cak Nun&amp;Kiai Kanjeng semalam di hadiri Jendral Prabowo Subianto  https://t.co/miR7Ok8ziM,JAWA TIMUR
2022-12-26 21:24:33,timescoid,"Temui Puluhan Ulama-Kiai Jatim, Prabowo Subianto Minta Restu Menuju 2024: Pertemuan Prabowo Subianto dengan belasan ulama-kiai tersebut berlangsung hampir 5 jam dan berlangsung tertutup ... ...  https://t.co/NUYqk3aJN5 #beritabaik #timesindonesia #ketahananinformasi",JAWA TIMUR
2022-12-26 18:14:07,antungriduan,@Gerindra @prabowo @MuzaniGerindra    https://t.co/hMNz6IJTCH,JAWA TIMUR
2022-12-25 17:08:00,Jancukliverzzz,@Lqrqs @bintangemon Ini penulisnya kalau ditongkrongan bicaranya politik sama rumus fisika kali ya alias gak asik  Kagak pernah tuh diajak main FIFA atau PES atau GTA dan Mortal Kombat game buat 17+ Kagak pernah tuh ngobrol tentang waifu atau Gundam  Tahunya Jokowi vs Prabowo dan gak punya temen,JAWA TIMUR
2022-12-25 12:37:23,ganjaristbali,"𝐏𝐄𝐌𝐈𝐋𝐔 𝟐𝟎𝟐𝟒 𝐀𝐃𝐀𝐋𝐀𝐇 𝐌𝐎𝐌𝐄𝐍𝐓𝐔𝐌 𝐊𝐄𝐌𝐄𝐍𝐀𝐍𝐆𝐀𝐍 𝐆𝐀𝐍𝐉𝐀𝐑 Dalam survei, nama Ganjar Pranowo lagi-lagi menempati posisi teratas dengan angka 31,7 %, terpaut jauh dari Anies Baswedan (23,9%) dan Prabowo (23%  #ganjarpranowo #ganjar_pranowo #ganjarkita  https://t.co/4yygtL9cPA",JAWA TIMUR
2022-12-25 11:22:56,OktavianusYahy1,Beliau Babe Ridwan pernah bertemu saya saat di rumah perjuangan pilpres 2014 saat kami bersama team Prabowo Hatta. Selamat jalan. Be… Salam 🇮🇩  https://t.co/acsiRvAksC,JAWA TIMUR
2022-12-24 06:01:06,SSukaringtyas,Survey ngawur Prabowo lebih berpengalaman disegani manca negara anti aseng,JAWA TIMUR
2022-12-23 19:24:22,polsekmuarawis,Kapolri Jenderal polisi Listyo Sigit Prabowo meresmikan beberapa tempat ibadah di Kepulauan Riau   #polsekmuarawis  #poldakaltim  #polreskukar  #divisihumaspolri @ Polsek Muara Wis  https://t.co/LUtUNlTgAY,JAWA TIMUR
2022-12-23 14:06:27,Humas_Polda_Ktg,"Kapolri  Jenderal Polisi Drs. Listyo Sigit Prabowo,  https://t.co/93G4Rg6r3m. Apel Gelar Pasukan Ops Lilin 2022 Monas, Jakarta Pusat, Kamis (22/12) Rayakan #NataruTertibLancar Wujudkan Natal Indonesia Aman  https://t.co/hvdNErVlgV",JAWA TIMUR
2022-12-23 13:02:00,mistenpolsek,"Kapolri  Jenderal Polisi Drs. Listyo Sigit Prabowo,  https://t.co/TZg6zP6p0z. Apel Gelar Pasukan Ops Lilin 2022 Monas, Jakarta Pusat, Kamis (22/12) Rayakan #NataruTertibLancar Wujudkan Natal Indonesia Aman @ Minasa te'ne pangkep  https://t.co/jSZ0gomNmQ",JAWA TIMUR
2022-12-23 10:26:02,PolsekMengwi57,"Rayakan Nataru, Patuhi Protokol Kesehatan  “Pada sisi kesehatan, kita harus tetap waspada terhadap potensi terjadinya lonjakan Covid-19.”  Kapolri  Jenderal Polisi Drs. Listyo Sigit Prabowo,  https://t.co/rPeP6KnPGa. Apel Gelar Pasukan Ops Lilin 2022 Monas, Jakarta Pusat, (22/12).  https://t.co/HR2mwQNb5q",JAWA TIMUR
2022-12-22 20:21:42,siswandad,Udah pasti Pak Ganjar ungguli anies dan prabowo #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia  https://t.co/AqXX1yYglQ,JAWA TIMUR
