date,username,tweet,location
2023-03-24 06:13:48,Sumanto8787,Anies Baswedan prestasimu Nol Besar  https://t.co/3lCmh6mdJ2 #TenggelamkanAniesNasdem,KALIMANTAN UTARA
2023-03-24 05:11:29,adindadaud550,Anies Baswedan keturunan Kadrun Yaman  https://t.co/deNOlLXKcV #TenggelamkanAniesNasdem,KALIMANTAN UTARA
2023-03-24 04:26:46,komangkagawa,@barlingmascakeb @mihrabku @pramonoanung @jokowi @aniesbaswedan Jegal... Lucu juga loe klo lg ngimpi 🤣🤣,KALIMANTAN UTARA
2023-03-24 04:08:05,PurwantoImam1,@aniesbaswedan Good project and so am sure you will win on the next competition,KALIMANTAN UTARA
2023-03-24 03:08:51,putrapetir_007,@Malika6027 @indonesianies_ @aniesbaswedan @nahdlatululama @bos_sir @ekowboy2 @HidayatNatari @PramukhtikoS @Yurissa_Samosir @AnchaJie_ @NasDem @Anies_Relawan @FPKSDPRRI Ngookkkkk....,KALIMANTAN UTARA
2023-03-24 03:08:19,putrapetir_007,@indonesianies_ @aniesbaswedan @nahdlatululama @bos_sir @ekowboy2 @HidayatNatari @Malika6027 @PramukhtikoS @Yurissa_Samosir @AnchaJie_ @NasDem @Anies_Relawan @FPKSDPRRI Yai Said Aqil itu dituduh syiah oleh banyak pendukung Anis Baswedan. Masa mau didukung syiah??,KALIMANTAN UTARA
2023-03-24 00:41:26,adindadaud550,Anies Baswedan prestasi Nol besar  https://t.co/9ESq77qY7V #TenggelamkanAniesNasdem,KALIMANTAN UTARA
2023-03-24 00:20:09,konohanisme,@BangMoue @AgusYudhoyono @aniesbaswedan @PDemokrat lebih top mba puan,KALIMANTAN UTARA
2023-03-24 00:19:37,konohanisme,@KenkenK32356512 @AgusYudhoyono @aniesbaswedan @PDemokrat mba puan siap,KALIMANTAN UTARA
2023-03-24 00:19:03,konohanisme,@MuhtarA15688066 @AgusYudhoyono @aniesbaswedan @PDemokrat mba puan udah yang cocok,KALIMANTAN UTARA
2023-03-24 00:18:02,konohanisme,@Gani_Nasution44 @AgusYudhoyono @aniesbaswedan @PDemokrat lebih ok mba puan,KALIMANTAN UTARA
2023-03-24 00:17:40,konohanisme,@Aditya031098 @AgusYudhoyono @aniesbaswedan @PDemokrat bismilah mba puan,KALIMANTAN UTARA
2023-03-24 00:17:23,konohanisme,@dafrizio @AgusYudhoyono @aniesbaswedan @PDemokrat lebih cocok mba puan udah,KALIMANTAN UTARA
