date,username,tweet,location
2022-11-28 06:40:41,WiwinWFirdaus,The next of Mr President of Indonesia 🇮🇩 Mr @ganjarpranowo,KALIMANTAN UTARA
2022-11-28 06:02:39,Mbong2021,@ganjarpranowo Like you Mas Bro,KALIMANTAN UTARA
2022-11-27 14:22:57,Sinta_dew3,@SonyaPanda25 Indonesia akan maju bersama Ganjar Pranowo,KALIMANTAN UTARA
2022-11-27 14:11:12,mommy_ggsr,Jumlah Guru Yang Telah Di lantik #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ELzJtsRd1J,KALIMANTAN UTARA
2022-11-27 14:10:42,mommy_ggsr,Ganjar Berkata Akan Ada Ada  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/f2vQWuoVZU,KALIMANTAN UTARA
2022-11-27 14:07:27,mommy_ggsr,Ganjar Dan Momen Hari Guru #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/xqAQjKElzk,KALIMANTAN UTARA
2022-11-27 14:07:12,mommy_ggsr,Ganjar Dan Momen Hari Guru #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/pnQfUU2N9u,KALIMANTAN UTARA
2022-11-27 14:06:55,mommy_ggsr,Ganjar Dan Momen Hari Guru #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/8pfyfiMA8j,KALIMANTAN UTARA
2022-11-27 14:05:21,mommy_ggsr,Ganjar Dan Momen Hari Guru #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ssOK0hDiZY,KALIMANTAN UTARA
2022-11-27 12:14:36,Joelle81833143,Ini baru pas  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/TZjCj50jev,KALIMANTAN UTARA
2022-11-27 11:55:19,mommy_ggsr,Untuk Bangsa dan Negara Saya Siap #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/9DD81Fy41W,KALIMANTAN UTARA
2022-11-27 11:55:08,mommy_ggsr,Kode Keras Untuk Gubernur Jateng #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/iOrAFCkGQ8,KALIMANTAN UTARA
2022-11-27 11:55:00,mommy_ggsr,Ciri Pemimpin Yang Mikirin Rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/XhWRgDcHU8,KALIMANTAN UTARA
2022-11-27 11:54:50,mommy_ggsr,Untuk Bangsa dan Negara Saya Siap #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/rfeftb437n,KALIMANTAN UTARA
2022-11-27 11:54:33,mommy_ggsr,Untuk Bangsa dan Negara Saya Siap #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/0WkpyKgKFd,KALIMANTAN UTARA
2022-11-27 11:54:24,mommy_ggsr,Lupita @Lupita53309261 · 2mnt Kode Ketas Jokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/f58AWVYbeF,KALIMANTAN UTARA
2022-11-27 10:37:42,BaladrafDuta,"@celintanardi73 Pemimpin berkualitas dan merakyat, dukung Ganjar Pranowo untuk RI 1 2024 👍 #GanjarPilihanJokowi",KALIMANTAN UTARA
2022-11-27 10:29:54,RadenSumbu,Ganjar Pranowo sosok yang ramah  dan merakyat   #GanjarPilihanJokowi,KALIMANTAN UTARA
2022-11-27 10:25:46,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",KALIMANTAN UTARA
2022-11-27 10:25:36,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",KALIMANTAN UTARA
2022-11-27 10:25:17,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",KALIMANTAN UTARA
2022-11-27 10:19:51,KanjengReseh,Deklarasi komunitas pedagang makanan khas Banyumas dukung Ganjar Pranowo presiden RI 2024  #GanjarPilihanJokowi  https://t.co/JH23D0A23R,KALIMANTAN UTARA
2022-11-27 10:18:01,putri_andini93,Pak ganjar sejahterakan guru honorer  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/CFwTZPsMNw,KALIMANTAN UTARA
2022-11-27 10:16:45,KanjengReseh,Ganjar Pranowo kerahkan tenaga medis bantu korban Cianjur   #GanjarPilihanJokowi  https://t.co/ECDNJ5Nw55,KALIMANTAN UTARA
2022-11-27 10:14:04,JillFin38286803,Ganjar for Presiden 2024. Yookkk kita dukung Pak Ganjar.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarPilihanJokowi  https://t.co/xXUmw09qf4,KALIMANTAN UTARA
2022-11-27 10:13:33,JillFin38286803,Pak Ganjar dan Pak Jokowi memiliki kemiripan yang sama. Sama2 memikirkan rakyat.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarPilihanJokowi  https://t.co/gSF51VRVgR,KALIMANTAN UTARA
2022-11-27 10:12:10,RadenSumbu,Ganjar Pranowo sosok peduli akan nasib para GTT   #GanjarPilihanJokowi  https://t.co/Zk5w7MmXrr,KALIMANTAN UTARA
2022-11-27 10:11:23,RadenSumbu,Ganjar Pranowo sejahterakan GTT di Jawa Tengah   #GanjarPilihanJokowi  https://t.co/FvpJ04jKH6,KALIMANTAN UTARA
2022-11-27 10:07:24,Kathey58779168,Ayo Ganjar pilihan Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi  https://t.co/JHDcdTOPE4,KALIMANTAN UTARA
2022-11-27 10:04:33,Kathey58779168,Ayo dukung Ganjar Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi  https://t.co/KEHoD042Sh,KALIMANTAN UTARA
2022-11-27 10:02:42,primusanggarata,Ganjar Pranowo sosok yang peduli akan nasib para guru Indonesia   #GanjarPilihanJokowi  https://t.co/wLn18d7xe3,KALIMANTAN UTARA
