date,username,tweet,location
2023-03-24 05:59:26,NyakBanda,@NahiMungkar5 @aniesbaswedan Emangnya ada yg Palsu beh?? Baru tau ane..😂,KEPULAUAN RIAU
2023-03-24 05:42:51,GheaJhanaLie8,"Media memainkan peran yg sangat vital untuk memframing kegiatan kita. Oleh karena itu, kuasai semua lini di perusahaan media tsb agar memberitakan yang baik2 saja bahkan kalau perlu memanipulasi data dan fakta yang menguntungkan. #Pilpres2024 Jarnas Kadrun Anies Baswedan Khilafah",KEPULAUAN RIAU
2023-03-24 04:09:31,BSipoel,"@AyaniMel Disaat yang lain menebar isu perpecahan, Anies Baswedan menyatukan! Mantap dukung Anies Baswedan for RI1 untuk Indonesia Maju dan Damai 👍",KEPULAUAN RIAU
2023-03-24 04:08:16,BSipoel,"@VeelaaRhie Anies Baswedan mengayomi seluruh lapisan masyarakat, diterima semua golongan ras dan agama. Mantap dukung Anies Baswedan for RI1 untuk Indonesia Maju dan Damai 👍",KEPULAUAN RIAU
2023-03-24 03:51:33,BSipoel,@VeelaaRhie Mantap dukung Anies Baswedan for RI1 untuk Indonesia Maju dan Damai 👍,KEPULAUAN RIAU
2023-03-24 03:42:50,GheaJhanaLie8,"Pilpres 2024 adalah kesempatan terakhir kita merebut kekuasaan dan mengganti sistim Pancasila dengan Khilafah. Kita pernah gagal 2 kali tahun 2014 dan 2019, kali ini pergunakan segala upaya dan halalkan segala cara untuk mensukseskannya. #Jarnas Kadrun Anies Baswedan Khilafah KIP",KEPULAUAN RIAU
2023-03-24 03:08:51,putrapetir_007,@Malika6027 @indonesianies_ @aniesbaswedan @nahdlatululama @bos_sir @ekowboy2 @HidayatNatari @PramukhtikoS @Yurissa_Samosir @AnchaJie_ @NasDem @Anies_Relawan @FPKSDPRRI Ngookkkkk....,KEPULAUAN RIAU
2023-03-24 03:08:19,putrapetir_007,@indonesianies_ @aniesbaswedan @nahdlatululama @bos_sir @ekowboy2 @HidayatNatari @Malika6027 @PramukhtikoS @Yurissa_Samosir @AnchaJie_ @NasDem @Anies_Relawan @FPKSDPRRI Yai Said Aqil itu dituduh syiah oleh banyak pendukung Anis Baswedan. Masa mau didukung syiah??,KEPULAUAN RIAU
2023-03-24 01:42:50,GheaJhanaLie8,"Data AI menunjukkan mayoritas pengguna medsos adalah SJW mesum, berpikir jorok, dan suka esek-esek. Pikat mereka dgn posting foto-foto mesum supaya menjadi followers kita, lalu pelan-pelan arahkan agar mereka memberikan dukungan ke kita. #Pilpres2024 Jarnas Anies Baswedan Kadrun",KEPULAUAN RIAU
2023-03-24 00:20:09,konohanisme,@BangMoue @AgusYudhoyono @aniesbaswedan @PDemokrat lebih top mba puan,KEPULAUAN RIAU
2023-03-24 00:19:37,konohanisme,@KenkenK32356512 @AgusYudhoyono @aniesbaswedan @PDemokrat mba puan siap,KEPULAUAN RIAU
2023-03-24 00:19:03,konohanisme,@MuhtarA15688066 @AgusYudhoyono @aniesbaswedan @PDemokrat mba puan udah yang cocok,KEPULAUAN RIAU
2023-03-24 00:18:02,konohanisme,@Gani_Nasution44 @AgusYudhoyono @aniesbaswedan @PDemokrat lebih ok mba puan,KEPULAUAN RIAU
2023-03-24 00:17:40,konohanisme,@Aditya031098 @AgusYudhoyono @aniesbaswedan @PDemokrat bismilah mba puan,KEPULAUAN RIAU
2023-03-24 00:17:23,konohanisme,@dafrizio @AgusYudhoyono @aniesbaswedan @PDemokrat lebih cocok mba puan udah,KEPULAUAN RIAU
2023-03-24 00:17:03,konohanisme,@Diah_Wishes @AgusYudhoyono @aniesbaswedan @PDemokrat hahaha bener nih,KEPULAUAN RIAU
2023-03-24 00:16:14,konohanisme,@bulantasik @AgusYudhoyono @aniesbaswedan @PDemokrat mba puan semangat ya,KEPULAUAN RIAU
2023-03-24 00:15:59,konohanisme,@azistaufiq2 @AgusYudhoyono @aniesbaswedan @PDemokrat lebih keren mba puan udah,KEPULAUAN RIAU
2023-03-24 00:15:35,konohanisme,@MasAyravi @AgusYudhoyono @aniesbaswedan @PDemokrat coba deh perubahan apa?,KEPULAUAN RIAU
