date,username,tweet,location
2023-01-16 06:33:05,Hendrik66752917,@ganjarpranowo Masih jaman PENCITRAAN bung. Keliatan anda ini hanya modal.....,KEPULAUAN RIAU
2023-01-16 05:49:50,irvan_yonas,"@RamliRizal Setidaknya apa yang disampaikan oleh Pak @ganjarpranowo dalam video itu betul, merupakan akumulasi dari berbagai faktor yang bisa membuat Indonesia menjadi negara yang dominan.",KEPULAUAN RIAU
2023-01-16 05:22:44,Ariefff92839705,"@0512Vip @AndiSinulingga @ganjarpranowo Kamu iri ya, karna liat pak Ganjar bisa pakai baju polisi pangkat Kombes",KEPULAUAN RIAU
2023-01-16 03:02:56,Rey_Annd,@jakapradipta @Irwan2yah1 @DivHumas_Polri @ganjarpranowo Kena kursi hijau nangeeesss 🤣🤣,KEPULAUAN RIAU
2023-01-16 01:09:41,makganjarsumut,Mak Ganjar Sumatera Utara berbagi kebaikan..🇲🇨🙏 #makganjarsumut #makganjaruntukpakganjar #ganjarpranowo #ganjarforpresident2024 #ganjarpresiden2024 #makganjar  https://t.co/tz7YpntznH,KEPULAUAN RIAU
2023-01-16 00:00:35,Block13_Madura,@AirinDatangLagi @ganjarpranowo Jangan gotong royong ngumpetin 1000ton Bansos untuk warganya. Kayak kampung sebelah.🤣🤣🤣,KEPULAUAN RIAU
2023-01-15 22:22:11,yudimeno,@ganjarpranowo Hutan jangan sampai menjadi penghalang Investasi dan proyek strategis nasional.. Wadas,KEPULAUAN RIAU
2023-01-15 22:09:14,ND45MUpetal,"@ganjarpranowo Gap WADAS piye,pak?  Namung tangglet lhoh,den. Pun baper njih.  Neng akherat ora onok pencitraan namung siksaan kagem pemimpin seng ora amanah.  Gemes malaikat e kuwi",KEPULAUAN RIAU
2023-01-15 21:55:05,SHBcrypto,@Irwan2yah1 @DivHumas_Polri @ganjarpranowo Gass @DivHumas_Polri tangkap jangan kasih kendor...,KEPULAUAN RIAU
2023-01-15 21:44:44,Daniell07568575,"Po""tren""si Kemajuan Pak Ganjar Sangat Besar #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/mhU1Wzabkq",KEPULAUAN RIAU
2023-01-15 21:44:25,Daniell07568575,Gue sih setuju banget kalo pak ganjar cocok jadi the next presiden 2024 #ganjarpranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ytZ0jn7i28,KEPULAUAN RIAU
2023-01-15 21:43:44,Daniell07568575,Pak ganjar bisa kerja untuk Indonesia di bandingkan si hmm wkwkwk #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/Hr4O7stwUd,KEPULAUAN RIAU
2023-01-15 21:42:54,Daniell07568575,Pak Ganjar bakal jadi Presiden indonesia 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/iqomAcvPpp,KEPULAUAN RIAU
2023-01-15 21:22:26,tribunmedan,"Guntur Soekarnoputra Blakblakan Pilih Ganjar Pranowo daripada Puan Maharani, Ini Alasannya    https://t.co/QRexNmMCMJ via @tribunmedan",KEPULAUAN RIAU
2023-01-15 21:18:53,FandikaDimas,kinerja Pak Ganjar sangat hebaat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat  https://t.co/KgxMvT6ACf,KEPULAUAN RIAU
2023-01-15 21:18:25,FandikaDimas,semoga sukses dan menang sehingga bisa memimpin Indonesia #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat  https://t.co/Tn2E6iSQCp,KEPULAUAN RIAU
2023-01-15 21:17:47,FandikaDimas,yang terbaik untuk Indonesia #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat  https://t.co/vHf4QU85Pq,KEPULAUAN RIAU
2023-01-15 20:33:38,YM_friendster,"@MochamadRofiq8 @Irwan2yah1 @DivHumas_Polri @ganjarpranowo serang adlh kata kerja, bukan nama kota dlm komen tsb. Jln cinde raya adanya si semarang, jateng.",KEPULAUAN RIAU
2023-01-15 20:13:32,sdgbanten,"Alhamdulillah kegiatan berjalan lancar dan disambut baik oleh tokoh, santri dsn masyarakat sekitar.  #santri #santribanten #santridukungganjar #santriuntukganjar #santribersamaganjar #ganjarpranowo #ganjarpresiden2024",KEPULAUAN RIAU
