username,tweet,geo
FajarIDNetwork,"Musra XIII Projo di Jatim Kerucutkan 3 Nama Capres, Ganjar Pranowo, Prabowo Subianto dan Airlangga Hartarto  Follow kami untuk berita menarik lainnya🌐  WR 1 Ratu Tisha Civic PSSI Jodoh Brighton MY GIRL BUMN Mudryk Minggu Arsenal FajRI Super 1000 Spotify  https://t.co/eOpSgMpgZu",
de_folder,"Sekjen Gerindra Ahmad Muzani menginstruksikan pengurus dan kader partainya untuk memasang spanduk bergambar Prabowo Subianto di kampung-kampung hingga pelosok gang, demi supaya Prabowo Presiden 2024.   https://t.co/0nBfc5JpgI",
jatimnowdotcom,"Selain Prabowo, para peserta Musra XIII Jatim juga ada yang mendukung Ganjar Pranowo dan Airlangga Hartanto. #JatimNow #MusraJatim #Musra #MusyawarahRakyat #PrabowoSubianto #prabowo #Capres #Pilpres2024 #politik #Surabaya  https://t.co/J53DSP0an9",
bengkeldodo,@GarisTengahbe @prabowo @Gerindra @azissubekti @Don_dasco @Dahnilanzar @BANGSAygSUJUD @dayana47631052 @Arelan05 @are_inismyname akurat !!!!!!,
bengkeldodo,@iimalmar @prabowo @Gerindra @azissubekti @Don_dasco @Dahnilanzar @BANGSAygSUJUD @dayana47631052 @Arelan05 @are_inismyname doakan selalu mba .....,
GarisTengahbe,@bengkeldodo @prabowo @Gerindra @azissubekti @Don_dasco @Dahnilanzar @BANGSAygSUJUD @dayana47631052 @Arelan05 @are_inismyname Tidak hanya menjadi pemimpin tapi juga mencetak pemimpin.,
Galamedia2022,"PRABOWO SUBIANTO Kembali Buka Pendaftaran Komcad 2023, Bisa Daftar Melalui WhatsApp  https://t.co/2voS8q5leJ",
rakyatinfo7,"""Prabowo Subianto masih belum tergoyahkan hegemoninya di Jawa Barat. Dugaan bahwa Anies Baswedan berhasil menggerus kantong-kantong suara",
yaniarsim,"Bentrokan TKI China dg TK Indonesia, alat berat PT GNI mulai dibakar massa. Sebuah pertambangan besar di Kab Morowali Utara, Sulawesi Tengah. Bentrokan terjadi Sabtu 14 Januari 2023 siang hingga malam. Cc @Kemhan_RI @prabowo @jokowi  https://t.co/o6AItwZd5W",
wa_one1,Siapakah yg harus bertanggung jawab Pak ??? 🙏🙏🙏🇮🇩❤️ @jokowi @luhut_binsar @prabowo @DPR_RI @FPKSDPRRI @menakertrans @kemendagri @republikaonline @temponewsroom @kompascom @NasDem @PDemokrat,
ZidWorld_,"Sekjen Gerindra Ahmad Muzani menginstruksikan pengurus dan kader partainya untuk memasang spanduk bergambar Prabowo Subianto di kampung-kampung hingga pelosok gang, demi supaya Prabowo Presiden 2024.   https://t.co/8ipvFu2mF8",
rakyatinfo7,“Berdasarkan hasil survei LSN ternyata Provinsi Jawa Barat alias Tatar Sunda masih menjadi lumbung suara utama Prabowo Subianto sebagaimana pada Pilpres 2014 dan 2019,
rakyatinfo7,"Hasilnya, menunjukkan hegemoni Prabowo Subianto di provinsi Jawa Barat tidak tergoyahkan dan ia tetap unggul dibandingkan Ganjar Pranowo atau Anies Baswedan.",
fazcryp,"LSN: Bukan Cuma Jabar, Suara Pak Bowo Juga Menguat di Jatim  https://t.co/2k5RHkYbzq @Gerindra @prabowo @Fraksi_Gerindra  #Pilpres2024",
Grobog1Gerindra,Dewan Pimpinan Cabang Partai Gerindra Kabupaten Grobogan PEDULI BANJIR !!!   #mendingprabowo #prabowosubianto #prabowo #gerindra #gerindrajateng #gerindrajawatengah #dpcgerindragrobogan #gerindragrobogan #banjirgrobogan  https://t.co/nN9fP3mwqP,
gerindra_pati,Gerindra memasang target jadi pemenang Pemilu 2024. Sekjen Gerindra Ahmad Muzani memerintahkan kader Gerindra memasang spanduk Gerindra dan Ketum Prabowo Subianto.  #MendingPrabowo #PrabowoSubianto #Prabowo #gerindraJateng #gerindraJawaTengah #GerindraPati  https://t.co/Qag9BkKkY6,
Projo_Pusat,"Nama @GeneralMoeldoko Muncul di Musra Projo XIII, @ganjarpranowo dan @prabowo Menyusul di Bawahnya   https://t.co/l9K3sEJXtF  #projo #jokowi",
Taniaanandaa,Das'ad Latif memberikan pesan secara khusus agar bantuan Menhan Prabowo Subianto berupa mobil operasional dapat dimanfaatkan dengan baik.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Das'ad Latif memberikan pesan secara khusus agar bantuan Menhan Prabowo Subianto berupa mobil operasional dapat dimanfaatkan dengan baik.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"Pihaknya mengaku, juga bersama para pengurus BKPRMI lainnya, melihat sosok Prabowo sebagai sosok yang paling banyak manfaatnya bagi orang lain.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Tapi alhamdulillah Prabowo bukan memberikan kepada partai, tapi memberikan kepada remaja masjid,” kata Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Tapi alhamdulillah Prabowo bukan memberikan kepada partai, tapi memberikan kepada remaja masjid,” kata Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"“Alhamdulillah pak Prabowo buktikan hari ini, biasanya yang mau dikasih mobil itu apa pak, partai politik karena ada maunya, tapi ini engga,"" kata Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"“Alhamdulillah pak Prabowo buktikan hari ini, biasanya yang mau dikasih mobil itu apa pak, partai politik karena ada maunya, tapi ini engga,"" kata Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Diketahui, Prabowo Subianto memberikan bantuan sejumlah mobil operasional untuk BKPRMI beberapa waktu lalu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Diketahui, Prabowo Subianto memberikan bantuan sejumlah mobil operasional untuk BKPRMI beberapa waktu lalu.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Ustaz Das'ad Latif memuji kedermawanan Prabowo Subianto, kendati jarang diekspos.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Ustaz Das'ad Latif memuji kedermawanan Prabowo Subianto, kendati jarang diekspos.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Pihaknya mengaku, juga bersama para pengurus BKPRMI lainnya, melihat sosok Prabowo sebagai sosok yang paling banyak manfaatnya bagi orang lain.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"""Sosok Pak Prabowo Subianto, sangat perhatian terhadap perjuangan dakwah dengan banyak memberikan bantuan,"" ucap Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Sosok Pak Prabowo Subianto, sangat perhatian terhadap perjuangan dakwah dengan banyak memberikan bantuan,"" ucap Ustad Das'ad Latif.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Menurut Ustad Das'ad Latif, Prabowo adalah tokoh negarawan yang peduli dengan Umat Islam.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Ustad Das'ad Latif memberikan penilaian kepada sosok Menteri Pertahanan RI, Prabowo Subianto Djojohadikusumo (PSD).  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Menurut Ustad Das'ad Latif, Prabowo adalah tokoh negarawan yang peduli dengan Umat Islam.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Ustad Das'ad Latif memberikan penilaian kepada sosok Menteri Pertahanan RI, Prabowo Subianto Djojohadikusumo (PSD).  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Da'i Kondang Ustad Das'ad Latif Sebut Prabowo Sosok yang Ikhlas Peduli Umat.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Da'i Kondang Ustad Das'ad Latif Sebut Prabowo Sosok yang Ikhlas Peduli Umat.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
Taniaanandaa,"""Mudah-mudahan kedepannya Indonesia dan Kazakstan dapat mengembangkan produksi bersama,” kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"“Dalam bidang industri pertahanan, Indonesia berharap dapat menjalin kerja sama melalui mekanisme alih teknologi,"" kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"""Mudah-mudahan kedepannya Indonesia dan Kazakstan dapat mengembangkan produksi bersama,” kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"“Dalam bidang industri pertahanan, Indonesia berharap dapat menjalin kerja sama melalui mekanisme alih teknologi,"" kata Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,"Prabowo berharap dapat menjajaki berbagai potensi kerjasama seperti pengembangan pendidikan militer, pengembangan teknologi pertahanan, dan peluang lain yang dapat dijajaki bersama.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
CalistaKaisa,"Prabowo berharap dapat menjajaki berbagai potensi kerjasama seperti pengembangan pendidikan militer, pengembangan teknologi pertahanan, dan peluang lain yang dapat dijajaki bersama.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",
Taniaanandaa,Prabowo menyampaikan terima kasih kepada Duta Besar Kazakhtan H.E. Daniyar Sarakenov yang telah berperan penting dan aktif dalam mensukseskan hubungan bilateral kedua negara.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
CalistaKaisa,Prabowo menyampaikan terima kasih kepada Duta Besar Kazakhtan H.E. Daniyar Sarakenov yang telah berperan penting dan aktif dalam mensukseskan hubungan bilateral kedua negara.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,
