date,username,tweet,location
2022-12-27 12:07:02,ifoelslanker,@QaillaAsyiqah @aniesbaswedan 😅😅😅,MALUKU UTARA
2022-12-27 10:45:30,rikotuntung,@Tita83079013 @aniesbaswedan Cocok itu sdh..😀😀,MALUKU UTARA
2022-12-26 20:54:56,CSintami,Anies Baswedan Gila #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/3lX5SNpBKC,MALUKU UTARA
2022-12-26 19:56:18,NicholSyahputra,Entah apa yang dilakukan anies baswedan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/DwSQHRrffY,MALUKU UTARA
2022-12-26 19:54:40,NicholSyahputra,"Kelompok radikal, biadab anies baswedan #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/vaXUiLj7KD",MALUKU UTARA
2022-12-26 10:14:46,CSintami,Bangsat memang Anies Baswedan #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/gWcz3kXZYp,MALUKU UTARA
2022-12-25 13:02:17,CSintami,Anies Baswedan Gakbener tolol #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/5G4uXoLU1U,MALUKU UTARA
2022-12-25 10:04:42,wahyuadi1920,Anies Baswedan penjual NKRI ke ormas terlarang.  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/w7Idh4emoT,MALUKU UTARA
2022-12-25 10:04:29,wahyuadi1920,Bahayanya politik identitas Anies Baswedan bisa memecah belah bangsa.  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/kBoWUICngL,MALUKU UTARA
2022-12-25 10:03:39,wahyuadi1920,Jangan biarkan NKRI dipecah belah oleh kaum2 radikal &amp; Anies Baswedan.  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/zDVu3QzDOd,MALUKU UTARA
2022-12-23 19:48:04,JarnasABWBpn,"Ini baru NasDem yang mengusung 🥳  Bila Koalisi Perubahan, 3 Partai bahkan 5 partai yg Deklarasi &amp; mengusung Capres RI 2024 Anies Baswedan.  Bisa bayangkan Warga yang menghadiri Safari Perubahan nantinya...Will Be HUGE ✨  #KoalisiPerubahan #AniesPresiden2024  https://t.co/bh8nXO3gU8",MALUKU UTARA
