date,username,tweet,location
2023-01-16 00:59:24,muzantara,@AirinDatangLagi @ganjarpranowo MakjLeb...🫣👌👍,MALUKU UTARA
2023-01-16 00:33:41,muzantara,"@bachrum_achmadi Ini Thread yg mengulas tentang Segudang Prestasi Pak @ganjarpranowo yg manfaatnya langsung dirasakan oleh rakyat, semoga ga malas scroll untuk lihat komentar²nya...🫣🤪   https://t.co/8rsc0lWZzp",MALUKU UTARA
2023-01-15 14:34:42,JillFin38286803,Pak Ganjar dukung toleransi ikut jalan sehat kerukunan umat.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ItCIVtY62G,MALUKU UTARA
2023-01-15 14:34:25,JillFin38286803,Pak Ganjar akan memulihkan lahan kritis dengan penanaman pohon.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/FABm7uIj7q,MALUKU UTARA
2023-01-15 14:33:59,JillFin38286803,Inflasi Jateng Turun karena Pak Ganjar.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/g5pmRlFrWH,MALUKU UTARA
2023-01-15 14:33:57,Irwan2yah1,@bujangkinangan @MochamadRofiq8 @DivHumas_Polri @ganjarpranowo Hahaha hahaha,MALUKU UTARA
2023-01-15 14:32:52,JillFin38286803,Inflasi di Jateng menurun karena kebijakan pak Ganjar. Keren.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/vV5SE31FnG,MALUKU UTARA
2023-01-15 13:53:10,Darcie48710203,Ganjar cocok Presiden #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/dFwqecqZip,MALUKU UTARA
2023-01-15 13:52:32,Darcie48710203,Ganjar cocok jadi Presiden #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/x5X8kllJb3,MALUKU UTARA
2023-01-15 13:46:20,Irwan2yah1,berikut kondisi rumah setelah di geruduk rombongan anak-anak muda yang belum diketahui identitasnya  Moga para pelaku segera di tangkap  @DivHumas_Polri @ganjarpranowo @ListyoSigitP  https://t.co/IAlbELsWZg,MALUKU UTARA
2023-01-15 12:12:10,SulutGanjar,Inflasi jateng turun #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/zxjTOqPCN7,MALUKU UTARA
2023-01-15 12:11:53,SulutGanjar,Ganjar akan pulihkan lahan kritis dengan penanaman pohon #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/aEF2h2DrUV,MALUKU UTARA
2023-01-15 12:11:14,SulutGanjar,Ganjar Pranowo dukung toleransi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/o0DWWCqq1Y,MALUKU UTARA
2023-01-15 12:10:44,SulutGanjar,Ganjar Pranowo peduli rakyatnya #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/PxVnaxzGWE,MALUKU UTARA
2023-01-15 12:10:25,SulutGanjar,Ganjar si paling garcep kalau urusan rakyat  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/46sLMGeRNq,MALUKU UTARA
2023-01-15 11:52:18,Irwan2yah1,@MochamadRofiq8 @DivHumas_Polri @ganjarpranowo Hahaha hahaha  Aku ikutan bingung,MALUKU UTARA
2023-01-15 11:19:56,Irwan2yah1,"Segerombolan jagoan neon bersajam meresahkan masyarakat, menggeruduk rumah &amp; menghancurkan kendaraan warga.   Di kucingan deket lapangan bunder sebelah alfamart mau kukutan juga Di serang. Tadi pagi sekitar jam 5.45 Di jl cinde raya no 23 semarang. @DivHumas_Polri @ganjarpranowo  https://t.co/hWthQLKMXp",MALUKU UTARA
2023-01-15 08:28:01,ch_chotimah2,"Selamat pagi Indonesia.💞  Indonesia pusaka vocal by Ganjar Pranowo. Suaranya bagus dan Alhamdulillah ga ada lirik yg diubah.😊  Yg belum dan mau saya follback, retweet atau like aja twet ini.💞  https://t.co/7iMmaEuTMZ",MALUKU UTARA
2023-01-14 15:59:36,JillFin38286803,Luar biasa. GBB banten siap dukung Pak Ganjar maju jadi Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/nZyM1F66RQ,MALUKU UTARA
2023-01-14 15:58:16,JillFin38286803,Pak Ganjar antisipasi krisis pangan. Pemimpin luar biasa.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/32YOaqz8Hq,MALUKU UTARA
2023-01-14 15:55:41,JillFin38286803,Ganjar pemimpin terbaik. Wawasan dan Strateginya sangat hebat.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/zk6ONZ1b5K,MALUKU UTARA
2023-01-14 15:26:10,Darcie48710203,Ayo kita dukung Ganjar Presiden #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/G0C5kvpWzx,MALUKU UTARA
2023-01-14 15:24:38,Darcie48710203,Dukung Pak Ganjar #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/zFE9lE6lrL,MALUKU UTARA
2023-01-14 13:59:17,SulutGanjar,Ganjar majukan Jawa Tengah #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/Yqo3A72KsL,MALUKU UTARA
2023-01-14 13:58:16,SulutGanjar,Ganjar dicintai ulama #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/vZTQ2BtXgU,MALUKU UTARA
2023-01-14 13:57:28,SulutGanjar,Luar biasa Pak Ganjar Pranowo #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/xiAT3aXm9Z,MALUKU UTARA
2023-01-14 13:56:25,SulutGanjar,Ganjar Pranowo peduli rakyatnya #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/AESJsICE22,MALUKU UTARA
2023-01-14 13:54:13,SulutGanjar,Dukung ganjar pranowo di pilpres 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/FFGgETOFdq,MALUKU UTARA
2023-01-14 10:03:11,Hotan_Sangihe,@__AnakKolong @ListyoSigitP @ganjarpranowo @DivHumas_Polri mngkn kurang viral kali. bagaimana @kpp_pa,MALUKU UTARA
2023-01-14 00:33:44,ZainalHerry,@JhonniSinaga20 @1Rantjono @ganjarpranowo Yang coyo DUNGU,MALUKU UTARA
2023-01-13 21:48:47,Awang39795764,@Dennysiregar7  @ganjarpranowo  😄😄 @ruhutsitompul,MALUKU UTARA
2023-01-13 21:40:39,Awang39795764,"Sampaikan sama si Ade agar jgn stres ya @Dennysiregar7  dan sampaikan juga ke @ganjarpranowo  PDIP aja gak peduli, bagus di rumah aja.. Partai nya belum jelas yg mau 😄😆",MALUKU UTARA
2023-01-13 17:58:13,saka_abian122,@ganjarpranowo Alhamdulillah Insyaa Allah RI-1,MALUKU UTARA
2023-01-13 15:45:31,Monalisa11123,Ganjar pranowo hebat keren #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/rB4G1AwFqN,MALUKU UTARA
