date,username,tweet,location
2023-03-24 06:48:13,Alfakton_i,Stress!! anies malah menjelekkan negara sendiri di australia tapi berharap jadi presiden!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/MdaFB6Re8t,PAPUA BARAT
2023-03-24 06:47:42,Alfakton_i,COCOK! ketika anies diteriaki wan bacot saat temui warga Jakarta yang protes di balai kota!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/UM9vnbABPI,PAPUA BARAT
2023-03-24 06:47:10,Alfakton_i,Jahat!! anies baswedan tinggalkan sejuta masalah di DKI!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/OlPhuPgtU9,PAPUA BARAT
2023-03-24 06:46:50,Alfakton_i,tidak salah kalau rakyat Indonesia memberikan julukan anies sebagai bapak politik identitas!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/FLbPfKeCl1,PAPUA BARAT
2023-03-24 06:46:26,Alfakton_i,Masih ingat pesan habib rizieq yang haramkan pilih nasdem?!! Pendukung anies jangan pura pura bodoh!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/GIUiGEvdZ8,PAPUA BARAT
2023-03-24 06:45:47,Alfakton_i,datang dengan gagasan yang tidak relevan! tidak ada tempat untuk anies!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/9KQJq5peEz,PAPUA BARAT
2023-03-24 06:45:24,Alfakton_i,Kampanye di surabaya sepi?? tanda anies tidak didukung!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/ogXLLWtgT7,PAPUA BARAT
2023-03-24 06:44:48,Alfakton_i,Jaga ideologi Pancasila dari janji syariat anies si Presiden Khilafah!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/VSYHoUCUAK,PAPUA BARAT
2023-03-24 06:44:12,Alfakton_i,Belum jadi apa apa anies sudah membangkang dengan menabrak segala aturan!!  #AniesBaswedan #GanjarPranowo   Bukber Ormas Pevita #anisd Tari Rehan 2023 M Chelsea Naura Tidur #SwissOpen2023 Liechtenstein Allah SWT Subuh  https://t.co/ucRwPVBcAy,PAPUA BARAT
2023-03-24 06:30:48,kangerryudha,@dwioktariyadi @aniesbaswedan @NasDem Kebiasaan bawa2 nama besar NU buat nyari dukungan.,PAPUA BARAT
2023-03-24 06:20:32,DKusandiani,@martirdemokrasi @ganjarpranowo @aniesbaswedan Pokoknya kita harus dukung orang baik @aniesbaswedan RI 1 Plus Minus adalah MANUSIAWI tak ada yang sempurna.,PAPUA BARAT
2023-03-24 06:16:38,gunawandvd,Rinny Budoyo: ANIES BASWEDAN BALIK MERAPAT KE KELOMPOK POLITIK IDENTITAS...  https://t.co/mHM3D6AOcj via @YouTube,PAPUA BARAT
