date,username,tweet,location
2023-01-16 06:38:00,Indonesia_Pedia,"Manfaat Lapak Ganjar terus dirasakan masyarakat. Program yang diinisiasi Gubernur Jateng @ganjarpranowo berhasil mendongkrak usaha UMKM.  Sempat terpuruk akibat terpaan pandemi, usaha Haryo Industri yang memproduksi sirup Daker (akronim dari daun kersen) mulai bangkit.  https://t.co/3oC9qWS4QH",PAPUA BARAT
2023-01-16 06:37:06,Adhit_1909,"@Valosenadya1 @ProfesorSuteki @RamliRizal @ReflyHZ @fadlizon @undip @unpad @UGMYogyakarta Denmas @ganjarpranowo ngomong apaan sik, mutar muter ga jelas, seolah paham yg dibucarakan pdhal nill",PAPUA BARAT
2023-01-16 06:31:23,TAMA_Pictures,@poldajateng_ @ganjarpranowo @humasjateng @DivHumas_Polri,PAPUA BARAT
2023-01-16 06:23:45,bjorkabjorki,@Irwan2yah1 @DivHumas_Polri @ganjarpranowo Warga boleh main hakim sendiri lah,PAPUA BARAT
2023-01-16 05:56:34,ArahResikInd,"#rk24 #rkri124 Prediksi Pilpres Tahun 2024 akan diikuti 4 (empat ) Capres, Yaitu :  1. Prabowo Subianto  (Gerindra+PKB)  2. Anies Baswedan (Nasdem+PKS+perindo+Hanura)  3. Ganjar Pranowo (PDIP+PSI)  4. Ridwan Kamil (GOLKAR+PAN+PPP)  https://t.co/6Y6CoUbXgh",PAPUA BARAT
2023-01-16 05:55:32,TEABOBI,"#rk24 #rkri124 Prediksi Pilpres Tahun 2024 akan diikuti 4 (empat ) Capres, Yaitu :  1. Prabowo Subianto  (Gerindra+PKB)  2. Anies Baswedan (Nasdem+PKS+perindo+Hanura)  3. Ganjar Pranowo (PDIP+PSI)  4. Ridwan Kamil (GOLKAR+PAN+PPP)  https://t.co/Kmjq9h6WxS",PAPUA BARAT
2023-01-16 05:45:01,tribunkaltim,"Sejumlah fakta menarik jelang Pilpres 2024 terkuak, Anies tak pengaruhi suara Prabowo di Jabar, Ganjar tak terbendung di Jateng  https://t.co/lAdCTUMMhe #pilpres2024 #GanjarPranowo #ganjar_pranowo #aniesbaswedan #prabowo #beritaterkini #beritaterbaru",PAPUA BARAT
2023-01-16 05:02:07,hudiyanto27,"@bachrum_achmadi Om Ganjar Pranowo, Lgi belajar politik identitas wkwkwkwk",PAPUA BARAT
2023-01-16 04:18:43,robbisantiaji,@Irwan2yah1 @DivHumas_Polri @ganjarpranowo Bendera pdip... Mungkin mereka ambil dr pinggir jalan... Karena di semarang  saat ini jatah pdip pasang bendera dipinggir pinggir jalan.,PAPUA BARAT
2023-01-16 04:10:50,Ziantozi,@ariefrasyad @jokowi @ganjarpranowo Aamiin,PAPUA BARAT
2023-01-16 04:07:22,EgraPerkasa,@muzantara @bachrum_achmadi @ganjarpranowo Pasti si @bachrum_achmadi langsung Skip 😂,PAPUA BARAT
2023-01-16 03:46:02,jpnncom,"Bawa Jateng Jadi Lumbung Beras Nasional, Ganjar: Petani Kita Hebat #GanjarPranowo  https://t.co/9MCzRwjX2P",PAPUA BARAT
2023-01-16 03:40:11,Inamala_Retrisa,Ini baru namanya Pemimpin terbaik.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/k3qZaEZvNW,PAPUA BARAT
2023-01-16 03:39:14,Inamala_Retrisa,Pak Ganjar siap melanjutkan kepemimpinan Presiden Jokowi.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/1Hs4p3igvY,PAPUA BARAT
2023-01-16 03:38:44,Inamala_Retrisa,Terbaik! Pak Ganjar bawah Jawa Tengah tangguh bencana. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/EKwlYDZwqZ,PAPUA BARAT
2023-01-16 03:37:35,Inamala_Retrisa,Top Markotop! Lapak Ganjar bikin produk ribuan UMKM laris manis.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/JtOnMYOFBk,PAPUA BARAT
2023-01-16 03:36:34,Inamala_Retrisa,Pak Ganjar memang pemimpin cerdas dan peduli lingkungan.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/n37oHJEmuN,PAPUA BARAT
2023-01-16 03:34:06,Nona_Watimuri,Sosok pemimpin yang dibutuhkan bangsa Indonesia!  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/iTA2Qd2osR,PAPUA BARAT
2023-01-16 03:32:20,Nona_Watimuri,Pak Ganjar berhasil stabilkan harga pangan di Jawa Tengah. Mantap!  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/mqhKhBRlmM,PAPUA BARAT
2023-01-16 03:29:16,Yunita_Mahusiwa,Pak Ganjar sosok pemimpin yang selalu bisa menciptakan solusi.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/UNvMDXWmNE,PAPUA BARAT
2023-01-16 03:27:07,Yunita_Mahusiwa,Relawan Pak Ganjar memang keren!  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/lkPOzLMT0X,PAPUA BARAT
2023-01-16 03:21:20,Yunita_Mahusiwa,"Berkat Pak Ganjar, UMKM Jawa Tengah naik kelas.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/7ytuTjqE2O",PAPUA BARAT
2023-01-16 03:20:26,Yunita_Mahusiwa,Pak Ganjar Pranowo adalah sosok pemimpin yang merakyat.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/pAxHA1v5EU,PAPUA BARAT
2023-01-16 03:19:32,Yunita_Mahusiwa,Pak Ganjar Pranowo memang terbaik.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/tLkq98M8ji,PAPUA BARAT
2023-01-16 01:51:09,TBatang," https://t.co/itYBiCjfji  Ada yg bawa bendera @PDI_Perjuangan @ganjarpranowo @hendrarprihadi @PDIPJateng @pdipkotasmg  Harusnya turut mencari pelaku, menuntut pelaku, agar nama baik partai gak tercemar ulah2 oknum2 model gini..  Mrk bawa2 clurit,,,, gak mungkin mrk mau ngarit 😪",PAPUA BARAT
2023-01-16 01:33:09,jurnascom,Ringankan Beban Rakyat Kecil Relawan Ganjar Pranowo Berbagi Sembako  https://t.co/AOsdSU2Kox,PAPUA BARAT
2023-01-16 01:26:47,ariefrasyad,Pak Jokowi di Car Free Day. Selalu membawa keceriaan kepada orang orang sekeliling dia. He is truly loved by his people. Hope the next president will conrinue his legacy @jokowi @ganjarpranowo  #carfreeday #ranbutputih #penerusjokowi  https://t.co/SOrfwRII1M,PAPUA BARAT
2023-01-16 01:02:29,jakapradipta,"@Irwan2yah1 @DivHumas_Polri @ganjarpranowo tolong jgn ada pembelaan jika polisi menembak mati para pelaku kejahatan macam ini. bayangin itu abang gak sempat kabur, apa gak modar sama kelakuan manusia2 bgsd seperti mereka",PAPUA BARAT
