date,username,tweet,location
2022-12-26 21:17:08,samsullbahr,Anies Baswedan Gagal Urus Jakarta!!  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/UoejjjgiaC,PAPUA
2022-12-26 21:15:10,samsullbahr,ANIES Baswedan &amp; Partai Nasdem Fitnah!  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/DcNDa71gYX,PAPUA
2022-12-26 11:34:27,HestiMsen,Masyarakat Solo Raya Tolak Anies Baswedan..!!   #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor  https://t.co/JQVNCAFzjN,PAPUA
2022-12-26 11:34:24,cegi_feby,Masyarakat Solo Raya Tolak Anies Baswedan..!!   #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor  https://t.co/ekKgnqHe4B,PAPUA
2022-12-24 10:19:08,DaynaFloww,Anies Baswedan keturunan yaman goblok #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/4KsdV3ObrH,PAPUA
2022-12-21 10:19:13,DaynaFloww,Anies baswedan melecehkan Batik #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/sBDOIq4eJ6,PAPUA
2022-12-19 19:03:08,Dwiajar2,@FerdinandHutah7 @BenzCasual @aniesbaswedan mas sampean iki gembar - gembor tentang polotik identitas tapi nyatane sampean dewe sing ngomong keturunan-keturunan…opo maksudte iku…?!,PAPUA
2022-12-18 09:36:01,DaynaFloww,ANies baswedan ini kaum radikal asal yaman  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/uYPKNxc5wo,PAPUA
2022-12-13 16:12:16,samsullbahr,Anies Baswedan Tak Beretika!  https://t.co/BxXOCwz5Gc,PAPUA
2022-12-08 15:33:13,KelliAnsanaiii,ANies Baswedan ditolak di Papua #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/BpiCje7czk,PAPUA
