date,username,tweet,location
2023-01-15 22:22:11,yudimeno,@ganjarpranowo Hutan jangan sampai menjadi penghalang Investasi dan proyek strategis nasional.. Wadas,PAPUA
2023-01-15 20:33:38,YM_friendster,"@MochamadRofiq8 @Irwan2yah1 @DivHumas_Polri @ganjarpranowo serang adlh kata kerja, bukan nama kota dlm komen tsb. Jln cinde raya adanya si semarang, jateng.",PAPUA
2023-01-15 14:20:11,FajardoCatelyn,Terbaik kerjanya Ganjar Pranowo. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/j6hEWazQ9I,PAPUA
2023-01-15 14:19:43,FajardoCatelyn,Ganjar Pranowo sangat merakyat. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/wMbWsbzVRG,PAPUA
2023-01-15 14:17:20,FajardoCatelyn,Ganjar Pemimpin Hebat yang Layak Melanjutkan Perjuangan Pak Jokowi  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/KqTOFYqtAj,PAPUA
2023-01-15 14:16:54,FajardoCatelyn,Ganjar pemimpin yang dekat dengan rakyat  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/MeQVSZTyy7,PAPUA
2023-01-15 14:15:17,FajardoCatelyn,dukung Pak Ganjar untuk Indonesia #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/GVIU6ftLPU,PAPUA
2023-01-15 14:14:33,FajardoCatelyn,Ganjar Pranowo for Presiden 2024. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/o72AjYfcet,PAPUA
2023-01-15 14:14:01,FajardoCatelyn,Ganjar The Next presiden #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia   #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/efRQAtNLRx,PAPUA
2023-01-15 14:13:05,FajardoCatelyn,Teriakan Ganjar Presiden semakin menggema di berbagai wilayah #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarBertanggungjawab  https://t.co/htuailZ4il,PAPUA
2023-01-15 14:11:46,FajardoCatelyn,"Ini baru pemimpin, sangat peduli dengan rakyatnya yang butuh bantuan #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/COpvIItgTS",PAPUA
2023-01-15 14:07:12,FajardoCatelyn,Berbagai Kalangan kompak dukung Pak Ganjar Pranowo #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/4OnkMyfLO0,PAPUA
2023-01-15 14:05:13,FajardoCatelyn,Ganjar Pranowo sangat merakyat. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/r46eNovcVa,PAPUA
2023-01-15 14:03:50,FajardoCatelyn,"Pak Ganjar sosok pemimpin yg didambakan, sangat tulus terhadap rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/I0A3usO1wA",PAPUA
2023-01-15 14:03:27,FajardoCatelyn,Ganjar layak dan Pantas untuk melanjutkan perjuangan Pak Jokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/3rwDXerPBL,PAPUA
2023-01-15 14:02:59,FajardoCatelyn,"Ganjar mengerti rakyat, terbaik untuk Indonesia #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/BzKRGN5Bzl",PAPUA
