date,username,tweet,location
2023-03-24 06:13:48,Sumanto8787,Anies Baswedan prestasimu Nol Besar  https://t.co/3lCmh6mdJ2 #TenggelamkanAniesNasdem,SULAWESI UTARA
2023-03-24 05:11:29,adindadaud550,Anies Baswedan keturunan Kadrun Yaman  https://t.co/deNOlLXKcV #TenggelamkanAniesNasdem,SULAWESI UTARA
2023-03-24 04:26:46,komangkagawa,@barlingmascakeb @mihrabku @pramonoanung @jokowi @aniesbaswedan Jegal... Lucu juga loe klo lg ngimpi 🤣🤣,SULAWESI UTARA
2023-03-24 04:08:05,PurwantoImam1,@aniesbaswedan Good project and so am sure you will win on the next competition,SULAWESI UTARA
2023-03-24 00:41:26,adindadaud550,Anies Baswedan prestasi Nol besar  https://t.co/9ESq77qY7V #TenggelamkanAniesNasdem,SULAWESI UTARA
2023-03-24 00:12:00,Sumanto8787,Anies Baswedan keturunan Kadrun Yaman  https://t.co/0z9yx5Dl8M #TenggelamkanAniesNasdem,SULAWESI UTARA
2023-03-23 22:47:50,HasanAbdulKari7,@LANGKAHANIES @aniesbaswedan آمِيْن يَا رَبَّ العَالَمِيْنَ,SULAWESI UTARA
2023-03-23 20:25:00,popeyabdul2,@VeelaaRhie @aniesbaswedan Skalian tenggelam,SULAWESI UTARA
2023-03-23 19:33:26,jamilahrosdiana,@wongsosoko @gibran_tweet @aniesbaswedan Ehhmm  https://t.co/IJ9YAcOZo9,SULAWESI UTARA
2023-03-23 18:52:40,JarnasABWBpn,"Keren kan JIS, salah satu karya Anies Baswedan.   #AniesPresiden2024  https://t.co/UiKY0WdoNV",SULAWESI UTARA
2023-03-23 18:49:08,MedanHits23,"@martirdemokrasi @ganjarpranowo @aniesbaswedan Ganjar menang di sosmed doang, kalo fakta lapangannya nihil",SULAWESI UTARA
2023-03-23 18:32:37,WSicci,"@FitrahDharul @Mdy_Asmara1701 @Dennysiregar7 @RuhutSitompuul @sigitwid @ekokunt @Giring_Ganesha @FerdinandHaean3 @yusuf_dumdum @Fahrihamzah @kurawa @GunRomli @ch_chotimah2 @andre_rosiade @66Hasto @aniesbaswedan @suryapaloh51 @NasDem @PKSejahtera @PDemokrat @DPR_RI @mprgoid Gak usah kesini2 dulu, konteksnya beda, itu yg anies nyari2 gua buat bertapa gimana  ? Soal virus covid masalah kecil, soal anies mulai minta jabatan sama setan itu yg harus kita bahas.",SULAWESI UTARA
2023-03-23 17:11:29,adindadaud550,Anies Baswedan keturunan Kadrun Yaman  https://t.co/deNOlLXKcV #TenggelamkanAniesNasdem,SULAWESI UTARA
2023-03-23 12:41:25,adindadaud550,Anies Baswedan prestasi Nol besar  https://t.co/9ESq77qY7V #TenggelamkanAniesNasdem,SULAWESI UTARA
2023-03-23 12:20:23,7eliazaar,@tatakujiyati buzzeRp @aniesbaswedan yg satu ini punya 2 kelihaian level kronis: 1. Hoax 2. Fitnah. sekali2 perlu diajak nikmati takjil bareng @Banser_CyberNU,SULAWESI UTARA
2023-03-23 11:27:01,ch_chotimah2,"Pendukung @aniesbaswedan, baru hari pertama ramadhan sdh main fitnah lagi, pdhl jelas Ganjar blm deklarasi capres. Kita dilarang bahas dan urusin Anies tapi mereka seenaknya urusin bahkan memfitnah pak @ganjarpranowo. Dasar waluh.",SULAWESI UTARA
2023-03-23 11:07:11,AlamTimur3,@marlina_idha Yang Pilih @aniesbaswedan itu SAMPAH !!!!,SULAWESI UTARA
2023-03-23 11:00:29,line_artt,"@AgusYudhoyono @aniesbaswedan Ya Deklarasi sana cepat, visi misinya apa? Kalo cocok pilih, kalo ga maaf.",SULAWESI UTARA
2023-03-23 10:27:56,pattbritanico,Anies Baswedan pakai politik identitas untuk menang Pilpres.. parah..!! . . #PolitikIdentitas #PemiluJujur #MoneyPolitik  https://t.co/6mR1KORSiQ,SULAWESI UTARA
2023-03-23 09:59:46,AlamTimur3,Haram hukum nya pilih Yaman kurang ajar model @aniesbaswedan  Sampah Negara !!,SULAWESI UTARA
2023-03-23 09:59:17,Wiji_kedua,@SssPujono @aniesbaswedan @AgusYudhoyono  https://t.co/ZPgKCgZocK,SULAWESI UTARA
2023-03-23 09:55:51,Hiburanajaaya81,@Sukardi2017 @aniesbaswedan @musniumar Ngikutin kebiasaan kelebihan bayar........,SULAWESI UTARA
2023-03-23 09:49:00,rizkysa23,Pak Anies Baswedan ajak Garpu NasDem dampingi UMKM agar makin maju dan tumbuh berkembang karna bagi Pak Anies UMKM ini memiliki peranan penting #ItsTimeRestorasiIndonesia #NasdemNo5 #AniesPresidenku  https://t.co/qwlNY40eI0,SULAWESI UTARA
2023-03-23 09:12:01,kaptmarvel18450,@Sukardi2017 @aniesbaswedan @musniumar 😂😂😂😂🤭 warga jateng cuma 32 jt ko pendukung. anies 50jt drmn  ? 😂😂😂😂😂🤦,SULAWESI UTARA
2023-03-23 08:18:19,Wiji_kedua,@abie_rafie @aniesbaswedan  https://t.co/I7NahB1p5m,SULAWESI UTARA
2023-03-23 07:12:30,Sumanto8787,Anies Baswedan keturunan Kadrun Yaman  https://t.co/0z9yx5Dl8M #TenggelamkanAniesNasdem,SULAWESI UTARA
