date,username,tweet,location
2022-11-28 06:02:39,Mbong2021,@ganjarpranowo Like you Mas Bro,SULAWESI UTARA
2022-11-27 15:47:50,VikaVik94494275,@langitan99 @gibran_tweet @ganjarpranowo @jokowi Didamam,SULAWESI UTARA
2022-11-27 14:22:57,Sinta_dew3,@SonyaPanda25 Indonesia akan maju bersama Ganjar Pranowo,SULAWESI UTARA
2022-11-27 10:37:42,BaladrafDuta,"@celintanardi73 Pemimpin berkualitas dan merakyat, dukung Ganjar Pranowo untuk RI 1 2024 👍 #GanjarPilihanJokowi",SULAWESI UTARA
2022-11-27 10:29:54,RadenSumbu,Ganjar Pranowo sosok yang ramah  dan merakyat   #GanjarPilihanJokowi,SULAWESI UTARA
2022-11-27 10:25:46,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",SULAWESI UTARA
2022-11-27 10:25:36,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",SULAWESI UTARA
2022-11-27 10:25:17,dinda_kirana93,"Ganjar Pranowo yang paling mengerti rakyat, sejahterakan guru honorer  #GanjarPilihanJokowi",SULAWESI UTARA
2022-11-27 10:19:51,KanjengReseh,Deklarasi komunitas pedagang makanan khas Banyumas dukung Ganjar Pranowo presiden RI 2024  #GanjarPilihanJokowi  https://t.co/JH23D0A23R,SULAWESI UTARA
2022-11-27 10:18:01,putri_andini93,Pak ganjar sejahterakan guru honorer  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/CFwTZPsMNw,SULAWESI UTARA
2022-11-27 10:16:45,KanjengReseh,Ganjar Pranowo kerahkan tenaga medis bantu korban Cianjur   #GanjarPilihanJokowi  https://t.co/ECDNJ5Nw55,SULAWESI UTARA
2022-11-27 10:14:04,JillFin38286803,Ganjar for Presiden 2024. Yookkk kita dukung Pak Ganjar.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarPilihanJokowi  https://t.co/xXUmw09qf4,SULAWESI UTARA
2022-11-27 10:13:33,JillFin38286803,Pak Ganjar dan Pak Jokowi memiliki kemiripan yang sama. Sama2 memikirkan rakyat.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarPilihanJokowi  https://t.co/gSF51VRVgR,SULAWESI UTARA
2022-11-27 10:12:10,RadenSumbu,Ganjar Pranowo sosok peduli akan nasib para GTT   #GanjarPilihanJokowi  https://t.co/Zk5w7MmXrr,SULAWESI UTARA
2022-11-27 10:11:23,RadenSumbu,Ganjar Pranowo sejahterakan GTT di Jawa Tengah   #GanjarPilihanJokowi  https://t.co/FvpJ04jKH6,SULAWESI UTARA
2022-11-27 10:07:24,Kathey58779168,Ayo Ganjar pilihan Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi  https://t.co/JHDcdTOPE4,SULAWESI UTARA
2022-11-27 10:04:33,Kathey58779168,Ayo dukung Ganjar Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi  https://t.co/KEHoD042Sh,SULAWESI UTARA
2022-11-27 10:02:42,primusanggarata,Ganjar Pranowo sosok yang peduli akan nasib para guru Indonesia   #GanjarPilihanJokowi  https://t.co/wLn18d7xe3,SULAWESI UTARA
2022-11-27 10:01:39,primusanggarata,Ganjar Pranowo sosok yang pantas menjadi presiden RI 2024   #GanjarPilihanJokowi  https://t.co/4t31H9PhtV,SULAWESI UTARA
2022-11-27 10:01:27,rastavara30,Bukti prestasi Ganjar Pranowo 👍🇮🇩 #GanjarPilihanJokowi  https://t.co/m9vXWt4hYV,SULAWESI UTARA
2022-11-27 10:01:02,Darcie48710203,Ayo dukung Ganjar Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi  https://t.co/qDJyrvgcUR,SULAWESI UTARA
2022-11-27 10:00:53,rastavara30,"Sosok pemimpin sudah kelihatan, Ganjar Pranowo untuk RI 1 2024 👍 #GanjarPilihanJokowi  https://t.co/SEOtiPQyPZ",SULAWESI UTARA
2022-11-27 10:00:48,primusanggarata,Dukung Ganjar Pranowo Capres 2024   #GanjarPilihanJokowi  https://t.co/u5PKNV9Vgz,SULAWESI UTARA
2022-11-27 10:00:34,primusanggarata,Ganjar Pranowo Capres terbaik 2024   #GanjarPilihanJokowi  https://t.co/fwbEOrbX8A,SULAWESI UTARA
2022-11-27 10:00:32,Darcie48710203,Ganjar cocom jadi Presiden 2024 keren #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi  https://t.co/F8EELanlD6,SULAWESI UTARA
2022-11-27 10:00:13,primusanggarata,Untuk bangsa dan negara Ganjar Pranowo siap Capres 2024   #GanjarPilihanJokowi  https://t.co/BNn4xB7Y6q,SULAWESI UTARA
2022-11-26 18:53:23,Manurung1D,"@branjangankawat @Maudy_kena_asma @ganjarpranowo Boleh juga usahanya untuk ""menyehatkan"" orang2 yg sakit parah 🤣🤣🤣",SULAWESI UTARA
2022-11-26 17:12:21,jonycandra_,Pemimpin yang berdidaksi tinggi punya aura kerja keras dan konsistensi mengayomi rakyat yabg tinggi  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/FhnGUISAcO,SULAWESI UTARA
2022-11-26 15:22:39,Nirman91666590,Ganjar cepat tanggap bantu korban gempa cianjur   #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/gchRtFN7L1,SULAWESI UTARA
2022-11-26 15:18:27,Nirman91666590,Ganjar salurkan bantuan dan bangun posko bantuan korban gempa cianjur   #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/eZCnMHfe3I,SULAWESI UTARA
2022-11-26 15:07:40,Darcie48710203,Ganjar sangat cocok sudaj #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/F8ogE0gr9l,SULAWESI UTARA
