Column1;date;username;tweet;location;label
0;27/11/2022 13:36;REdukazi;Pemimpin yang memikirkan rakyat berarti seperti Pak Ganjar 😂  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/qDFuBRe5mg;ACEH;1
1;27/11/2022 13:33;REdukazi;Ganjar Mengerti Keinginan Rakyat   #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/kQZ0QYLAV6;ACEH;1
2;27/11/2022 13:32;REdukazi;Ganjar Memberikan Kesejahteraan Untuk Para Guru  #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/sXm8I28IEh;ACEH;1
3;27/11/2022 13:30;REdukazi;Ganjar Calon Presiden Pilihan Rakyat   #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ssg0fkeBNn;ACEH;1
4;27/11/2022 11:34;WaktuSumut;Indonesia Butuh Pemimpin Kharismatik seperti Ganjar #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/BaJUJvYExu;ACEH;1
5;27/11/2022 11:32;WaktuSumut;Ayo Masyarakat Indonesia Dukung Ganjar  Untuk Indonesia Yang Berkelas #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/1ICWaenSSR;ACEH;1
6;27/11/2022 11:30;WaktuSumut;Ganjar Pranowo Berikan Yang Terbaik untuk Indonesia. #ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/uucTw7okyv;ACEH;1
7;27/11/2022 11:28;WaktuSumut;Indonesia Butuh Pemimpin Kharismatik seperti Ganjar#ganjarpranowo #ganjar_pranowo #GanjarPilihanJokowi #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/li82v4JsRL;ACEH;1
8;27/11/2022 11:19;SumutVibes;Ganjar juga siap melanjutkan kesuksesan Jokowi  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/jnZPq3UjI8;ACEH;1
9;27/11/2022 11:18;SumutVibes;Ganjar sangat memperhatikan kesejahteraan rakyat  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/09ps7ZjZIj;ACEH;1
10;27/11/2022 11:18;SumutVibes;Ganjar pemimpin visioner dan cerdas #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/OcMH2rycSy;ACEH;1
11;27/11/2022 11:18;SumutVibes;Ganjar calon Presiden idaman rakyat  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/u7WRmKohXD;ACEH;1
12;27/11/2022 11:17;SumutVibes;Ganjar terbukti kerja nyata untuk masyarakat  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ScvaFbX5Sy;ACEH;1
13;27/11/2022 11:17;SumutVibes;Ganjar juga sangat peduli dengan rakyat  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/JPT1Kxuy4M;ACEH;1
14;27/11/2022 11:16;SumutVibes;Ganjar pemimpin yang cerdas #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/GXth2wNZT0;ACEH;1
15;27/11/2022 11:16;SumutVibes;Ganjar terus peroleh banyak dukungan jadi Presiden 2024 #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/6ecRocp3gq;ACEH;1
16;27/11/2022 11:15;SumutVibes;Sahabat Ganjar terus menyalurkan bantuan kepada warga Cianjur  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ATFpU8nCv1;ACEH;1
17;27/11/2022 11:14;SumutVibes;Ganjar sangat menghargai jasa jasa guru  #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/2YGphnqbdM;ACEH;1
18;27/11/2022 11:13;SumutVibes;Ganjar sangat memperhatikan kesejahteraan guru #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/vBWOQsDOjM;ACEH;1
19;27/11/2022 11:06;guntur_juli;Ganjar Pranowo for 2024 #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/IE9M0O0q8a;ACEH;1
20;27/11/2022 11:05;guntur_juli;Si rambut putih yang nyata kerjanya hanya Ganjar Pranowo #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/gplwxbgzt3;ACEH;1
21;27/11/2022 11:05;guntur_juli;Sinyal kuat dari Jokowi untuk Ganjar Pranowo #GanjarPilihanJokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/HF6BBi7GWh;ACEH;1
22;27/11/2022 10:47;MariaMuna55;Ganjar pranowo untuk bangsa dan negara #ganjarpilihanjokowi  https://t.co/Jw9PtFeYzo;ACEH;1
23;27/11/2022 10:44;ganjar4ina;Jokowi beri sinyal dukung pemimpin berambut putih di 2024. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/Dm56kzS9j2;ACEH;1
24;27/11/2022 10:30;ganjar4ina;Kode keras Jokowi, ciri pemimpin yg mikirin rakyat. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/3YF7k4S1zy;ACEH;1
25;27/11/2022 10:15;Viralindo888;Ganjar Pranowo untuk bangsa dan negara. #GanjarPilihanJokowi  https://t.co/nDBoEbTddi;ACEH;1
26;27/11/2022 10:13;chelin3pu3;Ganjar Pranowo sejahterakan GTT di Jawa Tengah #GanjarPilihanJokowi  https://t.co/NkBIMLo2KS;ACEH;1
27;27/11/2022 10:13;chelin3pu3;Seseorang yang punya visi untuk Indonesia yang lebih baik #GanjarPilihanJokowi #ganjarpranowo #ganjarkita #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024  https://t.co/73G6idFhuO;ACEH;1
28;27/11/2022 10:13;chelin3pu3;Mantap ganjar Pranowo banjir dukungan 👍 #GanjarPilihanJokowi  https://t.co/PWNqJtUCwu;ACEH;1
29;27/11/2022 10:13;chelin3pu3;Ganjar Pranowo untuk bangsa dan negara. #GanjarPilihanJokowi  https://t.co/XKbvlWpn3j;ACEH;1
30;27/11/2022 10:13;chelin3pu3;Dukung Ganjar Pranowo Capres 2024 #GanjarPilihanJokowi  https://t.co/PRwpxRKvvx;ACEH;1
31;27/11/2022 10:13;chelin3pu3;Petani Tebu dukung Ganjar Presiden 2024 - Dukung Ganjar Pranowo - #GanjarPilihanJokowi  https://t.co/cGSoEdT8lV;ACEH;1
32;27/11/2022 10:11;Indrafirman7777;Ganjar Pranowo untuk bangsa dan negara. #GanjarPilihanJokowi  https://t.co/NM6UtGEYB3;ACEH;1
33;27/11/2022 10:10;Anggaradimas69;Ganjar Pranowo untuk bangsa dan negara. #GanjarPilihanJokowi  https://t.co/AqbOJ8AIPK;ACEH;1
34;27/11/2022 10:10;guntur_juli;Ganjar untuk 2024 Ganjar Pilihan Jokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/dg2RRPeEZT;ACEH;1
35;27/11/2022 10:10;guntur_juli;Presiden Jokowi beri Sinyal dukung Ganjar Pranowo Ganjar Pilihan Jokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/l1p6LbVGZd;ACEH;1
36;27/11/2022 10:09;aldhopriskap;Ganjar Pranowo untuk bangsa dan negara. #GanjarPilihanJokowi  https://t.co/T1u0bTl8vO;ACEH;1
37;27/11/2022 10:08;guntur_juli;Fix Ganjar Pilihan Jokowi #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/6AkZMzUtWr;ACEH;1
38;26/11/2022 17:14;indrahwk;"@umarhasibuan757 Klau nanti dukung @ganjarpranowo ,kamu jgn banting"" meja ya";ACEH;1
39;26/11/2022 17:03;indrahwk;@PartaiSocmed @ganjarpranowo Kita berharap plan 1 gagal,demi terjaganya demokrasi,plan k2 dst yg dilaksanakan;ACEH;1
40;26/11/2022 16:59;indrahwk;"@PartaiSocmed Bs jd tum rambut putih,kode keras buat @ganjarpranowo ,dan ngumpulin relawan,buat jatuhkan mental sblh,yg sdh pongah kemana"" serasa didukung sluruh rkyt,krn jk 2024 tdk yg sejalan dgn pmrintah saat ini,pembangunan akan sia"" krn tdk berkelanjutan,ayo dorong ganjarsusi for 2024";ACEH;1
41;26/11/2022 16:42;indrahwk;Dr ucapan beliau,dr segi rambut,sprtinya mengarah ke @ganjarpranowo tp klau yg keningnya cling...cling itu arahnya yg dikarbit kayaknya;ACEH;1
42;26/11/2022 15:16;MoriahKrause13;Solidaritas Relawan Ganjar meringankan beban kesedihan korban bencana alam gempa cianjur  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah  https://t.co/N8GxtGPgrV;ACEH;1
43;26/11/2022 15:14;MoriahKrause13;Maju terus pak ganjar lanjutkan perjuangan pak jokowi  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/2m08fRBHMz;ACEH;1
44;26/11/2022 15:13;MoriahKrause13;Pak Ganjar cinta produk dalam negeri  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/qOHZpy2X5L;ACEH;1
45;26/11/2022 14:44;chelin3pu3;Ganjar Pranowo sosok pemimpin hebat. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/KeGBGbbqyG;ACEH;1
46;26/11/2022 14:44;chelin3pu3;Relawan ganjar juga hebat! #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/cUX8d1pjeB;ACEH;1
47;26/11/2022 14:44;chelin3pu3;dukung penuh pak ganjar #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/TLb4ty8AuM;ACEH;1
48;26/11/2022 14:44;chelin3pu3;Bersama kita dukung Ganjar Pranowo. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/XGiPhROJi2;ACEH;1
49;26/11/2022 14:44;chelin3pu3;Dukungan penuh dari semua kalangan untuk Ganjar Pranowo. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/J0lHRtqUt3;ACEH;1
50;26/11/2022 14:44;chelin3pu3;Ganjar pilihan rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/Oc6gfFeQhd;ACEH;1
51;26/11/2022 14:05;WaktuSumut;Ganjar Pranowo : Kalau Untuk Bangsa dan Negara Apa sih yang Kita Tidak Siap.   #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/6p0V2dxyng;ACEH;1
52;26/11/2022 14:05;WaktuSumut;Hari Guru Nasional, Ganjar sejahterakan 5.000 GTT dengan Gaji UMK  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/SekEpXjRyH;ACEH;1
53;26/11/2022 14:00;WaktuSumut;Ganjar: jangan jadi biasa untuk masa depan bangsa.   #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/7SphDrjkRs;ACEH;1
54;26/11/2022 13:59;WaktuSumut;Ganjar Pranowo Masih yang Terbaik Untuk Indonesia. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/ZCDAMYSQQO;ACEH;1
55;26/11/2022 13:18;SumutVibes;Semoga Ganjar dan Istri tetap terus romantis  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/LCbVTvd1hC;ACEH;1
56;26/11/2022 13:18;SumutVibes;Ganjar sangat peduli dengan rakyat  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/UwVpcKCN1a;ACEH;1
57;26/11/2022 13:18;SumutVibes;Ganjar pemimpin cerdas dan visioner  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/LbMG6oGPy7;ACEH;1
58;26/11/2022 13:17;SumutVibes;Ganjar sangat dicintai rakyat  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/I0JGOEYovO;ACEH;1
59;26/11/2022 13:15;SumutVibes;Ganjar dipercaya lanjutkan kesuksesan Jokowi  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/OL8vqqg41x;ACEH;1
60;26/11/2022 13:15;SumutVibes;Ganjar cinta produk dalam negeri #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/WiDdwHRJMn;ACEH;1
61;26/11/2022 13:15;SumutVibes;Ganjar calon Presiden idaman rakyat indonesia  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/PGGyoVoYgi;ACEH;1
62;26/11/2022 13:14;SumutVibes;Solidaritas Relawan Ganjar bagi bantuan kepada warga terdampak gempa Cianjur  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/VwhfOLSrZU;ACEH;1
63;26/11/2022 13:13;SumutVibes;Pemuda Milenial dukung Ganjar jadi Presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/nJcJjwJPZ4;ACEH;1
64;26/11/2022 13:13;SumutVibes;Kepedulian Sahabat Ganjar kepada warga terdampak gempa Cianjur  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/5Qq6fK9NaF;ACEH;1
65;26/11/2022 12:53;ganjartoday;Ganjar 4 Today  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/rdxo3RhFHg;ACEH;1
