,tweet
0,@jimmysinback @prabowo apa ngga cape capres gagal terus? Sepertinya rakyat sudah bosan lihat muka bapak. Baiknya mundur kasih kesempatan wajah baru generasi muda untuk memimpin bangsa ini
1,@Nicho_Silalahi @jokowi @prabowo @sandiuno Muka jelek cecurut Niko keknya sebentar lagi stroke nih
2,"Prabowo Disebut Bakal Kembali Maju Jadi Calon Presiden, Begini Tanggapan Jubir #calonPresiden #PrabowoSubianto  https://t.co/40GEXZ1xTX"
3,@ChusnulCh__ @prabowo Wkwkwk mana berani ini orang komen .. wowo oh wowo
4,@ChusnulCh__ @prabowo Biasa bengong mb. Masih ngelirik kaum radikal kek nya
5,Survei Charta Politika! Elektabilitas Prabowo Subianto Tertinggi Di Kalimantan Timur @prabowo @Gerindra @Don_dasco  https://t.co/Qxm1O1w6AC
6,Habib Kwitang Doakan Prabowo Subianto Lancar Hajat Untuk Kebaikan Rakyat  https://t.co/t2xooXyvTe
7,@NiaDayju @ChusnulCh__ @prabowo Masih untung nggak mod*r tuh si AA
8,"@VIVAcoid Preeetttt...@prabowo cm ngerame2in pemilu aja,Capres abadi yg gk akan jd presiden"
9,"@ElsaLestar1 @prabowo @Gerindra elektabilitas 26%, kemampuan fisik 5%. dah urus bisnis2 anda ajalah, yg penting proyek jalan terus kan? wkwk. #jebakanutangRRC #hoaxbigdata #mafiamigor #cegahIKNjadisarangjebakanutangRRC"
10,"@Irwan2yah @Sherin_Tiara @ListyoSigitP @DivHumas_Polri @CCICPolri @Puspen_TNI @mohmahfudmd @prabowo @BNPTRI Provokator omong gede,minim nalar.Lha,mmng aparat keamanan mau diam saja klu sda aksi anarkis,mmng aparat dan hukum elo anggap apa? Kok ktnya ahli hukum,bicara kyk preman"
11,"@Mi73Hel @wisanggeni_11 @prabowo @sandiuno Karena sesungguhnya memang mereka tdk menjinakkan, tp menternakkan..."
12,"Politikus senior PDIP Panda Nababan menyebut empat menteri Jokowi terang-terangan menyatakan maju di pilpres, salah satunya Prabowo Subianto.  https://t.co/O0kzN3xqQr"
13,"@ChusnulCh__ @prabowo Ade Armando kan tdk mwnguntungkan saya, Ratna Sarumpaet kan menguntungkan saya sebentar, tp memalukan saya seumur hiduuuuuuup, kacau dasar nenek peot, hahahahaha"
14,@ChusnulCh__ @prabowo sama ama HAM ama kontras dll yang biasanya paling berisik klo masalah begnian giliran AA pada mingkem semua ah sudah lah nama nya doank atas nama hak asasi tapi keliatan banget kubu nya kemana tetep gak fair
15,@yusmarioA @Gerindra @prabowo Aku iri aku bilang @Gerindra
