date,username,tweet
2023-01-16 10:08:30,tegalfess,[tf] yg jual gini area slawi aja dimana ya ges  https://t.co/UpzP0deIRH
2023-01-16 09:56:53,tegalfess,[tf] spill game offline kalian yg menarik itu dong
2023-01-16 09:47:41,tegalfess,[tf] cara hapus tag contact di get contact yang kita tulis di cobtact dia gimana ya?
2023-01-16 09:41:08,BSI_Tegal,Selamat Bertugas kepada peserta BSI Explore yang ditempatkan di wilayah Tegal dari Mahasiswa UBSI Kota Tegal.  .  BSI Explore 2023 Merajut Indonesia Menginspirasi Negeri  #bsiexplore2023 #kuliahbsiaja  https://t.co/KOJMFDNJVY
2023-01-16 09:39:03,damkarbekasi,"Minggu, 15 Januari 2023 petugas Pleton C Regu Rescue Dinas Pemadam Kebakaran telah melaksanakan evakuasi ular di Kavling Tegal Perintis Blok C3 RT 06 RW 03 Kelurahan Marga Mulya Kecamatan Bekasi Utara Kota Bekasi.  https://t.co/afUtssjCQJ"
2023-01-16 09:32:16,onyourmjh,"@tanyarlfes Tegal , ya Allah bener bener dah dari kota gue Bandung ke Tegal struggle parah asli  Panas banget gilaaaaa gue sampe bener bener kelelahan gara gara gue ga bisa ditempat panas belum lagi apa yang ada dirumah ga ada tuh dikota itu bener bener dah dididik mandiri banget"
2023-01-16 09:17:58,humasgaltim,"Polres Tegal Kota menggelar Nonton Bareng (Nobar) Pagelaran Wayang Orang Pandawa Boyong Dalam Rangka Memperingati Hari Dharma Samudera Tahun 2023. Kegiatan Nobar ini digelar di ruang  Deviacita Polres setempat dan dihadiri oleh Kapolres Tegal Kota AKBP Rahmad Hidayat, S.S.  https://t.co/VBjnvY3ubY"
2023-01-16 09:13:33,HTegalbarat,"Polres Tegal Kota menggelar Nonton Bareng (Nobar) Pagelaran Wayang Orang Pandawa Boyong Dalam Rangka Memperingati Hari Dharma Samudera Tahun 2023. Kegiatan Nobar ini digelar di ruang  Deviacita Polres setempat dan dihadiri oleh Kapolres Tegal Kota AKBP Rahmad Hidayat, S.S.  https://t.co/ut1M6aypbG"
2023-01-16 09:09:13,EviZaki,"Polres Tegal Kota mgglr Nonton Brg Pgelarn Wayang Org Pandawa Boyong dlm rngk Mmprgti Hari Dharma Samudera Th.2023. Kgtn Nobar diglr di ruang Deviacita Polres stmpt &amp; dhdri oleh Kapolres Tegal Kota AKBP Rahmad Hidayat, S.S. bsrt jjrn PJU Polres Tegal Kota, Minggu (15/1/2023) mlm.  https://t.co/ktCYPURfGs"
2023-01-16 09:08:22,BkppdKotaTegal,@Nahdariyani di pengumuman hasil seleksi administrasi ada kak
2023-01-16 09:07:24,KPUKotaTegal,Kegiatan ditutup dengan penyerahan Berita Acara Hasil Verifikasi Administrasi Dukungan Minimal Pemilih Bakal Calon Anggota DPD Provinsi Jawa Tengah kepada LO Bakal Calon DPD dan Bawaslu Jawa Tengah.  #KPUMelayani #pemiluserentak2024
2023-01-16 09:07:23,KPUKotaTegal,seluruh anggota KPU Provinsi Jateng sehingga Rapat Pleno dapat diselenggarakan KPU Provinsi Jawa Tengah.  Di kesempatan yang sama di lakukan penandatanganan Berita Acara Hasil Verifikasi Administrasi Dukungan Minimal Pemilih Bakal Calon Anggota DPD oleh KPU Provinsi Jawa Tengah.
2023-01-16 09:07:22,KPUKotaTegal,"luring oleh LO bakal calon DPD dan Bawaslu Jawa Tengah serta dihadiri secara daring oleh 35 KPU kab/Kota se-Jawa Tengah.  Kegiatan dibuka dengan sambutan Ketua KPU Provinsi Jawa Tengah, Paulus Widiyantoro bahwa rekapitulasi hasil verifikasi administrasi telah quorum  https://t.co/rTz48gNqe8"
2023-01-16 09:07:18,KPUKotaTegal,Minggu (16/1) KPU Kota Tegal mengikuti Rapat Pleno Rekapitulasi Hasil Verifikasi Administrasi Dukungan Minimal Pemilih Bakal Calon Anggota DPD Provinsi Jawa Tengah. Kegiatan ini diselenggarakan di Kantor KPU Provinsi Jawa Tengah dan dihadiri secara  https://t.co/dU4KN4k2ci
2023-01-16 09:05:47,tegalfess,"[TF] Aja pada Onggrongan lah ya, definisi Onggrongan menurut kalian apa?"
2023-01-16 09:04:29,HumasKawasan,"Polres Tegal Kota menggelar Nonton Bareng (Nobar) Pagelaran Wayang Orang Pandawa Boyong Dalam Rangka Memperingati Hari Dharma Samudera Tahun 2023. Kegiatan Nobar ini digelar di ruang  Deviacita Polres setempat dan dihadiri oleh Kapolres Tegal Kota AKBP Rahmad Hidayat, S.S.  https://t.co/RKjlMk2TWp"
2023-01-16 09:03:20,tegalfess,Bocah lanang dang kaya kie lagi kenangapa ya?  [TF]  https://t.co/W2G4Ljfodf
2023-01-16 08:49:40,RyanPratha,@Refantegal Kota Tegal
2023-01-16 08:28:06,tegalfess,"[Tf] Ada yg kerja di pt tong ji atau 2tang, atau pt lainnya? Rep dong, aku mau tanya2"
2023-01-16 08:12:44,tegalfess,[TF] kyny aku doang klo ada ortu di rumah pasti nangis terus gara2 di bentak2 pdhl aku cuma ngelakuin hal kecil yang dampakny ga besar. Mendingan mrk kerja aja deh di luar ikhlas aku mah ☺️
2023-01-16 07:58:52,bahaNggia,"@unnesmenfess @reveternally ini nder yg punya kota tegal, langsung dm aja"
2023-01-16 05:49:53,rctvcirebon,"Obyek wisata pantai Pulo Kodok, di Kota Tegal. Tak hanya sekadar destinasi wisata saja, banyak pengunjung yang datang ke pantai Pulo... -  https://t.co/yJ0a4nDOg9  https://t.co/m2TL0x6Dp7"
2023-01-16 05:02:20,fikiprasetya23,"@tanyarlfes Tegal, Jawa Tengah. Saat Masih kelas 1 SMA , dengan Culture dan Budaya yg berbeda. Akhirnya bisa menyesuaikan dan merasakan jauh dari orangtua. Dan akhirnya bisa lebih mandiri. Next kota kedua jika ditanya kota kedua yg bisa buat mandiri adalah Sorong, Papua Barat."
2023-01-16 01:45:34,tegalfess,yaudah hadapi dg senyuman :')
2023-01-16 01:45:34,tegalfess,"[tf] mbak-mbak 27 tahun, jam segini kembali disadarkan realita, aku itu cuma peneman malam sepi. Cuma temen gabut hahaha slama kiye chatting lunga bareng emang ora tau nganggo perasaan. aku cuma badut. Wis ya sadar diri bae, yuh menyibukkan diri maning. sedih nemen tapi (cont)"
2023-01-16 00:58:04,Bunga_ABG_,Available expo luar kota by request✨  Yukk jadwalin ke kota 😗💜  Expo Purwokerto Bookingan Tegal Bisyar Pekalongan Wp Cirebon Angels Bandung Include Cilacap Avail Banyumas Openbo Jogja Bo Semarang Abg hijab hijabers  https://t.co/MAMhshDp0a
2023-01-16 00:27:58,tegalfess,"[Tf] ternyata gini ya rasanya suka sama orang yang sudah jelas tidak bisa dimiliki, sakit cuy mendem perasaan sendirian"
2023-01-15 23:54:16,tegalfess,"[TF] ada yg samaan kaya aku ga si? dari tadi mainan hp mulu giliran ada yg ngechat langsung ngelakuin aktivitas, atau bahkan langsung tidur"
2023-01-15 23:38:02,tegalfess,[TF] Gapapakan kalo kita ngeremove org org yg ganggu pikiran kita?
2023-01-15 23:26:47,tegalfess,"[Tf] Guys, telat gak ya kira kira aku F21 baru mau daftar kuliah UT? :("
2023-01-15 22:47:09,tegalfess,[Tf] night cream acne scarlet emang baunya nyengat banget gini ya?
2023-01-15 22:35:07,peachychoco_,@tanyarlfes Kota Tegal si
2023-01-15 22:26:27,tegalfess,"Serius nanya, rekomen wisata alam yg ijo2 gitu selain guci dimana plis. Makasi yg udh mau jwb [tf]"
2023-01-15 22:18:41,tegalfess,[tf] disini adakah yg anak UT? cara daftarnya gimana ya? pengen banget lanjut dari D3 ke S1
2023-01-15 22:17:12,cumicabeijoo,"@tanyarlfes Tegal dan brebes, karna aku kerja di tegal tapi ngekos di brebes wkwk Bener2 dari dulu penasaran bgt gimana rasanya jadi anak kos karna ga dibolehin kuliah di luar kota juga. Terus sekarang yg paling kerasa sih kalau laper harus dikiyengin masak atau keluar nyari makan gitu"
2023-01-15 21:54:35,tegalfess,[tf] ada yang pernah perawatan di erha ga? Kalau pernah sedia 1juta cukup ga ya? Awal konsul tuh harus sama treatment atau boleh konsul cuma krim aja? Makasi
2023-01-15 21:44:29,tegalfess,"[tf] dapet wa dari shopi seperti itu, kira2 penipuan ga si? Tadi sempet nelpon juga  https://t.co/y508NETXn7"
2023-01-15 21:40:34,mynameisnonana,@tanyarlfes Kota Tegal
2023-01-15 21:36:42,ejikuhibiniyu,"Seneng banget ada coffeeshop yg ambiencenya super aesthetic deket rumah😩 tapi ga cuma jual tempat si signature coffeenya enak jugaa!  KOPI SELAMAT PAGI 📍 Jl. Mampang Prapatan XIV No.4, RT.8/RW.4, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, DKI Jakarta 12790  https://t.co/mSUuFXNUxD"
2023-01-15 21:35:27,langitbirubgt,"@anksematawayank @FFOODFESS Di jalan raya talang ka, klo dari arah kota tegal setelah pertigaan butak"
2023-01-15 21:22:28,tegalfess,[tf] permisi kalo mau sewa lapak di jl kartini tuh kisaran berapa ya? terus biasanya info kayak gini cari dimana? terima kasih🙏🏻🙏🏻
2023-01-15 21:16:21,tegalfess,[TF] jajanan yg rekomen buat dicobain di depan smansawi yg buka dari pagi/siang donk gais
2023-01-15 20:51:19,tegalfess,[TF] gais rekomendasi beli batik buat ngantor yg online or offline dong ..makasii
2023-01-15 20:47:17,tegalfess,[TF] ponggol godong jati lur 😍  jgn lupa makan besok senen!  https://t.co/wSaPk6FjZE
2023-01-15 20:43:12,GerindraTegal,#gerindrajateng #dpcgerindra #kotategal #indonesia #pulihlebihcepatbangkitlebihkuat  https://t.co/VQNy0v2Kgs
2023-01-15 20:42:41,GerindraTegal,GERAKAN REVOLUSI PUTIH OLEH ORGANISASI SAYAP PARTAI GERINDRA  #revolusiputih #satria #satuanrelawanindonesiaraya #prabowo #prabowosubianto #prabowobersamarakyat #mendingprabowo #prabowopresiden #gerindramenang #gerindra #partaigerindra #jateng #jawatengah #gerindrajawatengah
2023-01-15 20:38:50,tegalfess,[tf] info nobar madrid vs barca tegal kota
2023-01-15 20:32:57,tegalfess,beli daging slice di tegal dimana ya?:( [tf]
2023-01-15 20:28:00,tegalfess,[tf] kalian kalo lg kangen mantan gmn ngadepinnya? Saranin sesuatu yg bisa ngalihin ges selain nonton film 🙏🏻
